municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,41,41
ACHOCALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,249,249
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,185,185
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,19,19
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,21,21
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,96,96
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,96,96
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,43,43
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,23,23
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,76,76
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,172,172
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,41,41
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,52,52
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,302,302
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,181,181
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,16,16
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,80,80
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,40,40
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,51,51
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,83,83
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,249,249
AZURDUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,148,148
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,149,149
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,59,59
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,13,13
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,14,14
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,30,30
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,389,389
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2020-01-01,49,49
