municipality,group,variable,month,Niñas(os) menores de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,23,23
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,31,31
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,30,30
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,2,2
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,3,3
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,13,13
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,8,8
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,1,1
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,5,5
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,14,14
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,31,31
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,5,5
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,13,13
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,29,29
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,16,16
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,55,55
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,21,21
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,9,9
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,10,10
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,27,27
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,15,15
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,20,20
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,5,5
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,5,5
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,31,31
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,39,39
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,10,10
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,2,2
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,24,24
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,30,30
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,12,12
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,13,13
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,15,15
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,11,11
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,21,21
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,3,3
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,93,93
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,22,22
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,8,8
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,20,20
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,62,62
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,23,23
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,12,12
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,10,10
CATACORA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,4,4
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,49,49
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,12,12
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,64,64
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,22,22
CHIMORE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,30,30
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,2,2
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,24,24
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,14,14
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,20,20
CLIZA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,28,28
COBIJA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,83,83
COCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,24,24
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,803,803
COIPASA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,2,2
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,40,40
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,16,16
COLLANA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,3,3
COLOMI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,39,39
COLPA BELGICA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,12,12
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,61,61
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,11,11
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,13,13
COMANCHE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,4,4
COMARAPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,30,30
COMBAYA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,4,4
CONCEPCION,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,41,41
COPACABANA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,14,14
CORIPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,17,17
CORO CORO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2020-01-01,5,5
