municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,34,34
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,16,16
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,14,14
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,13,13
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
AUCAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,13,13
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
BERMEJO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
BETANZOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,37,37
BOLIVAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
BOLPEBRA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
BOYUIBE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
CABEZAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,39,39
CAIROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
"CAIZA ""D""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,13,13
CALAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
CAMARGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,17,17
CAMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,39,39
CAPINOTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
CAQUIAVIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
CARACOLLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,16,16
CARANAVI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,46,46
CARAPARI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
CARIPUYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
CHALLAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,44,44
CHAQUI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
CHARAGUA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
CHAYANTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,20,20
CHIMORE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
CHIPAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
CHUMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
CKOCHAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,14,14
CLIZA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
COBIJA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,68,68
COCAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,14,14
COCHABAMBA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,355,355
COLCAPIRHUA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
"COLCHA ""K""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,14,14
COLOMI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
COLQUECHACA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,47,47
COLQUENCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
COLQUIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
COMARAPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,30,30
COMBAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
CONCEPCION,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,14,14
COPACABANA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
CORIPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
CORO CORO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
COROICO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
CORQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
COTAGAITA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,16,16
COTOCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,36,36
CUATRO CAÑADAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,30,30
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
CUEVO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
CULPINA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,21,21
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
CURVA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
EL ALTO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,538,538
EL CHORO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
EL PUENTE(STC),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
EL PUENTE(TJA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,16,16
EL TORNO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,51,51
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,17,17
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
ESCOMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
EUCALIPTUS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,26,26
FILADELFIA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
GUANAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,15,15
GUAQUI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
GUAYARAMERIN,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,25,25
GUTIERREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
HUACARETA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
HUACHACALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
HUANUNI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,26,26
HUARACAJE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
HUAYLLAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
ICHOCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
ICLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
INCAHUASI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
INGAVI (HUMAITA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
INQUISIVI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
IXIAMAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
JESUS DE MACHACA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
LA ASUNTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,18,18
LA GUARDIA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,240,240
LA PAZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,740,740
LAGUNILLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
LAJA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
LAS CARRERAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
