municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,3,3
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,29,29
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,17,17
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,36,36
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,2,2
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,5,5
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,10,10
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,16,16
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,2,2
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,5,5
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,23,23
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,7,7
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,17,17
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,42,42
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,28,28
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,21,21
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,9,9
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,14,14
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,35,35
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,7,7
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,29,29
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,8,8
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,8,8
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,105,105
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,45,45
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2020-01-01,11,11
