municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,5,5
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,38,38
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,16,16
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,25,25
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,4,4
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,7,7
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,4,4
ANTEQUERA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,2,2
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,6,6
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,27,27
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,3,3
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,4,4
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,11,11
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,43,43
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,11,11
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,6,6
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,8,8
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,26,26
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,8,8
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,17,17
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
BERMEJO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,25,25
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,30,30
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,5,5
BOLPEBRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,5,5
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,19,19
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,23,23
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,6,6
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,10,10
CAJUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,15,15
CALACOTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,15,15
CAMARGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,15,15
CAMIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,15,15
CAPINOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,18,18
CAQUIAVIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,7,7
CARACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,13,13
CARANAVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,67,67
CARAPARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,3,3
CARIPUYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,8,8
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,5,5
CATACORA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,44,44
CHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,4,4
CHARAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,46,46
CHARAÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,3,3
CHAYANTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,11,11
CHIMORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,33,33
CHIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,3,3
CHUA COCANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,17,17
CHUMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,6,6
CKOCHAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,9,9
CLIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,35,35
COBIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,44,44
COCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,21,21
COCHABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,1206,1206
COLCAPIRHUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,59,59
"COLCHA ""K""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,11,11
COLLANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2020-01-01,2,2
