municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,7,7
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,7,7
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,8,8
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,12,12
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,6,6
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,13,13
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,8,8
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,5,5
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,19,19
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,4,4
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,4,4
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,8,8
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,7,7
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,4,4
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,7,7
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,5,5
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,9,9
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,8,8
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,5,5
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,13,13
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,106,106
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,10,10
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
COLLANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,6,6
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,23,23
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,6,6
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
COMANCHE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
COMARAPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CORIPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
CORO CORO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
COROICO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2020-01-01,4,4
