municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,39,39
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,18,18
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,26,26
ALALAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
ANTEQUERA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,27,27
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,68,68
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,17,17
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,29,29
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,17,17
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
BELLA FLOR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,54,54
BETANZOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,31,31
BOLIVAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
BOLPEBRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
BOYUIBE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,20,20
CABEZAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,23,23
CAIROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
CAJUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,15,15
CALACOTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
CALAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,15,15
CAMARGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
CAMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,32,32
CAPINOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,22,22
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
CARACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
CARANAVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,70,70
CARAPARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
CARIPUYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
