municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,28,28
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,120,120
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,104,104
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,16,16
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,9,9
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,57,57
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,39,39
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,19,19
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,17,17
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,46,46
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,132,132
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,22,22
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,46,46
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,149,149
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,84,84
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,18,18
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,62,62
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,28,28
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,36,36
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,57,57
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,117,117
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,52,52
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,87,87
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,31,31
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,8,8
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,6,6
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,21,21
BETANZOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,213,213
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,29,29
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,39,39
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,121,121
CABEZAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,78,78
CAIROMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,34,34
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,60,60
CAJUATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,39,39
CALACOTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,12,12
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,70,70
CAMARGO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,12,12
CAMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,150,150
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,129,129
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,55,55
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,91,91
CARANAVI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,142,142
CARAPARI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,97,97
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,34,34
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2020-01-01,33,33
