municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,5,5
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,14,14
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,4,4
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,7,7
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
CLIZA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
COBIJA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,5,5
COCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
COCHABAMBA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,53,53
COLCAPIRHUA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
"COLCHA ""K""",micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
COLOMI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,8,8
COLQUECHACA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,6,6
COLQUENCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
COLQUIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
COMANCHE,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
COMARAPA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
COMBAYA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CORIPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
CULPINA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,132,132
EL PUENTE(TJA),micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,5,5
EL TORNO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,6,6
EL VILLAR,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ENTRE RIOS TRJ,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
EXALTACION,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
GUAYARAMERIN,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
HUANUNI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
ICLA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
INQUISIVI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
IXIAMAS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
LA ASUNTA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
LA GUARDIA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,30,30
LA PAZ,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,90,90
LAJA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
LLALLAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
LLICA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
MACHACAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
MAGDALENA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
MAIRANA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
MECAPACA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
MINEROS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
MIZQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
MOCOMOCO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
MONTEAGUDO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
MONTERO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
NAZACARA DE PACAJES,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
OCURI,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
ORURO,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,35,35
PADCAYA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
PAILON,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
PALCA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
PALOS BLANCOS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,3,3
PAMPA AULLAGAS,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,2,2
PATACAMAYA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,13,13
POCOATA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
POCONA,micronutrientes,ninas(os) menores de 1 ano con dosis completas de zinc (talla baja),2020-01-01,1,1
