municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,3,3
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,19,19
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,31,31
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,30,30
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,2,2
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,3,3
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,13,13
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,8,8
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,1,1
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,5,5
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,13,13
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,25,25
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,5,5
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,12,12
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,29,29
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,16,16
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,29,29
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,20,20
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,9,9
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,9,9
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,27,27
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,15,15
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,20,20
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,7,7
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,5,5
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,31,31
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,39,39
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,9,9
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,23,23
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,32,32
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,12,12
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,13,13
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,15,15
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,11,11
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,8,8
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,3,3
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,29,29
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,22,22
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,8,8
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,20,20
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,65,65
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2020-01-01,20,20
