,group,variable,month,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
SANTUARIO DE QUILLACAS,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,10.0,0,10.0,10.0
SAPAHAQUI,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,29.0,0,29.0,29.0
SORACACHI,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,400,0.0,400,0.0,400.0
TACACOMA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,14.0,0,14.0,14.0
TACOBAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,65.0,0,65.0,65.0
TACOPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,13,97.0,13,97.0,110.0
TAPACARI,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,62.0,0,62.0,62.0
TARATA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,33,29.0,33,29.0,62.0
TIAWANACU,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,245.0,0,245.0,245.0
TINGUIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,60.0,0,60.0,60.0
TIQUIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,24,199.0,24,199.0,223.0
TOCO,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,15.0,0,15.0,15.0
TOLATA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,23,0.0,23,0.0,23.0
TOMAVE,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,43.0,0,43.0,43.0
TUPIZA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,10.0,0,10.0,10.0
UNCIA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,17,69.0,17,69.0,86.0
