,group,variable,month,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
MOCOMOCO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,61.0,0,61.0,61.0
MONTERO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,31,660.0,31,660.0,691.0
OKINAWA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,157.0,0,157.0,157.0
OMEREQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,89.0,0,89.0,89.0
ORURO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,1096,13816.0,1096,13816.0,14912.0
PAILON,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,507.0,0,507.0,507.0
POCOATA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,7.0,0,7.0,7.0
PORCO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,10.0,0,10.0,10.0
PORTACHUELO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,253.0,0,253.0,253.0
POTOSI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,403,1039.0,403,1039.0,1442.0
PUCARANI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,210.0,0,210.0,210.0
PUERTO ACOSTA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,141.0,0,141.0,141.0
PUERTO CARABUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,129.0,0,129.0,129.0
PUERTO PEREZ,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,1,20.0,1,20.0,21.0
PUERTO QUIJARRO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,251.0,0,251.0,251.0
PUNA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,35.0,0,35.0,35.0
PUNATA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,2,60.0,2,60.0,62.0
QUILLACOLLO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,90,700.0,90,700.0,790.0
RAVELO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,20,77.0,20,77.0,97.0
SABAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,50.0,0,50.0,50.0
SACABA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,374,5766.0,374,5766.0,6140.0
SACABAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,10.0,0,10.0,10.0
SAN ANTONIO DE LOMERIO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,150,0.0,150,0.0,150.0
SAN BORJA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,56,0.0,56,0.0,56.0
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,40,0.0,40,0.0,40.0
SAN JAVIER(STC),otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,10,0.0,10,0.0,10.0
SAN JOAQUIN,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,110,600.0,110,600.0,710.0
SAN JULIAN,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,22,56.0,22,56.0,78.0
SAN LORENZO(TJA),otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,1190.0,0,1190.0,1190.0
SAN PEDRO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,147.0,0,147.0,147.0
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,56.0,0,56.0,56.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,915,3763.0,915,3763.0,4678.0
SANTIAGO DE HUARI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,8.0,0,8.0,8.0
SANTIAGO DE MACHACA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,11.0,0,11.0,11.0
SHINAOTA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,113,182.0,113,182.0,295.0
SIPE SIPE,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,1,1140.0,1,1140.0,1141.0
SUCRE,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,692.0,0,692.0,692.0
TAPACARI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,16,2319.0,16,2319.0,2335.0
TARATA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,8.0,0,8.0,8.0
TARIJA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,1407.0,0,1407.0,1407.0
TIQUIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,90,63.0,90,63.0,153.0
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,8.0,0,8.0,8.0
TOCO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,10.0,0,10.0,10.0
TOLATA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,4,0.0,4,0.0,4.0
TOTORA(ORR),otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,9,5.0,9,5.0,14.0
TRIGAL,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,662.0,0,662.0,662.0
VIACHA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,103,485.0,103,485.0,588.0
VILLA MONTES,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,173.0,0,173.0,173.0
VILLA TUNARI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,54,527.0,54,527.0,581.0
VILLAZON,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,942.0,0,942.0,942.0
VINTO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,71,94.0,71,94.0,165.0
WARNES,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,177,707.0,177,707.0,884.0
YACUIBA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,36.0,0,36.0,36.0
YUNCHARA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,234.0,0,234.0,234.0
ACACIO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,115.0,0,115.0,115.0
AIQUILE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,69.0,0,69.0,69.0
ALTO BENI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,59.0,0,59.0,59.0
ANTEQUERA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,4,33.0,4,33.0,37.0
ARAMPAMPA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1,199.0,1,199.0,200.0
ARBIETO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,22,111.0,22,111.0,133.0
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,10,2.0,10,2.0,12.0
ATOCHA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,40.0,0,40.0,40.0
BATALLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,240.0,0,240.0,240.0
BETANZOS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,24.0,0,24.0,24.0
BOYUIBE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,849.0,0,849.0,849.0
BUENA VISTA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,366,2581.0,366,2581.0,2947.0
CABEZAS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,123,1898.0,123,1898.0,2021.0
CAQUIAVIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,10.0,0,10.0,10.0
CARANAVI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,25,169.0,25,169.0,194.0
CARAPARI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,340.0,0,340.0,340.0
CARIPUYO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,109.0,0,109.0,109.0
CHALLAPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,108.0,0,108.0,108.0
CHAQUI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,17,293.0,17,293.0,310.0
CHARAGUA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,693.0,0,693.0,693.0
CHUMA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,10.0,0,10.0,10.0
CKOCHAS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,50,305.0,50,305.0,355.0
CLIZA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,67,274.0,67,274.0,341.0
COCHABAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,281,4138.0,281,4138.0,4419.0
COLPA BELGICA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,15,1368.0,15,1368.0,1383.0
COMARAPA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,140,3897.0,140,3897.0,4037.0
COPACABANA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,113.0,0,113.0,113.0
CORQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,40.0,0,40.0,40.0
COTAGAITA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1,188.0,1,188.0,189.0
COTOCA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,200,14183.0,200,14183.0,14383.0
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1259,0.0,1259,0.0,1259.0
EL ALTO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,133,1305.0,133,1305.0,1438.0
EL PUENTE(STC),otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,457,1043.0,457,1043.0,1500.0
EL TORNO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,23,14149.0,23,14149.0,14172.0
ENTRE RIOS CBBA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,10.0,0,10.0,10.0
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,628,1878.0,628,1878.0,2506.0
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,5,4739.0,5,4739.0,4744.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,6.0,0,6.0,6.0
GUANAY,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,117.0,0,117.0,117.0
GUTIERREZ,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,8,1549.0,8,1549.0,1557.0
HUAYLLAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,10.0,0,10.0,10.0
HUMANATA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,11.0,0,11.0,11.0
INQUISIVI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,16.0,0,16.0,16.0
IXIAMAS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,30.0,0,30.0,30.0
LA GUARDIA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,425,16903.0,425,16903.0,17328.0
LA PAZ,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,280,278.0,280,278.0,558.0
LAGUNILLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,70,0.0,70,0.0,70.0
LICOMA PAMPA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,100.0,0,100.0,100.0
LLALLAGUA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,200.0,0,200.0,200.0
MAPIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,12,70.0,12,70.0,82.0
MINEROS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,5816.0,0,5816.0,5816.0
MIZQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,1880.0,0,1880.0,1880.0
MOCOMOCO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,89.0,0,89.0,89.0
MOJINETE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,17.0,0,17.0,17.0
MONTERO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,2692,19050.0,2692,19050.0,21742.0
MORO MORO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,31,487.0,31,487.0,518.0
OCURI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,87.0,0,87.0,87.0
OKINAWA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,2249.0,0,2249.0,2249.0
ORURO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,106,366.0,106,366.0,472.0
PAILON,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,300.0,0,300.0,300.0
PALOS BLANCOS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,5,0.0,5,0.0,5.0
POCOATA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,67.0,0,67.0,67.0
PORCO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,90,0.0,90,0.0,90.0
PORONGO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,856,2806.0,856,2806.0,3662.0
PORTACHUELO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,2416.0,0,2416.0,2416.0
POTOSI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1306,1771.0,1306,1771.0,3077.0
PUCARANI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,420.0,0,420.0,420.0
PUERTO ACOSTA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,83.0,0,83.0,83.0
PUERTO CARABUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,6,260.0,6,260.0,266.0
PUERTO PEREZ,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,36.0,0,36.0,36.0
PUNATA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,3,65.0,3,65.0,68.0
QUILLACOLLO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,82,963.0,82,963.0,1045.0
QUIME,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,100.0,0,100.0,100.0
RAVELO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,5.0,0,5.0,5.0
ROBORE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,170.0,0,170.0,170.0
SABAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,20.0,0,20.0,20.0
SACABA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,13,150.0,13,150.0,163.0
SACACA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,335.0,0,335.0,335.0
SAIPINA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,1740.0,0,1740.0,1740.0
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,26.0,0,26.0,26.0
SAN BORJA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,20,122.0,20,122.0,142.0
SAN CARLOS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1005,3767.0,1005,3767.0,4772.0
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,5213,1094.0,5213,1094.0,6307.0
SAN JAVIER(STC),otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1237,589.0,1237,589.0,1826.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,833.0,0,833.0,833.0
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,2199.0,0,2199.0,2199.0
SAN JULIAN,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,306,7020.0,306,7020.0,7326.0
SAN LORENZO(TJA),otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,587.0,0,587.0,587.0
SAN MATIAS,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,2492.0,0,2492.0,2492.0
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,987.0,0,987.0,987.0
SAN PEDRO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,24,2650.0,24,2650.0,2674.0
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,22.0,0,22.0,22.0
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,69.0,0,69.0,69.0
SAN RAFAEL,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,575.0,0,575.0,575.0
SAN RAMON SCZ,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,1677.0,0,1677.0,1677.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,20554,289022.0,20554,289022.0,309576.0
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,515,3978.0,515,3978.0,4493.0
SANTIAGO DE MACHACA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,6.0,0,6.0,6.0
SAPAHAQUI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,20.0,0,20.0,20.0
SENA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,187.0,0,187.0,187.0
SIPE SIPE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,22,125.0,22,125.0,147.0
SORACACHI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,10,10.0,10,10.0,20.0
SUCRE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,30.0,0,30.0,30.0
TACOBAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,112.0,0,112.0,112.0
TAPACARI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,4,121.0,4,121.0,125.0
TARIJA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1,93.0,1,93.0,94.0
TEOPONTE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,20.0,0,20.0,20.0
TINGUIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,10,150.0,10,150.0,160.0
TIQUIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,10.0,0,10.0,10.0
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,19.0,0,19.0,19.0
TOCO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,6.0,0,6.0,6.0
TOLATA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,15,0.0,15,0.0,15.0
TOMAVE,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,30.0,0,30.0,30.0
TORO TORO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,139.0,0,139.0,139.0
TRIGAL,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,188.0,0,188.0,188.0
TRINIDAD,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,845.0,0,845.0,845.0
URUBICHA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,17,980.0,17,980.0,997.0
UYUNI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,8,0.0,8,0.0,8.0
VIACHA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,1097,0.0,1097,0.0,1097.0
VILA VILA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,93.0,0,93.0,93.0
VILLA MONTES,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,10486.0,0,10486.0,10486.0
VILLA TUNARI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,70.0,0,70.0,70.0
VILLAZON,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,857.0,0,857.0,857.0
VINTO,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,1120.0,0,1120.0,1120.0
VITICHI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,750.0,0,750.0,750.0
WARNES,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,2056,17339.0,2056,17339.0,19395.0
YACUIBA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,507.0,0,507.0,507.0
YAPACANI,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,930,11699.0,930,11699.0,12629.0
YOCALLA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,4,124.0,4,124.0,128.0
YUNCHARA,otras vacunaciones,      antirrabica en perros y gatos,2014-04-01,0,43.0,0,43.0,43.0
ALALAY,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,106.0,0,106.0,106.0
ALTO BENI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,10,40.0,10,40.0,50.0
ARBIETO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,24.0,0,24.0,24.0
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,50,0.0,50,0.0,50.0
BATALLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,46.0,0,46.0,46.0
BELEN DE URMIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,8,0.0,8,0.0,8.0
BERMEJO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,140.0,0,140.0,140.0
BOYUIBE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,9.0,0,9.0,9.0
BUENA VISTA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,310.0,0,310.0,310.0
CABEZAS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,580.0,0,580.0,580.0
CAJUATA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,40.0,0,40.0,40.0
CAQUIAVIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,38.0,0,38.0,38.0
CARANAVI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,4,0.0,4,0.0,4.0
CARAPARI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,120.0,0,120.0,120.0
CHARAGUA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,122,1974.0,122,1974.0,2096.0
CHUMA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,16.0,0,16.0,16.0
CLIZA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,5.0,0,5.0,5.0
COCHABAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,148,881.0,148,881.0,1029.0
COLQUIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,422.0,0,422.0,422.0
COMANCHE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,70.0,0,70.0,70.0
COMARAPA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,110,407.0,110,407.0,517.0
CORO CORO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,100.0,0,100.0,100.0
CORQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,65.0,0,65.0,65.0
COTAGAITA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,20.0,0,20.0,20.0
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,161,0.0,161,0.0,161.0
CUEVO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,780.0,0,780.0,780.0
EL ALTO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,99,1920.0,99,1920.0,2019.0
EL PUENTE(STC),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,21,101.0,21,101.0,122.0
EL TORNO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,512,690.0,512,690.0,1202.0
EUREKA (SANTOS MERCADO),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,180.0,0,180.0,180.0
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,30,368.0,30,368.0,398.0
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,100.0,0,100.0,100.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,1,4.0,1,4.0,5.0
GUTIERREZ,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,871.0,0,871.0,871.0
HUAYLLAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,6.0,0,6.0,6.0
HUMANATA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,15.0,0,15.0,15.0
INQUISIVI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,20,234.0,20,234.0,254.0
LA GUARDIA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,326.0,0,326.0,326.0
LA PAZ,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,33,123.0,33,123.0,156.0
LAGUNILLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,744.0,0,744.0,744.0
LLALLAGUA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,180.0,0,180.0,180.0
MAPIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,28.0,0,28.0,28.0
MINEROS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,161.0,0,161.0,161.0
MIZQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,54,2715.0,54,2715.0,2769.0
MOJINETE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,3,0.0,3,0.0,3.0
MONTERO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,256,21.0,256,21.0,277.0
MORO MORO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,41,205.0,41,205.0,246.0
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,250.0,0,250.0,250.0
ORURO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,461.0,0,461.0,461.0
PAILON,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,700.0,0,700.0,700.0
PAMPA GRANDE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,912,149.0,912,149.0,1061.0
PASORAPA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,108,50.0,108,50.0,158.0
PATACAMAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,500.0,0,500.0,500.0
POCONA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,12,2243.0,12,2243.0,2255.0
POJO (CBBA),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,94,660.0,94,660.0,754.0
PORONGO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,1194.0,0,1194.0,1194.0
POTOSI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,30,550.0,30,550.0,580.0
PUCARA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,80,211.0,80,211.0,291.0
PUCARANI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,60.0,0,60.0,60.0
PUERTO PEREZ,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,28.0,0,28.0,28.0
PUNATA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,15,0.0,15,0.0,15.0
QUILLACOLLO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,126,473.0,126,473.0,599.0
QUIRUSILLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,324,76.0,324,76.0,400.0
RAVELO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,10.0,0,10.0,10.0
ROBORE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,516.0,0,516.0,516.0
