municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,8,8
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,89,89
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,119,119
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,58,58
ARQUE,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,326,326
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,359,359
AUCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,74,74
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,58,58
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,52,52
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,621,621
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,16,16
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,53,53
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,64,64
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,22,22
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,5,5
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,248,248
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,3,3
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,941,941
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,56,56
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,28,28
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,244,244
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,25,25
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,103,103
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,187,187
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,1,1
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,180,180
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,3,3
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2018-01-01,5,5
