municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,465,465
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,930,930
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
ANCORAIMES,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,558,558
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,310,310
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,60,60
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,90,90
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,34,34
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1953,1953
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,926,926
AUCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,816,816
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,698,698
BATALLAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2436,2436
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,246,246
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,310,310
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,320,320
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1323,1323
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,3162,3162
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,465,465
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,868,868
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,373,373
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,682,682
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,30,30
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1023,1023
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,558,558
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,3418,3418
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,54125,54125
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1116,1116
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,372,372
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,343,343
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,207,207
COPACABANA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1052,1052
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,320,320
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,527,527
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,473,473
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,372,372
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,21111,21111
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1598,1598
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,154,154
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,60,60
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,248,248
FILADELFIA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,116,116
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2790,2790
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,950,950
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,581,581
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,120,120
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1736,1736
HUARACAJE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
HUAYLLAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,403,403
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,274,274
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,372,372
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,279,279
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2356,2356
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,81134,81134
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1085,1085
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
MALLA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,568,568
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,574,574
MOJINETE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,245,245
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1603,1603
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,3327,3327
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,247,247
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,279,279
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,155,155
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,11743,11743
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,589,589
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,218,218
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,310,310
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,248,248
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,120,120
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,27,27
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,682,682
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1705,1705
PORVENIR,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,13981,13981
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,341,341
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
PUERTO PEREZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,6,6
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,320,320
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,806,806
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1733,1733
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,248,248
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1674,1674
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1085,1085
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,94,94
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
REYES,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,242,242
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,3131,3131
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1327,1327
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,651,651
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2449,2449
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,930,930
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,182,182
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
SAN ANDRES DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,238,238
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,682,682
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,403,403
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2294,2294
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,341,341
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,898,898
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,637,637
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2371,2371
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,987,987
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,683,683
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
