,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos  de 1 a 4 anos,2019-01-01,33,33,0,0,33,33,66
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2019-01-01,247,234,26,30,273,264,537
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,124,114,16,14,140,128,268
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2019-01-01,232,187,14,14,246,201,447
ALALAY,consulta externa,ninos  de 1 a 4 anos,2019-01-01,22,19,2,2,24,21,45
ALCALA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,54,55,3,2,57,57,114
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2019-01-01,214,182,11,6,225,188,413
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2019-01-01,69,52,6,4,75,56,131
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,41,36,0,2,41,38,79
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,18,14,1,0,19,14,33
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2019-01-01,48,51,7,11,55,62,117
APOLO,consulta externa,ninos  de 1 a 4 anos,2019-01-01,195,181,65,73,260,254,514
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,29,36,0,0,29,36,65
ARANI,consulta externa,ninos  de 1 a 4 anos,2019-01-01,58,67,7,5,65,72,137
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2019-01-01,250,260,15,7,265,267,532
ARQUE,consulta externa,ninos  de 1 a 4 anos,2019-01-01,86,99,3,1,89,100,189
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2019-01-01,370,268,16,16,386,284,670
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,168,153,10,10,178,163,341
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,70,51,1,1,71,52,123
AYATA,consulta externa,ninos  de 1 a 4 anos,2019-01-01,60,52,2,5,62,57,119
