municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,341,341
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,527,527
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
APOLO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
ARANI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,214,214
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,247,247
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,339,339
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,279,279
AYATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1178,1178
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
BAURES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,223,223
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,140,140
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1406,1406
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,558,558
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,246,246
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,92,92
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,310,310
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,56,56
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,174,174
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,279,279
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,276,276
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,310,310
CHIPAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1059,1059
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,424,424
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,11873,11873
COIPASA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,410,410
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,278,278
COMBAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
COPACABANA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
COROICO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,310,310
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,122,122
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,713,713
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,496,496
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,402,402
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,92,92
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,5549,5549
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,589,589
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,373,373
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,138,138
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,150,150
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,303,303
FILADELFIA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,27,27
GENERAL SAAVEDRA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,217,217
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,622,622
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,152,152
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,426,426
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,119,119
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,372,372
HUARACAJE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,61,61
HUAYLLAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
HUMANATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,61,61
ICHOCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
ICLA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,305,305
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
