municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,124,124
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,465,465
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,1550,1550
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,94,94
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,403,403
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,279,279
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,155,155
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,62,62
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,124,124
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,92,92
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,959,959
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,527,527
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,868,868
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,30,30
BATALLAS,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,124,124
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,31,31
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,888,888
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,248,248
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,124,124
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,251,251
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,279,279
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2013-01-01,248,248
