municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,56,56
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,164,164
ANDAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,99,99
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,27,27
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,439,439
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,112,112
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,54,54
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,38,38
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,56,56
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,864,864
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,40,40
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,41,41
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,59,59
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,25,25
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,4,4
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,215,215
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,1379,1379
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,36,36
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,4,4
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,322,322
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,9,9
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,15,15
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,306,306
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,393,393
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,18,18
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,23,23
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,217,217
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,17,17
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,1625,1625
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,32912,32912
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,196,196
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,4,4
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,54,54
COLQUECHACA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,6,6
COLQUIRI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,6,6
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,77,77
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,71,71
COPACABANA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,11,11
CORIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,6,6
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,301,301
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,82,82
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,137,137
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,132,132
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,14,14
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,53,53
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,7260,7260
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,16,16
EL PUENTE(TJA),internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,90,90
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,764,764
EL VILLAR,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,3,3
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,77,77
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,22,22
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,97,97
EUCALIPTUS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,60,60
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,187,187
FILADELFIA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,6,6
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,18,18
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,15,15
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,2134,2134
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,68,68
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,53,53
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,10,10
HUACHACALLA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,1,1
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,284,284
HUARACAJE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,33,33
INCAHUASI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,41,41
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,72,72
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,53,53
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,15,15
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,219,219
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,50110,50110
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,12,12
LAS CARRERAS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,6,6
LICOMA PAMPA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,1,1
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,410,410
LURIBAY,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,4,4
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,11,11
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,203,203
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,97,97
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,36,36
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,84,84
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,52,52
MOJOCOYA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,16,16
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,485,485
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,1969,1969
MOROCHATA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,10,10
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,30,30
OKINAWA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,41,41
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,3,3
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,7134,7134
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,205,205
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,55,55
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,86,86
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,2,2
PASORAPA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,3,3
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,18,18
POCOATA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,2,2
POOPO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,3,3
PORCO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,62,62
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,5,5
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,614,614
PORVENIR,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,6,6
POSTRER VALLE,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,4,4
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,3383,3383
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,3,3
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,6,6
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,15,15
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,54,54
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,197,197
PUERTO SILES,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,5,5
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,291,291
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,407,407
PUNA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,8,8
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,564,564
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,428,428
QUIME,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,4,4
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,7,7
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,86,86
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2013-01-01,2306,2306
