municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,9,9
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,42,42
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,149,149
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,24,24
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,32,32
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,4,4
ANTEQUERA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,1,1
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,3,3
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,25,25
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,9,9
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,12,12
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,5,5
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,199,199
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,13,13
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,5,5
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,29,29
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,14,14
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,29,29
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,152,152
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,48,48
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,12,12
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,14,14
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,9,9
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,12,12
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,6,6
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,26,26
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,8,8
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,186,186
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,6,6
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2013-01-01,275,275
