municipality,group,variable,month,N°de actividades de la comunidad con participación del establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,12,12
ACHACACHI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
AIQUILE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,69,69
ALCALA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,18,18
ALTO BENI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
ANDAMARCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
ANZALDO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,10,10
APOLO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,21,21
ARANI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,13,13
ARBIETO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,10,10
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,15,15
ATOCHA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
AYATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,24,24
BATALLAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
BAURES,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
BELLA FLOR,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
BETANZOS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,67,67
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,15,15
CAJUATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
CALACOTO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
CAMARGO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,50,50
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
