municipality,group,variable,month,9.25 Nro de actividades de educacion integral en sexualidad a adolescentes,TOTAL
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-01-01,3,3
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-01-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-01-01,5,5
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,4,4
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,1,1
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,2,2
CHAYANTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,1,1
CHOQUE COTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,22,22
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,8,8
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,5,5
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,1,1
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,21,21
OCURI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,2,2
PORVENIR,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,2,2
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,380,380
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,8,8
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,2,2
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,6,6
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,3,3
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,5,5
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,7,7
VILLAZON,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,4,4
WARNES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-02-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,4,4
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,48,48
CARANAVI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,156,156
CHAQUI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,6,6
CHAYANTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,3,3
CKOCHAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,24,24
EL CHORO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,2,2
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
FILADELFIA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,3,3
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
LORETO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,11,11
ORURO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,4,4
PADILLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,8,8
POOPO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,12,12
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,25,25
PUNA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
ROBORE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,4,4
SACACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,44,44
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,2,2
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,5,5
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,8,8
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,16,16
TRINIDAD,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
VITICHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-03-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,3,3
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,13,13
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,2,2
CHARAGUA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,28,28
FILADELFIA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,86,86
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,71,71
LORETO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,8,8
ORURO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,7,7
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
POJO (CBBA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,2,2
POROMA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,14,14
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,30,30
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,2,2
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,87,87
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,4,4
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,12,12
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,9,9
TARVITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,14,14
UYUNI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,9,9
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-04-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,2,2
