municipality,group,variable,month,Nº de comunidades que participaron en el CAI de se,TOTAL
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,30,30
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,3,3
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
ARAMPAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,9,9
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,8,8
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,7,7
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,9,9
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,7,7
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,7,7
CARIPUYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,18,18
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,17,17
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
COIPASA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,12,12
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,12,12
COMBAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
CURAHUARA DE CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,5,5
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,46,46
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,5,5
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,3,3
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,3,3
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,31,31
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,19,19
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
MACHACAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,5,5
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,7,7
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,3,3
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,14,14
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
PORCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,15,15
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
