municipality,group,variable,month,Nº de actividades realizadas con participación,TOTAL
ACACIO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,22,22
ACHACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,41,41
AIQUILE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,34,34
ALCALA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,18,18
ANCORAIMES,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,18,18
ANZALDO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,10,10
APOLO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,20,20
ARAMPAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,30,30
ARBIETO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
ARQUE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
ATOCHA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
AYATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,33,33
AZURDUY,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,40,40
BATALLAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
BAURES,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,9,9
BELEN DE URMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
BELLA FLOR,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
BERMEJO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
BETANZOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,58,58
BOLIVAR,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,17,17
BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
CABEZAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
CAIROMA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
"CAIZA ""D""",actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
CAJUATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
CALACOTO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
