,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,9,8,10,9,19
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,21,15,102,101,123,116,239
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,24,17,164,167,188,184,372
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,12,10,74,66,86,76,162
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,2,6,2,10,4,14
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,3,5,6,7,13
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,7,48,42,49,49,98
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,35,35,35,36,71
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,0,16,9,18,9,27
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,9,11,9,11,20
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,7,25,25,26,32,58
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,10,12,103,114,113,126,239
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,4,2,4,3,7
