,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,0,5,3,8,3,11
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,6,2,5,9,11,11,22
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,2,2,3,2,5
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,1,31,27,33,28,61
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,4,3,1,3,5,8
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,8,6,8,6,14
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,0,1,0,1
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,3,0,0,3,3,6
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,2,3,3,4,7
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,2,1,3,1,4
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,2,5,8,5,10,15
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,5,4,5,4,9
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,0,13,5,15,5,20
