municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
ACACIO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
APOLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,2,2
CAJUATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,2,2
CHARAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,2,2
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,11,11
COMARAPA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
COPACABANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,8,8
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,15,15
MAGDALENA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
MONTEAGUDO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,3,3
OCURI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,4,4
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
ROBORE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
RURRENABAQUE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
SANTA ANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,17,17
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,4,4
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,3,3
TIQUIPAYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,2,2
UYUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
YAPACANI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-01-01,1,1
AIQUILE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,4,4
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,15,15
COLOMI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
COTAGAITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
COTOCA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,10,10
EL TORNO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
GUANAY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,9,9
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,5,5
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
PORTACHUELO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,3,3
PUCARANI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,2,2
REYES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
SABAYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
SACABA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
SAN CARLOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,12,12
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,4,4
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,3,3
TOTORA(CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,2,2
URUBICHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,3,3
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-02-01,1,1
ACHACACHI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
AIQUILE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
