municipality,group,variable,month,Nacidos muertos,TOTAL
ACACIO,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
APOLO,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
CAJUATA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos,2006-01-01,3,3
CHALLAPATA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2006-01-01,18,18
COMARAPA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
COPACABANA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
COTOCA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos,2006-01-01,17,17
HUARACAJE,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
INQUISIVI,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos,2006-01-01,29,29
MAGDALENA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
MINEROS,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
MONTEAGUDO,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
MONTERO,atencion de partos en servicio,nacidos muertos,2006-01-01,3,3
OCURI,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos,2006-01-01,8,8
PADILLA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
PASORAPA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos,2006-01-01,5,5
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
RAVELO,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
RIBERALTA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
ROBORE,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
RURRENABAQUE,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
SANTA ANA,atencion de partos en servicio,nacidos muertos,2006-01-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos,2006-01-01,27,27
SENA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos,2006-01-01,7,7
TARABUCO,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos,2006-01-01,6,6
TIQUIPAYA,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
TRINIDAD,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
TUPIZA,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
UNCIA,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
UYUNI,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
VILLAZON,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
WARNES,atencion de partos en servicio,nacidos muertos,2006-01-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
YAPACANI,atencion de partos en servicio,nacidos muertos,2006-01-01,2,2
AIQUILE,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos muertos,2006-02-01,2,2
CAJUATA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos,2006-02-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos,2006-02-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos muertos,2006-02-01,2,2
COBIJA,atencion de partos en servicio,nacidos muertos,2006-02-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2006-02-01,22,22
COLOMI,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
COPACABANA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
COTOCA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
CUATRO CAÑADAS,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos,2006-02-01,16,16
EL TORNO,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
GUANAY,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos,2006-02-01,19,19
MAIRANA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos,2006-02-01,2,2
OCURI,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos,2006-02-01,10,10
PADILLA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
PORTACHUELO,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos,2006-02-01,6,6
PUCARANI,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
PUERTO RICO,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos,2006-02-01,2,2
REYES,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
SABAYA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
SACABA,atencion de partos en servicio,nacidos muertos,2006-02-01,2,2
SAN BORJA,atencion de partos en servicio,nacidos muertos,2006-02-01,1,1
