municipality,group,variable,month,Cesáreas,TOTAL
AIQUILE,atencion de partos en servicio,cesareas,2006-01-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2006-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,cesareas,2006-01-01,1,1
BAURES,atencion de partos en servicio,cesareas,2006-01-01,2,2
BERMEJO,atencion de partos en servicio,cesareas,2006-01-01,7,7
BETANZOS,atencion de partos en servicio,cesareas,2006-01-01,2,2
CAMARGO,atencion de partos en servicio,cesareas,2006-01-01,8,8
CAMIRI,atencion de partos en servicio,cesareas,2006-01-01,8,8
CAPINOTA,atencion de partos en servicio,cesareas,2006-01-01,1,1
CARANAVI,atencion de partos en servicio,cesareas,2006-01-01,20,20
CHARAGUA,atencion de partos en servicio,cesareas,2006-01-01,12,12
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,cesareas,2006-01-01,3,3
COBIJA,atencion de partos en servicio,cesareas,2006-01-01,22,22
COCHABAMBA,atencion de partos en servicio,cesareas,2006-01-01,541,541
COLCAPIRHUA,atencion de partos en servicio,cesareas,2006-01-01,4,4
COMARAPA,atencion de partos en servicio,cesareas,2006-01-01,8,8
CONCEPCION,atencion de partos en servicio,cesareas,2006-01-01,5,5
COPACABANA,atencion de partos en servicio,cesareas,2006-01-01,3,3
COROICO,atencion de partos en servicio,cesareas,2006-01-01,6,6
COTOCA,atencion de partos en servicio,cesareas,2006-01-01,1,1
EL ALTO,atencion de partos en servicio,cesareas,2006-01-01,155,155
EL TORNO,atencion de partos en servicio,cesareas,2006-01-01,11,11
GUAYARAMERIN,atencion de partos en servicio,cesareas,2006-01-01,18,18
HUANUNI,atencion de partos en servicio,cesareas,2006-01-01,3,3
LA PAZ,atencion de partos en servicio,cesareas,2006-01-01,528,528
MAGDALENA,atencion de partos en servicio,cesareas,2006-01-01,4,4
MAIRANA,atencion de partos en servicio,cesareas,2006-01-01,7,7
MONTEAGUDO,atencion de partos en servicio,cesareas,2006-01-01,9,9
MONTERO,atencion de partos en servicio,cesareas,2006-01-01,70,70
ORURO,atencion de partos en servicio,cesareas,2006-01-01,149,149
PADILLA,atencion de partos en servicio,cesareas,2006-01-01,7,7
PATACAMAYA,atencion de partos en servicio,cesareas,2006-01-01,3,3
PORTACHUELO,atencion de partos en servicio,cesareas,2006-01-01,14,14
POTOSI,atencion de partos en servicio,cesareas,2006-01-01,51,51
PUERTO ACOSTA,atencion de partos en servicio,cesareas,2006-01-01,2,2
PUERTO QUIJARRO,atencion de partos en servicio,cesareas,2006-01-01,2,2
PUERTO SUAREZ,atencion de partos en servicio,cesareas,2006-01-01,15,15
PUERTO VILLARROEL,atencion de partos en servicio,cesareas,2006-01-01,20,20
PUNATA,atencion de partos en servicio,cesareas,2006-01-01,22,22
QUILLACOLLO,atencion de partos en servicio,cesareas,2006-01-01,59,59
REYES,atencion de partos en servicio,cesareas,2006-01-01,3,3
RIBERALTA,atencion de partos en servicio,cesareas,2006-01-01,40,40
ROBORE,atencion de partos en servicio,cesareas,2006-01-01,11,11
RURRENABAQUE,atencion de partos en servicio,cesareas,2006-01-01,9,9
SACABA,atencion de partos en servicio,cesareas,2006-01-01,21,21
SAN BORJA,atencion de partos en servicio,cesareas,2006-01-01,12,12
SAN CARLOS,atencion de partos en servicio,cesareas,2006-01-01,16,16
SAN IGNACIO DE VELASCO,atencion de partos en servicio,cesareas,2006-01-01,15,15
SAN JAVIER(STC),atencion de partos en servicio,cesareas,2006-01-01,2,2
SAN JOAQUIN,atencion de partos en servicio,cesareas,2006-01-01,3,3
SAN JUAN DE YAPACANI,atencion de partos en servicio,cesareas,2006-01-01,6,6
SAN JULIAN,atencion de partos en servicio,cesareas,2006-01-01,15,15
SAN LUCAS,atencion de partos en servicio,cesareas,2006-01-01,3,3
SAN MATIAS,atencion de partos en servicio,cesareas,2006-01-01,2,2
SAN RAMON,atencion de partos en servicio,cesareas,2006-01-01,3,3
SAN RAMON,atencion de partos en servicio,cesareas,2006-01-01,8,8
SANTA ANA,atencion de partos en servicio,cesareas,2006-01-01,5,5
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,cesareas,2006-01-01,1145,1145
SANTA ROSA,atencion de partos en servicio,cesareas,2006-01-01,1,1
SOPACHUY,atencion de partos en servicio,cesareas,2006-01-01,3,3
SUCRE,atencion de partos en servicio,cesareas,2006-01-01,121,121
TARABUCO,atencion de partos en servicio,cesareas,2006-01-01,3,3
TARIJA,atencion de partos en servicio,cesareas,2006-01-01,111,111
TIQUIPAYA,atencion de partos en servicio,cesareas,2006-01-01,2,2
TIRAQUE (CBBA),atencion de partos en servicio,cesareas,2006-01-01,9,9
TOTORA(CBBA),atencion de partos en servicio,cesareas,2006-01-01,1,1
TRINIDAD,atencion de partos en servicio,cesareas,2006-01-01,63,63
TUPIZA,atencion de partos en servicio,cesareas,2006-01-01,8,8
UNCIA,atencion de partos en servicio,cesareas,2006-01-01,5,5
UYUNI,atencion de partos en servicio,cesareas,2006-01-01,9,9
