municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
ACHACACHI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,52,52
ACHOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
AIQUILE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,16,16
ALALAY,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
ALCALA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
ANCORAIMES,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,27,27
ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
ANTEQUERA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
ANZALDO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
APOLO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
ARAMPAMPA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
ARANI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
ARBIETO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
ARQUE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
ASCENCION DE GUARAYOS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,57,57
ATOCHA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,15,15
AUCAPATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
AYATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,10,10
AYO AYO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,32,32
AZURDUY,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,27,27
BATALLAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,26,26
BAURES,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
BELEN DE ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
BERMEJO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,25,25
BETANZOS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,35,35
BOLIVAR,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,19,19
BOLPEBRA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
BOYUIBE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
BUENA VISTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
CABEZAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,24,24
CAIROMA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,15,15
"CAIZA ""D""",atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
CAJUATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
CALAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,18,18
CAMARGO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,30,30
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
CAMIRI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,16,16
CAPINOTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,28,28
CAQUIAVIRI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,10,10
CARACOLLO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,37,37
CARANAVI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,115,115
