municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
ACHACACHI,atencion de partos en servicio,nacidos vivos,2006-01-01,25,25
ACHOCALLA,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
AIQUILE,atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
ALALAY,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
ALCALA,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
ANCORAIMES,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
ANTEQUERA,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
ANZALDO,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
APOLO,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
ARAMPAMPA,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
ARANI,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
ARBIETO,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
ARQUE,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos,2006-01-01,60,60
ATOCHA,atencion de partos en servicio,nacidos vivos,2006-01-01,17,17
AYATA,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
AYO AYO,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos,2006-01-01,17,17
AZURDUY,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
BATALLAS,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
BAURES,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
BERMEJO,atencion de partos en servicio,nacidos vivos,2006-01-01,41,41
BETANZOS,atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
BOLIVAR,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
BOLPEBRA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
BOYUIBE,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
BUENA VISTA,atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
CABEZAS,atencion de partos en servicio,nacidos vivos,2006-01-01,11,11
CAIROMA,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
"CAIZA ""D""",atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
CAJUATA,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
CALAMARCA,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
CAMARGO,atencion de partos en servicio,nacidos vivos,2006-01-01,32,32
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
CAMIRI,atencion de partos en servicio,nacidos vivos,2006-01-01,20,20
CAPINOTA,atencion de partos en servicio,nacidos vivos,2006-01-01,18,18
CAQUIAVIRI,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
CARACOLLO,atencion de partos en servicio,nacidos vivos,2006-01-01,30,30
CARANAVI,atencion de partos en servicio,nacidos vivos,2006-01-01,61,61
CARAPARI,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
