municipality,group,variable,month,Nacidos vivos,TOTAL
CARIPUYO,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
CHALLAPATA,atencion de partos en servicio,nacidos vivos,2006-01-01,22,22
CHAQUI,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
CHARAGUA,atencion de partos en servicio,nacidos vivos,2006-01-01,59,59
CHARAÑA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
CHAYANTA,atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
CHIMORE,atencion de partos en servicio,nacidos vivos,2006-01-01,13,13
CHIPAYA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos vivos,2006-01-01,30,30
CHUMA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
CLIZA,atencion de partos en servicio,nacidos vivos,2006-01-01,16,16
COBIJA,atencion de partos en servicio,nacidos vivos,2006-01-01,61,61
COCHABAMBA,atencion de partos en servicio,nacidos vivos,2006-01-01,1364,1364
COLCAPIRHUA,atencion de partos en servicio,nacidos vivos,2006-01-01,24,24
"COLCHA ""K""",atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
COLOMI,atencion de partos en servicio,nacidos vivos,2006-01-01,27,27
COLPA BELGICA,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
COLQUECHACA,atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
COLQUENCHA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
COLQUIRI,atencion de partos en servicio,nacidos vivos,2006-01-01,20,20
COMANCHE,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
COMARAPA,atencion de partos en servicio,nacidos vivos,2006-01-01,26,26
CONCEPCION,atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
COPACABANA,atencion de partos en servicio,nacidos vivos,2006-01-01,17,17
CORIPATA,atencion de partos en servicio,nacidos vivos,2006-01-01,15,15
CORO CORO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
COROICO,atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
CORQUE,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
COTAGAITA,atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
COTOCA,atencion de partos en servicio,nacidos vivos,2006-01-01,55,55
CUATRO CAÑADAS,atencion de partos en servicio,nacidos vivos,2006-01-01,15,15
CUEVO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
CULPINA,atencion de partos en servicio,nacidos vivos,2006-01-01,24,24
CURAHUARA DE CARANGAS,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
DESAGUADERO,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
EL ALTO,atencion de partos en servicio,nacidos vivos,2006-01-01,1060,1060
EL PUENTE(STC),atencion de partos en servicio,nacidos vivos,2006-01-01,11,11
EL PUENTE(TJA),atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
EL TORNO,atencion de partos en servicio,nacidos vivos,2006-01-01,51,51
EL VILLAR,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
ENTRE RIOS,atencion de partos en servicio,nacidos vivos,2006-01-01,17,17
ENTRE RIOS,atencion de partos en servicio,nacidos vivos,2006-01-01,20,20
EUCALIPTUS,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
EXALTACION,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
GENERAL SAAVEDRA,atencion de partos en servicio,nacidos vivos,2006-01-01,28,28
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
GUANAY,atencion de partos en servicio,nacidos vivos,2006-01-01,12,12
GUAQUI,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos vivos,2006-01-01,72,72
GUTIERREZ,atencion de partos en servicio,nacidos vivos,2006-01-01,11,11
HUACARETA,atencion de partos en servicio,nacidos vivos,2006-01-01,11,11
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
HUANUNI,atencion de partos en servicio,nacidos vivos,2006-01-01,26,26
HUARACAJE,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
ICLA,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
INCAHUASI,atencion de partos en servicio,nacidos vivos,2006-01-01,13,13
INQUISIVI,atencion de partos en servicio,nacidos vivos,2006-01-01,14,14
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
IXIAMAS,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
JESUS DE MACHACA,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
LA ASUNTA,atencion de partos en servicio,nacidos vivos,2006-01-01,17,17
LA GUARDIA,atencion de partos en servicio,nacidos vivos,2006-01-01,40,40
LA PAZ,atencion de partos en servicio,nacidos vivos,2006-01-01,1604,1604
LAGUNILLAS,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
LAJA,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
LAS CARRERAS,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
LICOMA PAMPA,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
LLALLAGUA,atencion de partos en servicio,nacidos vivos,2006-01-01,54,54
LLICA,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
LORETO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
LURIBAY,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
MACHACAMARCA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
MACHARETI,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
MAGDALENA,atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
MAIRANA,atencion de partos en servicio,nacidos vivos,2006-01-01,22,22
MAPIRI,atencion de partos en servicio,nacidos vivos,2006-01-01,12,12
MECAPACA,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
MINEROS,atencion de partos en servicio,nacidos vivos,2006-01-01,25,25
MIZQUE,atencion de partos en servicio,nacidos vivos,2006-01-01,25,25
MOCOMOCO,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
MOJOCOYA,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
MONTEAGUDO,atencion de partos en servicio,nacidos vivos,2006-01-01,47,47
MONTERO,atencion de partos en servicio,nacidos vivos,2006-01-01,221,221
MORO MORO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
MOROCHATA,atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
OCURI,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
OKINAWA,atencion de partos en servicio,nacidos vivos,2006-01-01,15,15
OMEREQUE,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
ORURO,atencion de partos en servicio,nacidos vivos,2006-01-01,467,467
PADCAYA,atencion de partos en servicio,nacidos vivos,2006-01-01,13,13
PADILLA,atencion de partos en servicio,nacidos vivos,2006-01-01,23,23
PAILON,atencion de partos en servicio,nacidos vivos,2006-01-01,14,14
PALCA,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
PALOS BLANCOS,atencion de partos en servicio,nacidos vivos,2006-01-01,14,14
PAMPA AULLAGAS,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
PAMPA GRANDE,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
PAPEL PAMPA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
PASORAPA,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
PATACAMAYA,atencion de partos en servicio,nacidos vivos,2006-01-01,29,29
PAZÑA,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
POCOATA,atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
POCONA,atencion de partos en servicio,nacidos vivos,2006-01-01,11,11
POJO (CBBA),atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
POOPO,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
PORCO,atencion de partos en servicio,nacidos vivos,2006-01-01,10,10
POROMA,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
PORONGO,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
PORTACHUELO,atencion de partos en servicio,nacidos vivos,2006-01-01,36,36
PORVENIR,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
POSTRER VALLE,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos vivos,2006-01-01,329,329
PRESTO,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
PUCARANI,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
PUERTO ACOSTA,atencion de partos en servicio,nacidos vivos,2006-01-01,15,15
PUERTO CARABUCO,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
PUERTO QUIJARRO,atencion de partos en servicio,nacidos vivos,2006-01-01,22,22
PUERTO RICO,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
PUERTO SUAREZ,atencion de partos en servicio,nacidos vivos,2006-01-01,39,39
PUERTO VILLARROEL,atencion de partos en servicio,nacidos vivos,2006-01-01,83,83
PUNA,atencion de partos en servicio,nacidos vivos,2006-01-01,25,25
PUNATA,atencion de partos en servicio,nacidos vivos,2006-01-01,51,51
QUIABAYA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos vivos,2006-01-01,154,154
QUIME,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
QUIRUSILLAS,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
RAVELO,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
REYES,atencion de partos en servicio,nacidos vivos,2006-01-01,17,17
RIBERALTA,atencion de partos en servicio,nacidos vivos,2006-01-01,184,184
ROBORE,atencion de partos en servicio,nacidos vivos,2006-01-01,30,30
RURRENABAQUE,atencion de partos en servicio,nacidos vivos,2006-01-01,25,25
SACABA,atencion de partos en servicio,nacidos vivos,2006-01-01,145,145
SACABAMBA,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
SACACA,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
SAIPINA,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
SALINAS DE GARCI MENDOZA,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
SAMAIPATA,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
SAN ANDRES,atencion de partos en servicio,nacidos vivos,2006-01-01,14,14
SAN ANTONIO DE ESMORUCO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
SAN BENITO,atencion de partos en servicio,nacidos vivos,2006-01-01,11,11
SAN BORJA,atencion de partos en servicio,nacidos vivos,2006-01-01,69,69
SAN BUENA VENTURA,atencion de partos en servicio,nacidos vivos,2006-01-01,12,12
SAN CARLOS,atencion de partos en servicio,nacidos vivos,2006-01-01,55,55
SAN IGNACIO,atencion de partos en servicio,nacidos vivos,2006-01-01,23,23
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos vivos,2006-01-01,73,73
SAN JAVIER(STC),atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
SAN JOAQUIN,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos vivos,2006-01-01,26,26
SAN JUAN DE YAPACANI,atencion de partos en servicio,nacidos vivos,2006-01-01,25,25
SAN JULIAN,atencion de partos en servicio,nacidos vivos,2006-01-01,111,111
SAN LORENZO(PND),atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
SAN LORENZO(TJA),atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
SAN LUCAS,atencion de partos en servicio,nacidos vivos,2006-01-01,22,22
SAN MATIAS,atencion de partos en servicio,nacidos vivos,2006-01-01,17,17
SAN MIGUEL DE VELASCO,atencion de partos en servicio,nacidos vivos,2006-01-01,18,18
SAN PABLO DE LIPEZ,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
SAN PEDRO,atencion de partos en servicio,nacidos vivos,2006-01-01,22,22
SAN PEDRO DE BUENA VISTA,atencion de partos en servicio,nacidos vivos,2006-01-01,7,7
SAN PEDRO DE CURAHUARA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
SAN PEDRO(PND),atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
SAN RAFAEL,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
SAN RAMON,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
SAN RAMON,atencion de partos en servicio,nacidos vivos,2006-01-01,16,16
SANTA ANA,atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos vivos,2006-01-01,2694,2694
SANTA ROSA,atencion de partos en servicio,nacidos vivos,2006-01-01,13,13
SANTA ROSA DEL SARA,atencion de partos en servicio,nacidos vivos,2006-01-01,19,19
SANTIAGO DE HUARI,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
SANTIAGO DE MACHACA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
SANTIVAÑES,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
SAPAHAQUI,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
SENA,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
SIPE SIPE,atencion de partos en servicio,nacidos vivos,2006-01-01,28,28
SOPACHUY,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
SORATA,atencion de partos en servicio,nacidos vivos,2006-01-01,11,11
SUCRE,atencion de partos en servicio,nacidos vivos,2006-01-01,405,405
TACACHI,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
TACACOMA,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
TACOBAMBA,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
TACOPAYA,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
TAPACARI,atencion de partos en servicio,nacidos vivos,2006-01-01,12,12
TARABUCO,atencion de partos en servicio,nacidos vivos,2006-01-01,33,33
TARACO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
TARATA,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
TARIJA,atencion de partos en servicio,nacidos vivos,2006-01-01,312,312
TARVITA,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
TEOPONTE,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
TIAWANACU,atencion de partos en servicio,nacidos vivos,2006-01-01,12,12
TINGUIPAYA,atencion de partos en servicio,nacidos vivos,2006-01-01,12,12
TIPUANI,atencion de partos en servicio,nacidos vivos,2006-01-01,21,21
TIQUIPAYA,atencion de partos en servicio,nacidos vivos,2006-01-01,41,41
TIRAQUE (CBBA),atencion de partos en servicio,nacidos vivos,2006-01-01,63,63
TOCO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
TOLATA,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
TOLEDO,atencion de partos en servicio,nacidos vivos,2006-01-01,3,3
TOMAVE,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
TOMINA,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
TORO TORO,atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
TOTORA(CBBA),atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
TOTORA(ORR),atencion de partos en servicio,nacidos vivos,2006-01-01,6,6
TRIGAL,atencion de partos en servicio,nacidos vivos,2006-01-01,2,2
TRINIDAD,atencion de partos en servicio,nacidos vivos,2006-01-01,222,222
TUPIZA,atencion de partos en servicio,nacidos vivos,2006-01-01,58,58
TURCO,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
UNCIA,atencion de partos en servicio,nacidos vivos,2006-01-01,51,51
URIONDO (A. CONCEPCION),atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
URUBICHA,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
UYUNI,atencion de partos en servicio,nacidos vivos,2006-01-01,36,36
VACAS,atencion de partos en servicio,nacidos vivos,2006-01-01,12,12
VALLEGRANDE,atencion de partos en servicio,nacidos vivos,2006-01-01,21,21
VIACHA,atencion de partos en servicio,nacidos vivos,2006-01-01,24,24
VILLA MONTES,atencion de partos en servicio,nacidos vivos,2006-01-01,57,57
VILLA RIVERO,atencion de partos en servicio,nacidos vivos,2006-01-01,5,5
VILLA SERRANO,atencion de partos en servicio,nacidos vivos,2006-01-01,8,8
VILLA TUNARI,atencion de partos en servicio,nacidos vivos,2006-01-01,86,86
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
VILLAZON,atencion de partos en servicio,nacidos vivos,2006-01-01,56,56
VINTO,atencion de partos en servicio,nacidos vivos,2006-01-01,41,41
VITICHI,atencion de partos en servicio,nacidos vivos,2006-01-01,4,4
WARNES,atencion de partos en servicio,nacidos vivos,2006-01-01,70,70
YACUIBA,atencion de partos en servicio,nacidos vivos,2006-01-01,135,135
YAMPARAEZ,atencion de partos en servicio,nacidos vivos,2006-01-01,14,14
YANACACHI,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
YAPACANI,atencion de partos en servicio,nacidos vivos,2006-01-01,70,70
YOCALLA,atencion de partos en servicio,nacidos vivos,2006-01-01,1,1
YOTALA,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
ZUDAÑEZ,atencion de partos en servicio,nacidos vivos,2006-01-01,9,9
ACACIO,atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
ACHACACHI,atencion de partos en servicio,nacidos vivos,2006-02-01,26,26
ACHOCALLA,atencion de partos en servicio,nacidos vivos,2006-02-01,8,8
AIQUILE,atencion de partos en servicio,nacidos vivos,2006-02-01,35,35
ALALAY,atencion de partos en servicio,nacidos vivos,2006-02-01,3,3
ALCALA,atencion de partos en servicio,nacidos vivos,2006-02-01,3,3
ANCORAIMES,atencion de partos en servicio,nacidos vivos,2006-02-01,4,4
ANZALDO,atencion de partos en servicio,nacidos vivos,2006-02-01,3,3
APOLO,atencion de partos en servicio,nacidos vivos,2006-02-01,11,11
ARAMPAMPA,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
ARANI,atencion de partos en servicio,nacidos vivos,2006-02-01,13,13
ARBIETO,atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
ARQUE,atencion de partos en servicio,nacidos vivos,2006-02-01,7,7
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos,2006-02-01,51,51
ATOCHA,atencion de partos en servicio,nacidos vivos,2006-02-01,22,22
AYATA,atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
AYO AYO,atencion de partos en servicio,nacidos vivos,2006-02-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos,2006-02-01,22,22
AZURDUY,atencion de partos en servicio,nacidos vivos,2006-02-01,9,9
BATALLAS,atencion de partos en servicio,nacidos vivos,2006-02-01,3,3
BAURES,atencion de partos en servicio,nacidos vivos,2006-02-01,7,7
BERMEJO,atencion de partos en servicio,nacidos vivos,2006-02-01,39,39
BETANZOS,atencion de partos en servicio,nacidos vivos,2006-02-01,22,22
BOLIVAR,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
BOLPEBRA,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
BOYUIBE,atencion de partos en servicio,nacidos vivos,2006-02-01,7,7
BUENA VISTA,atencion de partos en servicio,nacidos vivos,2006-02-01,12,12
CABEZAS,atencion de partos en servicio,nacidos vivos,2006-02-01,23,23
CAIROMA,atencion de partos en servicio,nacidos vivos,2006-02-01,9,9
"CAIZA ""D""",atencion de partos en servicio,nacidos vivos,2006-02-01,3,3
CAJUATA,atencion de partos en servicio,nacidos vivos,2006-02-01,5,5
CALACOTO,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
CALAMARCA,atencion de partos en servicio,nacidos vivos,2006-02-01,6,6
CAMARGO,atencion de partos en servicio,nacidos vivos,2006-02-01,19,19
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
CAMIRI,atencion de partos en servicio,nacidos vivos,2006-02-01,77,77
CAPINOTA,atencion de partos en servicio,nacidos vivos,2006-02-01,21,21
CAQUIAVIRI,atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
CARACOLLO,atencion de partos en servicio,nacidos vivos,2006-02-01,17,17
CARANAVI,atencion de partos en servicio,nacidos vivos,2006-02-01,53,53
CARAPARI,atencion de partos en servicio,nacidos vivos,2006-02-01,8,8
CARIPUYO,atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicio,nacidos vivos,2006-02-01,6,6
CHACARILLA,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
CHALLAPATA,atencion de partos en servicio,nacidos vivos,2006-02-01,23,23
CHAQUI,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos vivos,2006-02-01,39,39
CHARAÑA,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
CHAYANTA,atencion de partos en servicio,nacidos vivos,2006-02-01,11,11
CHIMORE,atencion de partos en servicio,nacidos vivos,2006-02-01,14,14
CHIPAYA,atencion de partos en servicio,nacidos vivos,2006-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos vivos,2006-02-01,18,18
CHUMA,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
CLIZA,atencion de partos en servicio,nacidos vivos,2006-02-01,21,21
COBIJA,atencion de partos en servicio,nacidos vivos,2006-02-01,85,85
COCHABAMBA,atencion de partos en servicio,nacidos vivos,2006-02-01,1194,1194
COLCAPIRHUA,atencion de partos en servicio,nacidos vivos,2006-02-01,17,17
"COLCHA ""K""",atencion de partos en servicio,nacidos vivos,2006-02-01,6,6
COLLANA,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
COLOMI,atencion de partos en servicio,nacidos vivos,2006-02-01,26,26
COLPA BELGICA,atencion de partos en servicio,nacidos vivos,2006-02-01,10,10
COLQUECHACA,atencion de partos en servicio,nacidos vivos,2006-02-01,12,12
COLQUIRI,atencion de partos en servicio,nacidos vivos,2006-02-01,6,6
COMARAPA,atencion de partos en servicio,nacidos vivos,2006-02-01,27,27
CONCEPCION,atencion de partos en servicio,nacidos vivos,2006-02-01,30,30
COPACABANA,atencion de partos en servicio,nacidos vivos,2006-02-01,15,15
CORIPATA,atencion de partos en servicio,nacidos vivos,2006-02-01,17,17
CORO CORO,atencion de partos en servicio,nacidos vivos,2006-02-01,4,4
COROICO,atencion de partos en servicio,nacidos vivos,2006-02-01,19,19
COTAGAITA,atencion de partos en servicio,nacidos vivos,2006-02-01,19,19
COTOCA,atencion de partos en servicio,nacidos vivos,2006-02-01,55,55
CUATRO CAÑADAS,atencion de partos en servicio,nacidos vivos,2006-02-01,23,23
CUEVO,atencion de partos en servicio,nacidos vivos,2006-02-01,3,3
CULPINA,atencion de partos en servicio,nacidos vivos,2006-02-01,19,19
CURAHUARA DE CARANGAS,atencion de partos en servicio,nacidos vivos,2006-02-01,1,1
DESAGUADERO,atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
EL ALTO,atencion de partos en servicio,nacidos vivos,2006-02-01,879,879
EL PUENTE(STC),atencion de partos en servicio,nacidos vivos,2006-02-01,17,17
EL PUENTE(TJA),atencion de partos en servicio,nacidos vivos,2006-02-01,5,5
EL TORNO,atencion de partos en servicio,nacidos vivos,2006-02-01,51,51
EL VILLAR,atencion de partos en servicio,nacidos vivos,2006-02-01,6,6
ENTRE RIOS,atencion de partos en servicio,nacidos vivos,2006-02-01,27,27
ENTRE RIOS,atencion de partos en servicio,nacidos vivos,2006-02-01,12,12
EUCALIPTUS,atencion de partos en servicio,nacidos vivos,2006-02-01,2,2
