municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicio,vaginales,2006-01-01,4,4
ACHACACHI,atencion de partos en servicio,vaginales,2006-01-01,25,25
ACHOCALLA,atencion de partos en servicio,vaginales,2006-01-01,9,9
AIQUILE,atencion de partos en servicio,vaginales,2006-01-01,16,16
ALALAY,atencion de partos en servicio,vaginales,2006-01-01,3,3
ALCALA,atencion de partos en servicio,vaginales,2006-01-01,3,3
ANCORAIMES,atencion de partos en servicio,vaginales,2006-01-01,2,2
ANTEQUERA,atencion de partos en servicio,vaginales,2006-01-01,4,4
ANZALDO,atencion de partos en servicio,vaginales,2006-01-01,5,5
APOLO,atencion de partos en servicio,vaginales,2006-01-01,7,7
ARAMPAMPA,atencion de partos en servicio,vaginales,2006-01-01,2,2
ARANI,atencion de partos en servicio,vaginales,2006-01-01,3,3
ARBIETO,atencion de partos en servicio,vaginales,2006-01-01,2,2
ARQUE,atencion de partos en servicio,vaginales,2006-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicio,vaginales,2006-01-01,53,53
ATOCHA,atencion de partos en servicio,vaginales,2006-01-01,17,17
AYATA,atencion de partos en servicio,vaginales,2006-01-01,2,2
AYO AYO,atencion de partos en servicio,vaginales,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,vaginales,2006-01-01,16,16
AZURDUY,atencion de partos en servicio,vaginales,2006-01-01,6,6
BATALLAS,atencion de partos en servicio,vaginales,2006-01-01,7,7
BAURES,atencion de partos en servicio,vaginales,2006-01-01,5,5
BERMEJO,atencion de partos en servicio,vaginales,2006-01-01,33,33
BETANZOS,atencion de partos en servicio,vaginales,2006-01-01,8,8
BOLIVAR,atencion de partos en servicio,vaginales,2006-01-01,3,3
BOLPEBRA,atencion de partos en servicio,vaginales,2006-01-01,1,1
BOYUIBE,atencion de partos en servicio,vaginales,2006-01-01,6,6
BUENA VISTA,atencion de partos en servicio,vaginales,2006-01-01,19,19
CABEZAS,atencion de partos en servicio,vaginales,2006-01-01,10,10
CAIROMA,atencion de partos en servicio,vaginales,2006-01-01,7,7
"CAIZA ""D""",atencion de partos en servicio,vaginales,2006-01-01,2,2
CAJUATA,atencion de partos en servicio,vaginales,2006-01-01,9,9
CALAMARCA,atencion de partos en servicio,vaginales,2006-01-01,7,7
CAMARGO,atencion de partos en servicio,vaginales,2006-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,vaginales,2006-01-01,2,2
CAMIRI,atencion de partos en servicio,vaginales,2006-01-01,12,12
CAPINOTA,atencion de partos en servicio,vaginales,2006-01-01,17,17
CAQUIAVIRI,atencion de partos en servicio,vaginales,2006-01-01,2,2
CARACOLLO,atencion de partos en servicio,vaginales,2006-01-01,30,30
CARANAVI,atencion de partos en servicio,vaginales,2006-01-01,43,43
CARAPARI,atencion de partos en servicio,vaginales,2006-01-01,8,8
CARIPUYO,atencion de partos en servicio,vaginales,2006-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicio,vaginales,2006-01-01,4,4
CHALLAPATA,atencion de partos en servicio,vaginales,2006-01-01,23,23
CHAQUI,atencion de partos en servicio,vaginales,2006-01-01,5,5
CHARAGUA,atencion de partos en servicio,vaginales,2006-01-01,49,49
CHARAÑA,atencion de partos en servicio,vaginales,2006-01-01,1,1
CHAYANTA,atencion de partos en servicio,vaginales,2006-01-01,9,9
CHIMORE,atencion de partos en servicio,vaginales,2006-01-01,13,13
CHIPAYA,atencion de partos en servicio,vaginales,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,vaginales,2006-01-01,28,28
CHUMA,atencion de partos en servicio,vaginales,2006-01-01,1,1
CLIZA,atencion de partos en servicio,vaginales,2006-01-01,16,16
COBIJA,atencion de partos en servicio,vaginales,2006-01-01,40,40
COCHABAMBA,atencion de partos en servicio,vaginales,2006-01-01,823,823
COLCAPIRHUA,atencion de partos en servicio,vaginales,2006-01-01,20,20
"COLCHA ""K""",atencion de partos en servicio,vaginales,2006-01-01,1,1
COLOMI,atencion de partos en servicio,vaginales,2006-01-01,27,27
COLPA BELGICA,atencion de partos en servicio,vaginales,2006-01-01,6,6
COLQUECHACA,atencion de partos en servicio,vaginales,2006-01-01,10,10
COLQUENCHA,atencion de partos en servicio,vaginales,2006-01-01,1,1
COLQUIRI,atencion de partos en servicio,vaginales,2006-01-01,20,20
COMANCHE,atencion de partos en servicio,vaginales,2006-01-01,1,1
COMARAPA,atencion de partos en servicio,vaginales,2006-01-01,19,19
CONCEPCION,atencion de partos en servicio,vaginales,2006-01-01,14,14
COPACABANA,atencion de partos en servicio,vaginales,2006-01-01,15,15
CORIPATA,atencion de partos en servicio,vaginales,2006-01-01,15,15
CORO CORO,atencion de partos en servicio,vaginales,2006-01-01,1,1
COROICO,atencion de partos en servicio,vaginales,2006-01-01,13,13
CORQUE,atencion de partos en servicio,vaginales,2006-01-01,1,1
COTAGAITA,atencion de partos en servicio,vaginales,2006-01-01,19,19
COTOCA,atencion de partos en servicio,vaginales,2006-01-01,55,55
CUATRO CAÑADAS,atencion de partos en servicio,vaginales,2006-01-01,15,15
CUEVO,atencion de partos en servicio,vaginales,2006-01-01,1,1
CULPINA,atencion de partos en servicio,vaginales,2006-01-01,24,24
CURAHUARA DE CARANGAS,atencion de partos en servicio,vaginales,2006-01-01,3,3
DESAGUADERO,atencion de partos en servicio,vaginales,2006-01-01,5,5
EL ALTO,atencion de partos en servicio,vaginales,2006-01-01,916,916
EL PUENTE(STC),atencion de partos en servicio,vaginales,2006-01-01,11,11
EL PUENTE(TJA),atencion de partos en servicio,vaginales,2006-01-01,10,10
EL TORNO,atencion de partos en servicio,vaginales,2006-01-01,40,40
EL VILLAR,atencion de partos en servicio,vaginales,2006-01-01,4,4
ENTRE RIOS,atencion de partos en servicio,vaginales,2006-01-01,17,17
ENTRE RIOS,atencion de partos en servicio,vaginales,2006-01-01,20,20
EUCALIPTUS,atencion de partos en servicio,vaginales,2006-01-01,6,6
EXALTACION,atencion de partos en servicio,vaginales,2006-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicio,vaginales,2006-01-01,9,9
GENERAL SAAVEDRA,atencion de partos en servicio,vaginales,2006-01-01,28,28
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,vaginales,2006-01-01,3,3
GUANAY,atencion de partos en servicio,vaginales,2006-01-01,11,11
GUAQUI,atencion de partos en servicio,vaginales,2006-01-01,1,1
GUAYARAMERIN,atencion de partos en servicio,vaginales,2006-01-01,54,54
GUTIERREZ,atencion de partos en servicio,vaginales,2006-01-01,11,11
HUACARETA,atencion de partos en servicio,vaginales,2006-01-01,11,11
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicio,vaginales,2006-01-01,3,3
HUANUNI,atencion de partos en servicio,vaginales,2006-01-01,23,23
HUARACAJE,atencion de partos en servicio,vaginales,2006-01-01,8,8
ICLA,atencion de partos en servicio,vaginales,2006-01-01,8,8
INCAHUASI,atencion de partos en servicio,vaginales,2006-01-01,13,13
INQUISIVI,atencion de partos en servicio,vaginales,2006-01-01,15,15
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,vaginales,2006-01-01,5,5
IXIAMAS,atencion de partos en servicio,vaginales,2006-01-01,8,8
JESUS DE MACHACA,atencion de partos en servicio,vaginales,2006-01-01,4,4
LA ASUNTA,atencion de partos en servicio,vaginales,2006-01-01,17,17
LA GUARDIA,atencion de partos en servicio,vaginales,2006-01-01,40,40
LA PAZ,atencion de partos en servicio,vaginales,2006-01-01,1078,1078
LAGUNILLAS,atencion de partos en servicio,vaginales,2006-01-01,3,3
LAJA,atencion de partos en servicio,vaginales,2006-01-01,4,4
LAS CARRERAS,atencion de partos en servicio,vaginales,2006-01-01,3,3
LICOMA PAMPA,atencion de partos en servicio,vaginales,2006-01-01,3,3
LLALLAGUA,atencion de partos en servicio,vaginales,2006-01-01,54,54
LLICA,atencion de partos en servicio,vaginales,2006-01-01,3,3
LORETO,atencion de partos en servicio,vaginales,2006-01-01,1,1
LURIBAY,atencion de partos en servicio,vaginales,2006-01-01,3,3
MACHACAMARCA,atencion de partos en servicio,vaginales,2006-01-01,1,1
MACHARETI,atencion de partos en servicio,vaginales,2006-01-01,3,3
MAGDALENA,atencion de partos en servicio,vaginales,2006-01-01,7,7
MAIRANA,atencion de partos en servicio,vaginales,2006-01-01,15,15
MAPIRI,atencion de partos en servicio,vaginales,2006-01-01,12,12
MECAPACA,atencion de partos en servicio,vaginales,2006-01-01,8,8
MINEROS,atencion de partos en servicio,vaginales,2006-01-01,26,26
MIZQUE,atencion de partos en servicio,vaginales,2006-01-01,25,25
MOCOMOCO,atencion de partos en servicio,vaginales,2006-01-01,2,2
MOJOCOYA,atencion de partos en servicio,vaginales,2006-01-01,7,7
MONTEAGUDO,atencion de partos en servicio,vaginales,2006-01-01,38,38
MONTERO,atencion de partos en servicio,vaginales,2006-01-01,154,154
MORO MORO,atencion de partos en servicio,vaginales,2006-01-01,1,1
MOROCHATA,atencion de partos en servicio,vaginales,2006-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicio,vaginales,2006-01-01,3,3
OCURI,atencion de partos en servicio,vaginales,2006-01-01,5,5
OKINAWA,atencion de partos en servicio,vaginales,2006-01-01,15,15
OMEREQUE,atencion de partos en servicio,vaginales,2006-01-01,4,4
ORURO,atencion de partos en servicio,vaginales,2006-01-01,322,322
PADCAYA,atencion de partos en servicio,vaginales,2006-01-01,13,13
PADILLA,atencion de partos en servicio,vaginales,2006-01-01,15,15
PAILON,atencion de partos en servicio,vaginales,2006-01-01,14,14
PALCA,atencion de partos en servicio,vaginales,2006-01-01,8,8
PALOS BLANCOS,atencion de partos en servicio,vaginales,2006-01-01,14,14
PAMPA AULLAGAS,atencion de partos en servicio,vaginales,2006-01-01,1,1
PAMPA GRANDE,atencion de partos en servicio,vaginales,2006-01-01,5,5
PAPEL PAMPA,atencion de partos en servicio,vaginales,2006-01-01,1,1
PASORAPA,atencion de partos en servicio,vaginales,2006-01-01,3,3
PATACAMAYA,atencion de partos en servicio,vaginales,2006-01-01,26,26
PAZÑA,atencion de partos en servicio,vaginales,2006-01-01,4,4
POCOATA,atencion de partos en servicio,vaginales,2006-01-01,10,10
POCONA,atencion de partos en servicio,vaginales,2006-01-01,11,11
POJO (CBBA),atencion de partos en servicio,vaginales,2006-01-01,7,7
POOPO,atencion de partos en servicio,vaginales,2006-01-01,8,8
PORCO,atencion de partos en servicio,vaginales,2006-01-01,10,10
POROMA,atencion de partos en servicio,vaginales,2006-01-01,4,4
PORONGO,atencion de partos en servicio,vaginales,2006-01-01,8,8
PORTACHUELO,atencion de partos en servicio,vaginales,2006-01-01,22,22
PORVENIR,atencion de partos en servicio,vaginales,2006-01-01,5,5
POSTRER VALLE,atencion de partos en servicio,vaginales,2006-01-01,1,1
POTOSI,atencion de partos en servicio,vaginales,2006-01-01,280,280
PRESTO,atencion de partos en servicio,vaginales,2006-01-01,5,5
PUCARANI,atencion de partos en servicio,vaginales,2006-01-01,3,3
PUERTO ACOSTA,atencion de partos en servicio,vaginales,2006-01-01,13,13
PUERTO CARABUCO,atencion de partos en servicio,vaginales,2006-01-01,3,3
PUERTO GONZALO MORENO,atencion de partos en servicio,vaginales,2006-01-01,4,4
PUERTO QUIJARRO,atencion de partos en servicio,vaginales,2006-01-01,20,20
PUERTO RICO,atencion de partos en servicio,vaginales,2006-01-01,4,4
PUERTO SUAREZ,atencion de partos en servicio,vaginales,2006-01-01,24,24
PUERTO VILLARROEL,atencion de partos en servicio,vaginales,2006-01-01,64,64
PUNA,atencion de partos en servicio,vaginales,2006-01-01,24,24
PUNATA,atencion de partos en servicio,vaginales,2006-01-01,30,30
QUIABAYA,atencion de partos en servicio,vaginales,2006-01-01,1,1
QUILLACOLLO,atencion de partos en servicio,vaginales,2006-01-01,96,96
QUIME,atencion de partos en servicio,vaginales,2006-01-01,6,6
QUIRUSILLAS,atencion de partos en servicio,vaginales,2006-01-01,2,2
RAVELO,atencion de partos en servicio,vaginales,2006-01-01,6,6
REYES,atencion de partos en servicio,vaginales,2006-01-01,14,14
RIBERALTA,atencion de partos en servicio,vaginales,2006-01-01,144,144
ROBORE,atencion de partos en servicio,vaginales,2006-01-01,21,21
RURRENABAQUE,atencion de partos en servicio,vaginales,2006-01-01,16,16
SACABA,atencion de partos en servicio,vaginales,2006-01-01,122,122
SACABAMBA,atencion de partos en servicio,vaginales,2006-01-01,4,4
SACACA,atencion de partos en servicio,vaginales,2006-01-01,6,6
SAIPINA,atencion de partos en servicio,vaginales,2006-01-01,6,6
SALINAS DE GARCI MENDOZA,atencion de partos en servicio,vaginales,2006-01-01,3,3
SAMAIPATA,atencion de partos en servicio,vaginales,2006-01-01,7,7
SAN ANDRES,atencion de partos en servicio,vaginales,2006-01-01,14,14
SAN ANTONIO DE ESMORUCO,atencion de partos en servicio,vaginales,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicio,vaginales,2006-01-01,9,9
SAN BENITO,atencion de partos en servicio,vaginales,2006-01-01,11,11
SAN BORJA,atencion de partos en servicio,vaginales,2006-01-01,57,57
SAN BUENA VENTURA,atencion de partos en servicio,vaginales,2006-01-01,12,12
SAN CARLOS,atencion de partos en servicio,vaginales,2006-01-01,39,39
SAN IGNACIO,atencion de partos en servicio,vaginales,2006-01-01,23,23
SAN IGNACIO DE VELASCO,atencion de partos en servicio,vaginales,2006-01-01,57,57
SAN JAVIER(STC),atencion de partos en servicio,vaginales,2006-01-01,17,17
SAN JOAQUIN,atencion de partos en servicio,vaginales,2006-01-01,6,6
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,vaginales,2006-01-01,27,27
SAN JUAN DE YAPACANI,atencion de partos en servicio,vaginales,2006-01-01,19,19
SAN JULIAN,atencion de partos en servicio,vaginales,2006-01-01,67,67
SAN LORENZO(PND),atencion de partos en servicio,vaginales,2006-01-01,1,1
SAN LORENZO(TJA),atencion de partos en servicio,vaginales,2006-01-01,6,6
SAN LUCAS,atencion de partos en servicio,vaginales,2006-01-01,20,20
SAN MATIAS,atencion de partos en servicio,vaginales,2006-01-01,15,15
SAN MIGUEL DE VELASCO,atencion de partos en servicio,vaginales,2006-01-01,18,18
SAN PABLO DE LIPEZ,atencion de partos en servicio,vaginales,2006-01-01,1,1
SAN PEDRO,atencion de partos en servicio,vaginales,2006-01-01,22,22
SAN PEDRO DE BUENA VISTA,atencion de partos en servicio,vaginales,2006-01-01,7,7
SAN PEDRO DE CURAHUARA,atencion de partos en servicio,vaginales,2006-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicio,vaginales,2006-01-01,1,1
SAN PEDRO(PND),atencion de partos en servicio,vaginales,2006-01-01,2,2
SAN RAFAEL,atencion de partos en servicio,vaginales,2006-01-01,3,3
SAN RAMON,atencion de partos en servicio,vaginales,2006-01-01,6,6
SAN RAMON,atencion de partos en servicio,vaginales,2006-01-01,8,8
SANTA ANA,atencion de partos en servicio,vaginales,2006-01-01,17,17
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,vaginales,2006-01-01,1570,1570
SANTA ROSA,atencion de partos en servicio,vaginales,2006-01-01,11,11
SANTA ROSA DEL SARA,atencion de partos en servicio,vaginales,2006-01-01,19,19
SANTIAGO DE HUARI,atencion de partos en servicio,vaginales,2006-01-01,2,2
SANTIAGO DE MACHACA,atencion de partos en servicio,vaginales,2006-01-01,1,1
SANTIVAÑES,atencion de partos en servicio,vaginales,2006-01-01,3,3
