municipality,group,variable,month,Restauraciones,TOTAL
ACACIO,consultas odontologicas,restauraciones,2006-01-01,10,10
ACHACACHI,consultas odontologicas,restauraciones,2006-01-01,196,196
ACHOCALLA,consultas odontologicas,restauraciones,2006-01-01,1,1
AIQUILE,consultas odontologicas,restauraciones,2006-01-01,130,130
ALCALA,consultas odontologicas,restauraciones,2006-01-01,38,38
ANCORAIMES,consultas odontologicas,restauraciones,2006-01-01,18,18
ANDAMARCA,consultas odontologicas,restauraciones,2006-01-01,1,1
ANTEQUERA,consultas odontologicas,restauraciones,2006-01-01,7,7
APOLO,consultas odontologicas,restauraciones,2006-01-01,21,21
ARANI,consultas odontologicas,restauraciones,2006-01-01,30,30
ARBIETO,consultas odontologicas,restauraciones,2006-01-01,62,62
ARQUE,consultas odontologicas,restauraciones,2006-01-01,7,7
AUCAPATA,consultas odontologicas,restauraciones,2006-01-01,17,17
AYATA,consultas odontologicas,restauraciones,2006-01-01,2,2
AYO AYO,consultas odontologicas,restauraciones,2006-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,restauraciones,2006-01-01,40,40
AZURDUY,consultas odontologicas,restauraciones,2006-01-01,78,78
BATALLAS,consultas odontologicas,restauraciones,2006-01-01,37,37
BAURES,consultas odontologicas,restauraciones,2006-01-01,14,14
BELLA FLOR,consultas odontologicas,restauraciones,2006-01-01,20,20
BERMEJO,consultas odontologicas,restauraciones,2006-01-01,120,120
BETANZOS,consultas odontologicas,restauraciones,2006-01-01,61,61
BOLIVAR,consultas odontologicas,restauraciones,2006-01-01,23,23
BOYUIBE,consultas odontologicas,restauraciones,2006-01-01,47,47
CABEZAS,consultas odontologicas,restauraciones,2006-01-01,8,8
CAIROMA,consultas odontologicas,restauraciones,2006-01-01,15,15
"CAIZA ""D""",consultas odontologicas,restauraciones,2006-01-01,18,18
CAJUATA,consultas odontologicas,restauraciones,2006-01-01,18,18
CALACOTO,consultas odontologicas,restauraciones,2006-01-01,23,23
CALAMARCA,consultas odontologicas,restauraciones,2006-01-01,21,21
CAMARGO,consultas odontologicas,restauraciones,2006-01-01,140,140
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,restauraciones,2006-01-01,33,33
CAMIRI,consultas odontologicas,restauraciones,2006-01-01,319,319
CAPINOTA,consultas odontologicas,restauraciones,2006-01-01,51,51
CAQUIAVIRI,consultas odontologicas,restauraciones,2006-01-01,29,29
CARACOLLO,consultas odontologicas,restauraciones,2006-01-01,53,53
CARANAVI,consultas odontologicas,restauraciones,2006-01-01,49,49
