,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2024-01-01,3,4,3,4,7
AIQUILE,internaciones,contrareferidos,2024-01-01,2,3,2,3,5
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2024-01-01,8,21,8,21,29
ATOCHA,internaciones,contrareferidos,2024-01-01,1,0,1,0,1
BERMEJO,internaciones,contrareferidos,2024-01-01,64,87,64,87,151
CAMARGO,internaciones,contrareferidos,2024-01-01,11,39,11,39,50
CAMIRI,internaciones,contrareferidos,2024-01-01,0,62,0,62,62
CARANAVI,internaciones,contrareferidos,2024-01-01,27,66,27,66,93
CARAPARI,internaciones,contrareferidos,2024-01-01,0,2,0,2,2
CHALLAPATA,internaciones,contrareferidos,2024-01-01,2,8,2,8,10
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2024-01-01,13,18,13,18,31
COBIJA,internaciones,contrareferidos,2024-01-01,115,144,115,144,259
COCHABAMBA,internaciones,contrareferidos,2024-01-01,249,826,249,826,1075
COROICO,internaciones,contrareferidos,2024-01-01,8,35,8,35,43
COTOCA,internaciones,contrareferidos,2024-01-01,35,118,35,118,153
EL ALTO,internaciones,contrareferidos,2024-01-01,386,1064,386,1064,1450
ENTRE RIOS TRJ,internaciones,contrareferidos,2024-01-01,3,3,3,3,6
ESCOMA,internaciones,contrareferidos,2024-01-01,2,4,2,4,6
GUAYARAMERIN,internaciones,contrareferidos,2024-01-01,26,106,26,106,132
HUANUNI,internaciones,contrareferidos,2024-01-01,4,15,4,15,19
LA GUARDIA,internaciones,contrareferidos,2024-01-01,2,2,2,2,4
LA PAZ,internaciones,contrareferidos,2024-01-01,145,800,145,800,945
MAIRANA,internaciones,contrareferidos,2024-01-01,0,6,0,6,6
MIZQUE,internaciones,contrareferidos,2024-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2024-01-01,9,29,9,29,38
MONTERO,internaciones,contrareferidos,2024-01-01,157,349,157,349,506
OCURI,internaciones,contrareferidos,2024-01-01,0,0,0,0,0
ORURO,internaciones,contrareferidos,2024-01-01,66,417,66,417,483
PADILLA,internaciones,contrareferidos,2024-01-01,13,15,13,15,28
PORCO,internaciones,contrareferidos,2024-01-01,0,1,0,1,1
POSTRER VALLE,internaciones,contrareferidos,2024-01-01,1,0,1,0,1
POTOSI,internaciones,contrareferidos,2024-01-01,223,400,223,400,623
PUERTO QUIJARRO,internaciones,contrareferidos,2024-01-01,0,4,0,4,4
PUERTO VILLARROEL,internaciones,contrareferidos,2024-01-01,94,236,94,236,330
PUNATA,internaciones,contrareferidos,2024-01-01,103,231,103,231,334
QUILLACOLLO,internaciones,contrareferidos,2024-01-01,2,173,2,173,175
RIBERALTA,internaciones,contrareferidos,2024-01-01,84,356,84,356,440
ROBORE,internaciones,contrareferidos,2024-01-01,1,8,1,8,9
SACABA,internaciones,contrareferidos,2024-01-01,6,106,6,106,112
SAN BUENA VENTURA,internaciones,contrareferidos,2024-01-01,3,6,3,6,9
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2024-01-01,15,21,15,21,36
SAN RAMON SCZ,internaciones,contrareferidos,2024-01-01,0,8,0,8,8
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2024-01-01,443,1737,443,1737,2180
SHINAOTA,internaciones,contrareferidos,2024-01-01,0,4,0,4,4
SUCRE,internaciones,contrareferidos,2024-01-01,421,874,421,874,1295
TARABUCO,internaciones,contrareferidos,2024-01-01,19,28,19,28,47
TARIJA,internaciones,contrareferidos,2024-01-01,80,262,80,262,342
TRINIDAD,internaciones,contrareferidos,2024-01-01,124,348,124,348,472
TUPIZA,internaciones,contrareferidos,2024-01-01,9,5,9,5,14
UYUNI,internaciones,contrareferidos,2024-01-01,0,5,0,5,5
VALLEGRANDE,internaciones,contrareferidos,2024-01-01,4,5,4,5,9
VIACHA,internaciones,contrareferidos,2024-01-01,0,7,0,7,7
VILLA MONTES,internaciones,contrareferidos,2024-01-01,3,24,3,24,27
