,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,13,9,13,9,22
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,0,1,0,1,1
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,2,5,2,5,7
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,0,1,0,1,1
WARNES,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,1,3,1,3,4
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,4,2,4,2,6
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2024-01-01,6,0,6,0,6
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,2,0,2,2
BOYUIBE,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,2,1,2,3
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
CHALLAPATA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,3,6,3,6,9
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,69,60,69,60,129
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
CUATRO CAÑADAS,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,1,1,1,2
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,22,27,22,27,49
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,2,0,2,2
HUANUNI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,61,68,61,68,129
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,2,0,2,0,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,1,1,1,2
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,13,6,13,6,19
OCURI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,0,0,0,0
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,24,20,24,20,44
PATACAMAYA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,19,12,19,12,31
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,3,3,3,3,6
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,2,0,2,0,2
REYES,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,6,9,6,9,15
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,2,0,2,0,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
SAN JAVIER(STC),internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,84,77,84,77,161
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,16,26,16,26,42
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,31,24,31,24,55
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,14,12,14,12,26
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,2,1,2,1,3
UNCIA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,3,1,3,4
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,3,0,3,3
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,2,1,2,1,3
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,3,3,3,3,6
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,0,1,0,1,1
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,0,1,0,1
WARNES,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,2,0,2,0,2
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,4,3,4,3,7
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2024-02-01,1,1,1,1,2
ATOCHA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,7,3,7,3,10
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,2,0,2,0,2
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,3,1,3,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,1,1,1,2
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,1,0,1,1
CHIMORE,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,2,4,2,4,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,93,78,93,78,171
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,2,1,2,3
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,9,12,9,12,21
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,2,1,2,1,3
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,5,1,5,6
GUTIERREZ,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,3,1,3,4
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,59,46,59,46,105
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,12,1,12,1,13
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,32,26,32,26,58
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,2,0,2,2
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,4,18,4,18,22
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,2,2,2,2,4
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,2,0,2,2
REYES,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,8,2,8,2,10
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,1,0,1,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,3,4,3,4,7
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,2,0,2,0,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,1,1,1,2
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,110,98,110,98,208
SORATA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,28,22,28,22,50
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,27,20,27,20,47
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,6,18,6,18,24
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,3,1,3,4
UNCIA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,3,2,3,2,5
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,3,1,3,4
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,7,3,7,3,10
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,2,0,2,0,2
WARNES,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,32,142,32,142,174
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,4,5,4,5,9
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2024-03-01,2,2,2,2,4
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,3,4,3,4,7
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,81,69,81,69,150
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,2,0,2,2
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,5,1,5,1,6
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,18,18,18,18,36
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,2,1,2,1,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,50,50,50,50,100
MAGDALENA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
MINEROS,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,2,1,2,3
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,12,9,12,9,21
OCURI,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,0,0,0,0
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,28,34,28,34,62
PALOS BLANCOS,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,29,13,29,13,42
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,2,0,2,0,2
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,2,0,2,0,2
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,2,1,2,3
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
REYES,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,4,6,4,6,10
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,1,1,1,2
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
SAN RAMON SCZ,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,80,88,80,88,168
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,22,23,22,23,45
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,16,24,16,24,40
TIQUIPAYA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,1,1,1,2
TOTORA(CBBA),internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,15,8,15,8,23
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,2,0,2,2
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,3,1,3,1,4
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,3,1,3,1,4
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,2,0,2,0,2
WARNES,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,5,1,5,6
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2024-04-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,2,1,2,3
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,1,1,1,2
CHIMORE,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,5,8,5,8,13
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,91,76,91,76,167
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,2,0,2,2
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,18,29,18,29,47
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,5,2,5,2,7
ENTRE RIOS TRJ,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
GUTIERREZ,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
LA ASUNTA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,57,60,57,60,117
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,7,8,7,8,15
OCURI,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,0,0,0,0
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,37,24,37,24,61
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,2,0,2,0,2
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,23,12,23,12,35
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,1,1,1,2
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,4,1,4,5
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,3,7,3,7,10
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,1,1,1,2
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,2,1,2,3
SAN JAVIER(STC),internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,88,75,88,75,163
SANTA ROSA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,27,26,27,26,53
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,30,22,30,22,52
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,12,9,12,9,21
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,5,4,5,4,9
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,1,3,1,3,4
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,2,1,2,1,3
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,0,1,0,1,1
WARNES,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,2,1,2,1,3
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,3,5,3,5,8
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2024-05-01,3,0,3,0,3
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,2,0,2,0,2
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,0,5,0,5,5
CHALLAPATA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,0,2,0,2,2
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,4,5,4,5,9
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,85,78,85,78,163
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,2,1,2,1,3
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,19,16,19,16,35
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,2,0,2,0,2
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,2,2,2,2,4
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,61,109,61,109,170
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,8,5,8,5,13
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,24,27,24,27,51
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,3,1,3,1,4
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,22,18,22,18,40
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,0,2,0,2,2
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,0,2,0,2,2
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,2,1,2,3
REYES,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,2,1,2,3
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,5,3,5,3,8
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,3,2,3,2,5
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2024-06-01,1,1,1,1,2
