,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,egresos,2024-01-01,16,61,16,61,77
ACHOCALLA,internaciones,egresos,2024-01-01,0,11,0,11,11
AIQUILE,internaciones,egresos,2024-01-01,21,43,21,43,64
ALCALA,internaciones,egresos,2024-01-01,0,2,0,2,2
ALTO BENI,internaciones,egresos,2024-01-01,7,18,7,18,25
ANDAMARCA,internaciones,egresos,2024-01-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2024-01-01,7,12,7,12,19
APOLO,internaciones,egresos,2024-01-01,0,18,0,18,18
ARANI,internaciones,egresos,2024-01-01,0,2,0,2,2
ARQUE,internaciones,egresos,2024-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,egresos,2024-01-01,108,116,108,116,224
ATOCHA,internaciones,egresos,2024-01-01,48,44,48,44,92
AYATA,internaciones,egresos,2024-01-01,0,4,0,4,4
AYO AYO,internaciones,egresos,2024-01-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2024-01-01,3,16,3,16,19
AZURDUY,internaciones,egresos,2024-01-01,8,20,8,20,28
BATALLAS,internaciones,egresos,2024-01-01,0,7,0,7,7
BAURES,internaciones,egresos,2024-01-01,7,14,7,14,21
BERMEJO,internaciones,egresos,2024-01-01,82,118,82,118,200
BETANZOS,internaciones,egresos,2024-01-01,0,18,0,18,18
BOLIVAR,internaciones,egresos,2024-01-01,3,5,3,5,8
BOYUIBE,internaciones,egresos,2024-01-01,10,7,10,7,17
BUENA VISTA,internaciones,egresos,2024-01-01,19,32,19,32,51
CABEZAS,internaciones,egresos,2024-01-01,7,15,7,15,22
CAIROMA,internaciones,egresos,2024-01-01,0,2,0,2,2
"CAIZA ""D""",internaciones,egresos,2024-01-01,0,2,0,2,2
CAJUATA,internaciones,egresos,2024-01-01,14,22,14,22,36
CALACOTO,internaciones,egresos,2024-01-01,0,1,0,1,1
CALAMARCA,internaciones,egresos,2024-01-01,0,4,0,4,4
CAMARGO,internaciones,egresos,2024-01-01,52,93,52,93,145
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2024-01-01,0,1,0,1,1
CAMIRI,internaciones,egresos,2024-01-01,73,117,73,117,190
CAPINOTA,internaciones,egresos,2024-01-01,12,41,12,41,53
CAQUIAVIRI,internaciones,egresos,2024-01-01,0,1,0,1,1
CARACOLLO,internaciones,egresos,2024-01-01,1,2,1,2,3
CARANAVI,internaciones,egresos,2024-01-01,95,192,95,192,287
CARAPARI,internaciones,egresos,2024-01-01,5,11,5,11,16
CARIPUYO,internaciones,egresos,2024-01-01,1,0,1,0,1
CARMEN RIVERO TORREZ,internaciones,egresos,2024-01-01,18,25,18,25,43
CATACORA,internaciones,egresos,2024-01-01,0,4,0,4,4
CHACARILLA,internaciones,egresos,2024-01-01,0,1,0,1,1
CHALLAPATA,internaciones,egresos,2024-01-01,37,98,37,98,135
CHAQUI,internaciones,egresos,2024-01-01,0,5,0,5,5
CHARAGUA,internaciones,egresos,2024-01-01,49,117,49,117,166
CHAYANTA,internaciones,egresos,2024-01-01,1,12,1,12,13
CHIMORE,internaciones,egresos,2024-01-01,29,64,29,64,93
CHUA COCANI,internaciones,egresos,2024-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2024-01-01,22,44,22,44,66
CHUMA,internaciones,egresos,2024-01-01,2,7,2,7,9
CHUQUIHUTA AYLLU JUCUMANI,internaciones,egresos,2024-01-01,0,2,0,2,2
CKOCHAS,internaciones,egresos,2024-01-01,0,5,0,5,5
CLIZA,internaciones,egresos,2024-01-01,18,64,18,64,82
COBIJA,internaciones,egresos,2024-01-01,337,447,337,447,784
COCAPATA,internaciones,egresos,2024-01-01,0,6,0,6,6
COCHABAMBA,internaciones,egresos,2024-01-01,3123,5548,3123,5548,8671
COIPASA,internaciones,egresos,2024-01-01,0,1,0,1,1
COLCAPIRHUA,internaciones,egresos,2024-01-01,93,135,93,135,228
"COLCHA ""K""",internaciones,egresos,2024-01-01,5,5,5,5,10
