,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos espontaneos,2024-01-01,21,57,21,57,78
ACHOCALLA,internaciones,ingresos espontaneos,2024-01-01,0,11,0,11,11
AIQUILE,internaciones,ingresos espontaneos,2024-01-01,21,43,21,43,64
ALCALA,internaciones,ingresos espontaneos,2024-01-01,0,1,0,1,1
ALTO BENI,internaciones,ingresos espontaneos,2024-01-01,7,18,7,18,25
ANDAMARCA,internaciones,ingresos espontaneos,2024-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2024-01-01,7,14,7,14,21
APOLO,internaciones,ingresos espontaneos,2024-01-01,0,18,0,18,18
ARANI,internaciones,ingresos espontaneos,2024-01-01,0,2,0,2,2
ARQUE,internaciones,ingresos espontaneos,2024-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2024-01-01,98,146,98,146,244
ATOCHA,internaciones,ingresos espontaneos,2024-01-01,30,44,30,44,74
AYATA,internaciones,ingresos espontaneos,2024-01-01,0,4,0,4,4
AYO AYO,internaciones,ingresos espontaneos,2024-01-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2024-01-01,3,12,3,12,15
AZURDUY,internaciones,ingresos espontaneos,2024-01-01,5,17,5,17,22
BATALLAS,internaciones,ingresos espontaneos,2024-01-01,0,7,0,7,7
BAURES,internaciones,ingresos espontaneos,2024-01-01,8,18,8,18,26
BERMEJO,internaciones,ingresos espontaneos,2024-01-01,41,42,41,42,83
BETANZOS,internaciones,ingresos espontaneos,2024-01-01,0,18,0,18,18
BOLIVAR,internaciones,ingresos espontaneos,2024-01-01,3,5,3,5,8
BOYUIBE,internaciones,ingresos espontaneos,2024-01-01,10,7,10,7,17
BUENA VISTA,internaciones,ingresos espontaneos,2024-01-01,19,32,19,32,51
CABEZAS,internaciones,ingresos espontaneos,2024-01-01,7,15,7,15,22
CAIROMA,internaciones,ingresos espontaneos,2024-01-01,0,2,0,2,2
"CAIZA ""D""",internaciones,ingresos espontaneos,2024-01-01,0,2,0,2,2
CAJUATA,internaciones,ingresos espontaneos,2024-01-01,14,22,14,22,36
CALACOTO,internaciones,ingresos espontaneos,2024-01-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2024-01-01,0,4,0,4,4
CAMARGO,internaciones,ingresos espontaneos,2024-01-01,46,56,46,56,102
CAMIRI,internaciones,ingresos espontaneos,2024-01-01,64,77,64,77,141
CAPINOTA,internaciones,ingresos espontaneos,2024-01-01,11,47,11,47,58
CAQUIAVIRI,internaciones,ingresos espontaneos,2024-01-01,0,1,0,1,1
CARACOLLO,internaciones,ingresos espontaneos,2024-01-01,1,20,1,20,21
CARANAVI,internaciones,ingresos espontaneos,2024-01-01,68,132,68,132,200
CARAPARI,internaciones,ingresos espontaneos,2024-01-01,4,12,4,12,16
CARIPUYO,internaciones,ingresos espontaneos,2024-01-01,1,0,1,0,1
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2024-01-01,17,24,17,24,41
CATACORA,internaciones,ingresos espontaneos,2024-01-01,0,4,0,4,4
CHACARILLA,internaciones,ingresos espontaneos,2024-01-01,0,1,0,1,1
CHALLAPATA,internaciones,ingresos espontaneos,2024-01-01,32,95,32,95,127
CHAQUI,internaciones,ingresos espontaneos,2024-01-01,0,5,0,5,5
CHARAGUA,internaciones,ingresos espontaneos,2024-01-01,33,94,33,94,127
CHAYANTA,internaciones,ingresos espontaneos,2024-01-01,1,12,1,12,13
CHIMORE,internaciones,ingresos espontaneos,2024-01-01,27,63,27,63,90
CHUA COCANI,internaciones,ingresos espontaneos,2024-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2024-01-01,12,21,12,21,33
CHUMA,internaciones,ingresos espontaneos,2024-01-01,2,7,2,7,9
CHUQUIHUTA AYLLU JUCUMANI,internaciones,ingresos espontaneos,2024-01-01,0,2,0,2,2
