,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,6,2,6,2,8
BOYUIBE,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,3,2,3,2,5
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,0,1,0,1
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
CLIZA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,2,3,2,3,5
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,26,29,26,29,55
COROICO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,2,0,2,2
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,19,16,19,16,35
EL PUENTE(TJA),internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
ENTRE RIOS CBBA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,0,1,0,1
GUANAY,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,4,2,4,2,6
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,17,20,17,20,37
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
MACHARETI,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,2,1,2,1,3
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,5,5,5,5,10
OCURI,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,0,0,0,0
ORURO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,26,13,26,13,39
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,2,1,2,1,3
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,11,5,11,5,16
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,2,1,2,3
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,5,0,5,0,5
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,4,0,4,0,4
SACABA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,2,1,2,1,3
SAN MATIAS,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,43,47,43,47,90
SHINAOTA,internaciones,fallecidos antes de las 48 hrs.,2024-01-01,0,2,0,2,2
