,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2023-01-01,0,1,0,1,1
ACHACACHI,internaciones,egresos,2023-01-01,17,72,17,72,89
ACHOCALLA,internaciones,egresos,2023-01-01,0,3,0,3,3
AIQUILE,internaciones,egresos,2023-01-01,20,58,20,58,78
ALALAY,internaciones,egresos,2023-01-01,0,3,0,3,3
ALCALA,internaciones,egresos,2023-01-01,0,3,0,3,3
ALTO BENI,internaciones,egresos,2023-01-01,5,9,5,9,14
ANCORAIMES,internaciones,egresos,2023-01-01,0,1,0,1,1
ANDAMARCA,internaciones,egresos,2023-01-01,0,2,0,2,2
ANZALDO,internaciones,egresos,2023-01-01,9,13,9,13,22
APOLO,internaciones,egresos,2023-01-01,4,12,4,12,16
ARANI,internaciones,egresos,2023-01-01,0,3,0,3,3
ARBIETO,internaciones,egresos,2023-01-01,0,6,0,6,6
ASCENCION DE GUARAYOS,internaciones,egresos,2023-01-01,74,192,74,192,266
ATOCHA,internaciones,egresos,2023-01-01,43,46,43,46,89
AYATA,internaciones,egresos,2023-01-01,0,1,0,1,1
AYO AYO,internaciones,egresos,2023-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2023-01-01,7,24,7,24,31
AZURDUY,internaciones,egresos,2023-01-01,13,6,13,6,19
BATALLAS,internaciones,egresos,2023-01-01,0,5,0,5,5
BAURES,internaciones,egresos,2023-01-01,15,38,15,38,53
BERMEJO,internaciones,egresos,2023-01-01,83,160,83,160,243
BETANZOS,internaciones,egresos,2023-01-01,0,21,0,21,21
BOLIVAR,internaciones,egresos,2023-01-01,2,2,2,2,4
BOYUIBE,internaciones,egresos,2023-01-01,7,16,7,16,23
BUENA VISTA,internaciones,egresos,2023-01-01,42,59,42,59,101
CABEZAS,internaciones,egresos,2023-01-01,3,22,3,22,25
CAIROMA,internaciones,egresos,2023-01-01,1,4,1,4,5
"CAIZA ""D""",internaciones,egresos,2023-01-01,0,5,0,5,5
CAJUATA,internaciones,egresos,2023-01-01,8,7,8,7,15
CALAMARCA,internaciones,egresos,2023-01-01,0,10,0,10,10
CAMARGO,internaciones,egresos,2023-01-01,32,70,32,70,102
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2023-01-01,1,2,1,2,3
CAMIRI,internaciones,egresos,2023-01-01,104,248,104,248,352
CAPINOTA,internaciones,egresos,2023-01-01,15,29,15,29,44
CARACOLLO,internaciones,egresos,2023-01-01,0,10,0,10,10
CARANAVI,internaciones,egresos,2023-01-01,47,165,47,165,212
CARIPUYO,internaciones,egresos,2023-01-01,0,2,0,2,2
CARMEN RIVERO TORREZ,internaciones,egresos,2023-01-01,2,0,2,0,2
CHALLAPATA,internaciones,egresos,2023-01-01,36,126,36,126,162
CHAQUI,internaciones,egresos,2023-01-01,0,2,0,2,2
CHARAGUA,internaciones,egresos,2023-01-01,33,86,33,86,119
CHIMORE,internaciones,egresos,2023-01-01,8,42,8,42,50
CHUA COCANI,internaciones,egresos,2023-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2023-01-01,27,50,27,50,77
CHUMA,internaciones,egresos,2023-01-01,5,1,5,1,6
CKOCHAS,internaciones,egresos,2023-01-01,0,3,0,3,3
CLIZA,internaciones,egresos,2023-01-01,10,41,10,41,51
COBIJA,internaciones,egresos,2023-01-01,252,440,252,440,692
COCAPATA,internaciones,egresos,2023-01-01,0,7,0,7,7
COCHABAMBA,internaciones,egresos,2023-01-01,3000,5127,3000,5127,8127
COIPASA,internaciones,egresos,2023-01-01,0,3,0,3,3
COLCAPIRHUA,internaciones,egresos,2023-01-01,48,126,48,126,174
"COLCHA ""K""",internaciones,egresos,2023-01-01,2,5,2,5,7
COLLANA,internaciones,egresos,2023-01-01,0,2,0,2,2
COLOMI,internaciones,egresos,2023-01-01,0,22,0,22,22
COLPA BELGICA,internaciones,egresos,2023-01-01,8,12,8,12,20
COLQUECHACA,internaciones,egresos,2023-01-01,0,18,0,18,18
COLQUENCHA,internaciones,egresos,2023-01-01,0,7,0,7,7
