,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2023-01-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2023-01-01,5,3,5,3,8
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2023-01-01,2,3,2,3,5
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,2,2,2,2,4
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,2,1,2,1,3
CARMEN RIVERO TORREZ,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,4,4,4,4,8
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,74,65,74,65,139
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,6,0,6,0,6
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,15,17,15,17,32
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,3,1,3,1,4
ENTRE RIOS CBBA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,4,2,4,2,6
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,2,1,2,1,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,53,44,53,44,97
MINEROS,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,2,0,2,0,2
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,6,9,6,9,15
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,19,24,19,24,43
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,13,23,13,23,36
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,2,0,2,0,2
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,2,1,2,1,3
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,1,1,1,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,8,4,8,4,12
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,1,1,1,2
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,100,86,100,86,186
SANTA ROSA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
SHINAOTA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,28,25,28,25,53
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,20,18,20,18,38
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,5,7,5,7,12
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,4,3,4,3,7
UNCIA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,2,1,2,3
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,3,3,3,3,6
YOTALA,internaciones,fallecidos a partir de las 48 hrs.,2023-02-01,1,0,1,0,1
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,0,2,0,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,5,2,5,2,7
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,4,4,4,4,8
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,68,76,68,76,144
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,3,0,3,0,3
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,22,30,22,30,52
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,0,1,0,1,1
ENTRE RIOS CBBA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,2,1,2,3
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,2,1,2,1,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,54,60,54,60,114
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,2,2,2,2,4
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,7,5,7,5,12
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,27,26,27,26,53
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,1,1,1,2
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,15,19,15,19,34
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,0,2,0,2,2
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,0,1,0,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,2,1,2,3
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,5,4,5,4,9
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,2,1,2,1,3
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,5,0,5,0,5
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,3,0,3,0,3
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,0,2,0,2,2
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,87,83,87,83,170
SHINAOTA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,23,24,23,24,47
TARABUCO,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,0,0,0,0,0
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,22,9,22,9,31
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,15,11,15,11,26
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,1,3,1,3,4
VIACHA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,6,5,6,5,11
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,3,3,3,3,6
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,7,2,7,2,9
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2023-03-01,2,3,2,3,5
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,1,2,1,3
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,4,0,4,0,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
CARAPARI,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,0,1,0,1
CHALLAPATA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,5,2,5,2,7
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,93,65,93,65,158
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,1,1,1,2
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,1,2,1,3
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,15,14,15,14,29
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,3,2,3,5
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,2,1,2,3
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,0,2,0,2
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,45,63,45,63,108
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,0,2,0,2
MAGDALENA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,2,1,2,3
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,7,1,7,1,8
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,27,18,27,18,45
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,21,14,21,14,35
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,2,2,2,4
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,2,1,2,3
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,1,1,1,2
REYES,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,2,0,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,14,11,14,11,25
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,2,1,2,3
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,3,3,3,3,6
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,2,2,2,2,4
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,84,76,84,76,160
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,33,36,33,36,69
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,21,13,21,13,34
TIQUIPAYA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,1,0,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,13,13,13,13,26
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,3,2,3,2,5
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,1,1,1,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,5,3,5,3,8
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2023-04-01,0,2,0,2,2
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,0,0,0,0
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
CHALLAPATA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,7,6,7,6,13
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,88,67,88,67,155
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,2,4,2,4,6
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,3,1,3,1,4
CULPINA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,27,21,27,21,48
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,2,2,2,2,4
ESCOMA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,5,0,5,0,5
HUANUNI,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,2,1,2,1,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,63,81,63,81,144
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
MAGDALENA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
MINEROS,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,24,39,24,39,63
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,3,1,3,1,4
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,10,13,10,13,23
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,33,24,33,24,57
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,2,1,2,1,3
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,21,22,21,22,43
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,1,0,1,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,2,8,2,8,10
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,1,0,1,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
SAN RAMON SCZ,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,2,0,2,0,2
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,99,104,99,104,203
SANTA ROSA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,24,26,24,26,50
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,27,24,27,24,51
TIQUIPAYA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,13,8,13,8,21
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,2,0,2,0,2
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,1,0,1,1
VIACHA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,0,2,0,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,5,3,5,3,8
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2023-05-01,10,0,10,0,10
ACHOCALLA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,1,1,1,2
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,2,2,2,2,4
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,2,1,2,3
CARAPARI,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,6,5,6,5,11
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,76,89,76,89,165
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,2,1,2,1,3
CUATRO CAÑADAS,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,24,19,24,19,43
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,2,0,2,0,2
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,6,4,6,4,10
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,56,70,56,70,126
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,2,1,2,1,3
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,6,5,6,5,11
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,29,28,29,28,57
PALOS BLANCOS,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,1,1,1,2
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,18,21,18,21,39
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,3,0,3,0,3
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,1,1,1,2
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,2,0,2,0,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,6,5,6,5,11
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,3,2,3,2,5
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,1,1,1,2
SAN JULIAN,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,0,1,0,1,1
SAN PEDRO,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,4,1,4,1,5
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,75,105,75,105,180
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2023-06-01,26,25,26,25,51
