,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2023-01-01,6,9,6,9,15
AIQUILE,internaciones,contrareferidos,2023-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2023-01-01,9,16,9,16,25
BERMEJO,internaciones,contrareferidos,2023-01-01,56,106,56,106,162
CAMARGO,internaciones,contrareferidos,2023-01-01,13,28,13,28,41
CAMIRI,internaciones,contrareferidos,2023-01-01,0,106,0,106,106
CARANAVI,internaciones,contrareferidos,2023-01-01,14,46,14,46,60
CARIPUYO,internaciones,contrareferidos,2023-01-01,0,1,0,1,1
CHALLAPATA,internaciones,contrareferidos,2023-01-01,0,5,0,5,5
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2023-01-01,6,10,6,10,16
CLIZA,internaciones,contrareferidos,2023-01-01,1,0,1,0,1
COBIJA,internaciones,contrareferidos,2023-01-01,50,92,50,92,142
COCHABAMBA,internaciones,contrareferidos,2023-01-01,224,885,224,885,1109
COLCAPIRHUA,internaciones,contrareferidos,2023-01-01,5,22,5,22,27
COROICO,internaciones,contrareferidos,2023-01-01,14,33,14,33,47
COTAGAITA,internaciones,contrareferidos,2023-01-01,1,0,1,0,1
COTOCA,internaciones,contrareferidos,2023-01-01,0,7,0,7,7
EL ALTO,internaciones,contrareferidos,2023-01-01,142,336,142,336,478
ESCOMA,internaciones,contrareferidos,2023-01-01,2,14,2,14,16
HUANUNI,internaciones,contrareferidos,2023-01-01,1,12,1,12,13
LA GUARDIA,internaciones,contrareferidos,2023-01-01,0,3,0,3,3
LA PAZ,internaciones,contrareferidos,2023-01-01,123,953,123,953,1076
MAGDALENA,internaciones,contrareferidos,2023-01-01,0,1,0,1,1
MAIRANA,internaciones,contrareferidos,2023-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2023-01-01,14,30,14,30,44
MONTERO,internaciones,contrareferidos,2023-01-01,177,391,177,391,568
ORURO,internaciones,contrareferidos,2023-01-01,41,516,41,516,557
PADILLA,internaciones,contrareferidos,2023-01-01,12,32,12,32,44
POTOSI,internaciones,contrareferidos,2023-01-01,215,622,215,622,837
PUERTO SUAREZ,internaciones,contrareferidos,2023-01-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,contrareferidos,2023-01-01,85,192,85,192,277
PUNATA,internaciones,contrareferidos,2023-01-01,113,277,113,277,390
QUILLACOLLO,internaciones,contrareferidos,2023-01-01,9,57,9,57,66
RIBERALTA,internaciones,contrareferidos,2023-01-01,44,40,44,40,84
SACABA,internaciones,contrareferidos,2023-01-01,0,98,0,98,98
SAN BUENA VENTURA,internaciones,contrareferidos,2023-01-01,8,11,8,11,19
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2023-01-01,28,41,28,41,69
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2023-01-01,368,2092,368,2092,2460
SUCRE,internaciones,contrareferidos,2023-01-01,370,708,370,708,1078
TARABUCO,internaciones,contrareferidos,2023-01-01,5,14,5,14,19
TARIJA,internaciones,contrareferidos,2023-01-01,185,467,185,467,652
TRINIDAD,internaciones,contrareferidos,2023-01-01,54,51,54,51,105
TUPIZA,internaciones,contrareferidos,2023-01-01,51,137,51,137,188
UYUNI,internaciones,contrareferidos,2023-01-01,0,1,0,1,1
VALLEGRANDE,internaciones,contrareferidos,2023-01-01,6,3,6,3,9
VIACHA,internaciones,contrareferidos,2023-01-01,0,3,0,3,3
VILLA MONTES,internaciones,contrareferidos,2023-01-01,7,22,7,22,29
VILLA TUNARI,internaciones,contrareferidos,2023-01-01,14,65,14,65,79
VILLAZON,internaciones,contrareferidos,2023-01-01,2,5,2,5,7
WARNES,internaciones,contrareferidos,2023-01-01,43,48,43,48,91
YACUIBA,internaciones,contrareferidos,2023-01-01,95,226,95,226,321
ACHACACHI,internaciones,contrareferidos,2023-02-01,1,6,1,6,7
AIQUILE,internaciones,contrareferidos,2023-02-01,1,4,1,4,5
