,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,1,0,1,1
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,0,0,0,0
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,4,1,4,1,5
CAMARGO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,4,1,4,1,5
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,3,0,3,0,3
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,33,22,33,22,55
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,2,0,2,2
COROICO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,1,1,1,2
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,16,14,16,14,30
GUANAY,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,4,1,4,5
GUTIERREZ,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
IXIAMAS,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,3,1,3,4
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,23,10,23,10,33
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,2,0,2,0,2
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,2,0,2,0,2
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,1,0,1,1
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,3,7,3,7,10
ORURO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,9,13,9,13,22
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,4,0,4,0,4
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,11,4,11,4,15
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,2,1,2,1,3
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,3,1,3,1,4
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,2,1,2,1,3
REYES,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,4,4,4,4,8
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,1,0,1,1
SACABA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,2,3,2,3,5
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,3,0,3,0,3
SAN MATIAS,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
SAN PEDRO,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2023-01-01,1,0,1,0,1
