municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
ACHACACHI,internaciones,dias camas disponibles otros servicios,2009-01-01,310,310
AIQUILE,internaciones,dias camas disponibles otros servicios,2009-01-01,589,589
ALALAY,internaciones,dias camas disponibles otros servicios,2009-01-01,186,186
ALCALA,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
ANCORAIMES,internaciones,dias camas disponibles otros servicios,2009-01-01,150,150
ANZALDO,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
APOLO,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
ARANI,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
ARQUE,internaciones,dias camas disponibles otros servicios,2009-01-01,186,186
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles otros servicios,2009-01-01,837,837
ATOCHA,internaciones,dias camas disponibles otros servicios,2009-01-01,310,310
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles otros servicios,2009-01-01,1330,1330
AZURDUY,internaciones,dias camas disponibles otros servicios,2009-01-01,450,450
BATALLAS,internaciones,dias camas disponibles otros servicios,2009-01-01,155,155
BAURES,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
BERMEJO,internaciones,dias camas disponibles otros servicios,2009-01-01,1234,1234
BETANZOS,internaciones,dias camas disponibles otros servicios,2009-01-01,465,465
BOLIVAR,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
BOLPEBRA,internaciones,dias camas disponibles otros servicios,2009-01-01,31,31
BOYUIBE,internaciones,dias camas disponibles otros servicios,2009-01-01,341,341
BUENA VISTA,internaciones,dias camas disponibles otros servicios,2009-01-01,558,558
CABEZAS,internaciones,dias camas disponibles otros servicios,2009-01-01,589,589
"CAIZA ""D""",internaciones,dias camas disponibles otros servicios,2009-01-01,186,186
CAJUATA,internaciones,dias camas disponibles otros servicios,2009-01-01,31,31
CAMARGO,internaciones,dias camas disponibles otros servicios,2009-01-01,2046,2046
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
CAMIRI,internaciones,dias camas disponibles otros servicios,2009-01-01,2880,2880
CAPINOTA,internaciones,dias camas disponibles otros servicios,2009-01-01,403,403
CARACOLLO,internaciones,dias camas disponibles otros servicios,2009-01-01,248,248
CARANAVI,internaciones,dias camas disponibles otros servicios,2009-01-01,2116,2116
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles otros servicios,2009-01-01,35,35
CHALLAPATA,internaciones,dias camas disponibles otros servicios,2009-01-01,558,558
CHAQUI,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
CHARAGUA,internaciones,dias camas disponibles otros servicios,2009-01-01,952,952
CHAYANTA,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
CHIMORE,internaciones,dias camas disponibles otros servicios,2009-01-01,155,155
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles otros servicios,2009-01-01,868,868
CHUMA,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
CLIZA,internaciones,dias camas disponibles otros servicios,2009-01-01,279,279
COBIJA,internaciones,dias camas disponibles otros servicios,2009-01-01,2100,2100
COCHABAMBA,internaciones,dias camas disponibles otros servicios,2009-01-01,48205,48205
COLCAPIRHUA,internaciones,dias camas disponibles otros servicios,2009-01-01,899,899
"COLCHA ""K""",internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
COLOMI,internaciones,dias camas disponibles otros servicios,2009-01-01,217,217
COLPA BELGICA,internaciones,dias camas disponibles otros servicios,2009-01-01,186,186
COLQUECHACA,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
COLQUIRI,internaciones,dias camas disponibles otros servicios,2009-01-01,217,217
COMARAPA,internaciones,dias camas disponibles otros servicios,2009-01-01,713,713
CONCEPCION,internaciones,dias camas disponibles otros servicios,2009-01-01,372,372
COPACABANA,internaciones,dias camas disponibles otros servicios,2009-01-01,180,180
CORIPATA,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
COROICO,internaciones,dias camas disponibles otros servicios,2009-01-01,992,992
COTAGAITA,internaciones,dias camas disponibles otros servicios,2009-01-01,195,195
COTOCA,internaciones,dias camas disponibles otros servicios,2009-01-01,651,651
CUATRO CAÑADAS,internaciones,dias camas disponibles otros servicios,2009-01-01,651,651
CUEVO,internaciones,dias camas disponibles otros servicios,2009-01-01,186,186
CULPINA,internaciones,dias camas disponibles otros servicios,2009-01-01,496,496
CURAHUARA DE CARANGAS,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
DESAGUADERO,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
EL ALTO,internaciones,dias camas disponibles otros servicios,2009-01-01,10695,10695
EL PUENTE(STC),internaciones,dias camas disponibles otros servicios,2009-01-01,155,155
EL TORNO,internaciones,dias camas disponibles otros servicios,2009-01-01,1891,1891
EL VILLAR,internaciones,dias camas disponibles otros servicios,2009-01-01,155,155
ENTRE RIOS,internaciones,dias camas disponibles otros servicios,2009-01-01,153,153
ENTRE RIOS,internaciones,dias camas disponibles otros servicios,2009-01-01,496,496
EUCALIPTUS,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
EXALTACION,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
FERNANDEZ ALONSO,internaciones,dias camas disponibles otros servicios,2009-01-01,3162,3162
FILADELFIA,internaciones,dias camas disponibles otros servicios,2009-01-01,45,45
GENERAL SAAVEDRA,internaciones,dias camas disponibles otros servicios,2009-01-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
GUANAY,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
GUAYARAMERIN,internaciones,dias camas disponibles otros servicios,2009-01-01,2013,2013
GUTIERREZ,internaciones,dias camas disponibles otros servicios,2009-01-01,640,640
HUACARETA,internaciones,dias camas disponibles otros servicios,2009-01-01,496,496
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas disponibles otros servicios,2009-01-01,155,155
HUACHACALLA,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
HUANUNI,internaciones,dias camas disponibles otros servicios,2009-01-01,248,248
HUARACAJE,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
HUAYLLAMARCA,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
ICLA,internaciones,dias camas disponibles otros servicios,2009-01-01,216,216
INCAHUASI,internaciones,dias camas disponibles otros servicios,2009-01-01,245,245
INQUISIVI,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
IRUPANA (VILLA DE LANZA),internaciones,dias camas disponibles otros servicios,2009-01-01,372,372
IXIAMAS,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
JESUS DE MACHACA,internaciones,dias camas disponibles otros servicios,2009-01-01,310,310
LA ASUNTA,internaciones,dias camas disponibles otros servicios,2009-01-01,372,372
LA GUARDIA,internaciones,dias camas disponibles otros servicios,2009-01-01,961,961
LA PAZ,internaciones,dias camas disponibles otros servicios,2009-01-01,62188,62188
LAGUNILLAS,internaciones,dias camas disponibles otros servicios,2009-01-01,124,124
LAS CARRERAS,internaciones,dias camas disponibles otros servicios,2009-01-01,93,93
LLALLAGUA,internaciones,dias camas disponibles otros servicios,2009-01-01,1023,1023
LLICA,internaciones,dias camas disponibles otros servicios,2009-01-01,59,59
LURIBAY,internaciones,dias camas disponibles otros servicios,2009-01-01,62,62
