municipality,group,variable,month,Egresos,TOTAL
ACACIO,internaciones,egresos,2009-01-01,7,7
ACHACACHI,internaciones,egresos,2009-01-01,46,46
ACHOCALLA,internaciones,egresos,2009-01-01,4,4
AIQUILE,internaciones,egresos,2009-01-01,133,133
ALALAY,internaciones,egresos,2009-01-01,3,3
ALCALA,internaciones,egresos,2009-01-01,2,2
ANCORAIMES,internaciones,egresos,2009-01-01,4,4
ANZALDO,internaciones,egresos,2009-01-01,5,5
APOLO,internaciones,egresos,2009-01-01,24,24
ARANI,internaciones,egresos,2009-01-01,13,13
ARBIETO,internaciones,egresos,2009-01-01,2,2
ARQUE,internaciones,egresos,2009-01-01,3,3
ASCENCION DE GUARAYOS,internaciones,egresos,2009-01-01,209,209
ATOCHA,internaciones,egresos,2009-01-01,22,22
AYO AYO,internaciones,egresos,2009-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2009-01-01,46,46
BATALLAS,internaciones,egresos,2009-01-01,13,13
BAURES,internaciones,egresos,2009-01-01,21,21
BERMEJO,internaciones,egresos,2009-01-01,275,275
BETANZOS,internaciones,egresos,2009-01-01,29,29
BOLIVAR,internaciones,egresos,2009-01-01,1,1
BOYUIBE,internaciones,egresos,2009-01-01,46,46
BUENA VISTA,internaciones,egresos,2009-01-01,47,47
CABEZAS,internaciones,egresos,2009-01-01,96,96
CAIROMA,internaciones,egresos,2009-01-01,7,7
"CAIZA ""D""",internaciones,egresos,2009-01-01,2,2
CAJUATA,internaciones,egresos,2009-01-01,21,21
CALAMARCA,internaciones,egresos,2009-01-01,1,1
CAMARGO,internaciones,egresos,2009-01-01,226,226
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2009-01-01,3,3
CAMIRI,internaciones,egresos,2009-01-01,483,483
CAPINOTA,internaciones,egresos,2009-01-01,56,56
CARACOLLO,internaciones,egresos,2009-01-01,22,22
CARANAVI,internaciones,egresos,2009-01-01,219,219
CARMEN RIVERO TORREZ,internaciones,egresos,2009-01-01,23,23
CHALLAPATA,internaciones,egresos,2009-01-01,106,106
CHARAGUA,internaciones,egresos,2009-01-01,148,148
CHAYANTA,internaciones,egresos,2009-01-01,23,23
CHIMORE,internaciones,egresos,2009-01-01,40,40
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2009-01-01,100,100
CHUMA,internaciones,egresos,2009-01-01,3,3
CLIZA,internaciones,egresos,2009-01-01,61,61
COBIJA,internaciones,egresos,2009-01-01,430,430
COCHABAMBA,internaciones,egresos,2009-01-01,7235,7235
COLCAPIRHUA,internaciones,egresos,2009-01-01,148,148
"COLCHA ""K""",internaciones,egresos,2009-01-01,2,2
COLLANA,internaciones,egresos,2009-01-01,3,3
COLOMI,internaciones,egresos,2009-01-01,29,29
COLPA BELGICA,internaciones,egresos,2009-01-01,31,31
COLQUECHACA,internaciones,egresos,2009-01-01,2,2
COLQUIRI,internaciones,egresos,2009-01-01,22,22
COMARAPA,internaciones,egresos,2009-01-01,80,80
CONCEPCION,internaciones,egresos,2009-01-01,104,104
COPACABANA,internaciones,egresos,2009-01-01,17,17
CORIPATA,internaciones,egresos,2009-01-01,10,10
CORO CORO,internaciones,egresos,2009-01-01,3,3
COROICO,internaciones,egresos,2009-01-01,78,78
COTAGAITA,internaciones,egresos,2009-01-01,27,27
COTOCA,internaciones,egresos,2009-01-01,112,112
CUATRO CAÑADAS,internaciones,egresos,2009-01-01,86,86
CUCHUMUELA (V. G. VILLARROEL),internaciones,egresos,2009-01-01,1,1
CUEVO,internaciones,egresos,2009-01-01,10,10
CULPINA,internaciones,egresos,2009-01-01,50,50
CURAHUARA DE CARANGAS,internaciones,egresos,2009-01-01,12,12
DESAGUADERO,internaciones,egresos,2009-01-01,6,6
EL ALTO,internaciones,egresos,2009-01-01,2825,2825
EL PUENTE(STC),internaciones,egresos,2009-01-01,23,23
EL TORNO,internaciones,egresos,2009-01-01,182,182
EL VILLAR,internaciones,egresos,2009-01-01,12,12
ENTRE RIOS,internaciones,egresos,2009-01-01,31,31
ENTRE RIOS,internaciones,egresos,2009-01-01,30,30
EUCALIPTUS,internaciones,egresos,2009-01-01,7,7
EXALTACION,internaciones,egresos,2009-01-01,4,4
FERNANDEZ ALONSO,internaciones,egresos,2009-01-01,115,115
FILADELFIA,internaciones,egresos,2009-01-01,15,15
GENERAL SAAVEDRA,internaciones,egresos,2009-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2009-01-01,1,1
GUANAY,internaciones,egresos,2009-01-01,18,18
GUAQUI,internaciones,egresos,2009-01-01,4,4
GUAYARAMERIN,internaciones,egresos,2009-01-01,616,616
GUTIERREZ,internaciones,egresos,2009-01-01,28,28
HUACARETA,internaciones,egresos,2009-01-01,14,14
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2009-01-01,6,6
HUACHACALLA,internaciones,egresos,2009-01-01,8,8
HUANUNI,internaciones,egresos,2009-01-01,41,41
HUARACAJE,internaciones,egresos,2009-01-01,18,18
INCAHUASI,internaciones,egresos,2009-01-01,10,10
INQUISIVI,internaciones,egresos,2009-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,egresos,2009-01-01,23,23
IXIAMAS,internaciones,egresos,2009-01-01,22,22
JESUS DE MACHACA,internaciones,egresos,2009-01-01,50,50
LA ASUNTA,internaciones,egresos,2009-01-01,52,52
LA GUARDIA,internaciones,egresos,2009-01-01,228,228
LA PAZ,internaciones,egresos,2009-01-01,6244,6244
LAGUNILLAS,internaciones,egresos,2009-01-01,5,5
LAJA,internaciones,egresos,2009-01-01,8,8
LICOMA PAMPA,internaciones,egresos,2009-01-01,2,2
LLALLAGUA,internaciones,egresos,2009-01-01,184,184
LLICA,internaciones,egresos,2009-01-01,6,6
LURIBAY,internaciones,egresos,2009-01-01,10,10
MACHACAMARCA,internaciones,egresos,2009-01-01,2,2
MACHARETI,internaciones,egresos,2009-01-01,12,12
MAGDALENA,internaciones,egresos,2009-01-01,70,70
MAIRANA,internaciones,egresos,2009-01-01,80,80
MAPIRI,internaciones,egresos,2009-01-01,32,32
MECAPACA,internaciones,egresos,2009-01-01,3,3
MINEROS,internaciones,egresos,2009-01-01,58,58
MIZQUE,internaciones,egresos,2009-01-01,53,53
MOCOMOCO,internaciones,egresos,2009-01-01,2,2
MOJOCOYA,internaciones,egresos,2009-01-01,10,10
MONTEAGUDO,internaciones,egresos,2009-01-01,158,158
MONTERO,internaciones,egresos,2009-01-01,719,719
MORO MORO,internaciones,egresos,2009-01-01,2,2
MOROCHATA,internaciones,egresos,2009-01-01,7,7
OCURI,internaciones,egresos,2009-01-01,13,13
OKINAWA,internaciones,egresos,2009-01-01,31,31
OMEREQUE,internaciones,egresos,2009-01-01,10,10
ORURO,internaciones,egresos,2009-01-01,2300,2300
PADILLA,internaciones,egresos,2009-01-01,81,81
PAILON,internaciones,egresos,2009-01-01,138,138
PALOS BLANCOS,internaciones,egresos,2009-01-01,100,100
PAMPA GRANDE,internaciones,egresos,2009-01-01,17,17
PASORAPA,internaciones,egresos,2009-01-01,11,11
PATACAMAYA,internaciones,egresos,2009-01-01,60,60
POCOATA,internaciones,egresos,2009-01-01,14,14
POCONA,internaciones,egresos,2009-01-01,18,18
POJO (CBBA),internaciones,egresos,2009-01-01,20,20
PORCO,internaciones,egresos,2009-01-01,4,4
POROMA,internaciones,egresos,2009-01-01,14,14
PORONGO,internaciones,egresos,2009-01-01,21,21
PORTACHUELO,internaciones,egresos,2009-01-01,340,340
PORVENIR,internaciones,egresos,2009-01-01,5,5
POSTRER VALLE,internaciones,egresos,2009-01-01,4,4
POTOSI,internaciones,egresos,2009-01-01,1557,1557
PRESTO,internaciones,egresos,2009-01-01,10,10
PUCARA,internaciones,egresos,2009-01-01,1,1
PUCARANI,internaciones,egresos,2009-01-01,6,6
PUERTO ACOSTA,internaciones,egresos,2009-01-01,55,55
PUERTO CARABUCO,internaciones,egresos,2009-01-01,2,2
PUERTO GONZALO MORENO,internaciones,egresos,2009-01-01,2,2
PUERTO PEREZ,internaciones,egresos,2009-01-01,2,2
PUERTO QUIJARRO,internaciones,egresos,2009-01-01,61,61
PUERTO RICO,internaciones,egresos,2009-01-01,30,30
PUERTO SUAREZ,internaciones,egresos,2009-01-01,79,79
PUERTO VILLARROEL,internaciones,egresos,2009-01-01,225,225
PUNA,internaciones,egresos,2009-01-01,22,22
PUNATA,internaciones,egresos,2009-01-01,238,238
QUILLACOLLO,internaciones,egresos,2009-01-01,234,234
QUIME,internaciones,egresos,2009-01-01,7,7
QUIRUSILLAS,internaciones,egresos,2009-01-01,5,5
RAVELO,internaciones,egresos,2009-01-01,4,4
REYES,internaciones,egresos,2009-01-01,49,49
RIBERALTA,internaciones,egresos,2009-01-01,832,832
ROBORE,internaciones,egresos,2009-01-01,136,136
RURRENABAQUE,internaciones,egresos,2009-01-01,158,158
SACABA,internaciones,egresos,2009-01-01,407,407
SACABAMBA,internaciones,egresos,2009-01-01,22,22
SACACA,internaciones,egresos,2009-01-01,23,23
SAIPINA,internaciones,egresos,2009-01-01,14,14
SALINAS DE GARCI MENDOZA,internaciones,egresos,2009-01-01,6,6
SAMAIPATA,internaciones,egresos,2009-01-01,36,36
SAN ANDRES,internaciones,egresos,2009-01-01,2,2
SAN ANDRES DE MACHACA,internaciones,egresos,2009-01-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,egresos,2009-01-01,17,17
SAN BENITO,internaciones,egresos,2009-01-01,11,11
SAN BORJA,internaciones,egresos,2009-01-01,177,177
SAN BUENA VENTURA,internaciones,egresos,2009-01-01,65,65
SAN CARLOS,internaciones,egresos,2009-01-01,195,195
SAN IGNACIO,internaciones,egresos,2009-01-01,62,62
SAN IGNACIO DE VELASCO,internaciones,egresos,2009-01-01,537,537
SAN JAVIER(STC),internaciones,egresos,2009-01-01,71,71
SAN JOAQUIN,internaciones,egresos,2009-01-01,49,49
SAN JOSE DE CHIQUITOS,internaciones,egresos,2009-01-01,179,179
SAN JUAN DE YAPACANI,internaciones,egresos,2009-01-01,144,144
SAN JULIAN,internaciones,egresos,2009-01-01,218,218
SAN LORENZO(PND),internaciones,egresos,2009-01-01,15,15
SAN LORENZO(TJA),internaciones,egresos,2009-01-01,11,11
SAN LUCAS,internaciones,egresos,2009-01-01,40,40
SAN MATIAS,internaciones,egresos,2009-01-01,103,103
SAN MIGUEL DE VELASCO,internaciones,egresos,2009-01-01,62,62
SAN PEDRO,internaciones,egresos,2009-01-01,50,50
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2009-01-01,3,3
SAN PEDRO DE CURAHUARA,internaciones,egresos,2009-01-01,2,2
SAN PEDRO DE TIQUINA,internaciones,egresos,2009-01-01,3,3
SAN RAFAEL,internaciones,egresos,2009-01-01,54,54
SAN RAMON,internaciones,egresos,2009-01-01,30,30
SAN RAMON,internaciones,egresos,2009-01-01,54,54
SANTA ANA,internaciones,egresos,2009-01-01,103,103
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2009-01-01,10375,10375
SANTA ROSA,internaciones,egresos,2009-01-01,49,49
