municipality,group,variable,month,0 Contrareferidos,TOTAL
ANTEQUERA,internaciones,contrareferidos,2009-01-01,2,2
ANZALDO,internaciones,contrareferidos,2009-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-01-01,6,6
BUENA VISTA,internaciones,contrareferidos,2009-01-01,2,2
CABEZAS,internaciones,contrareferidos,2009-01-01,1,1
CAMIRI,internaciones,contrareferidos,2009-01-01,5,5
CAPINOTA,internaciones,contrareferidos,2009-01-01,1,1
COBIJA,internaciones,contrareferidos,2009-01-01,28,28
COCHABAMBA,internaciones,contrareferidos,2009-01-01,9,9
CONCEPCION,internaciones,contrareferidos,2009-01-01,1,1
COTOCA,internaciones,contrareferidos,2009-01-01,1,1
CUATRO CAÑADAS,internaciones,contrareferidos,2009-01-01,2,2
CULPINA,internaciones,contrareferidos,2009-01-01,1,1
EL ALTO,internaciones,contrareferidos,2009-01-01,135,135
GENERAL SAAVEDRA,internaciones,contrareferidos,2009-01-01,1,1
ICLA,internaciones,contrareferidos,2009-01-01,1,1
IRUPANA (VILLA DE LANZA),internaciones,contrareferidos,2009-01-01,2,2
JESUS DE MACHACA,internaciones,contrareferidos,2009-01-01,2,2
LA GUARDIA,internaciones,contrareferidos,2009-01-01,1,1
LA PAZ,internaciones,contrareferidos,2009-01-01,179,179
MONTEAGUDO,internaciones,contrareferidos,2009-01-01,2,2
ORURO,internaciones,contrareferidos,2009-01-01,72,72
PALOS BLANCOS,internaciones,contrareferidos,2009-01-01,2,2
PORONGO,internaciones,contrareferidos,2009-01-01,1,1
PORTACHUELO,internaciones,contrareferidos,2009-01-01,3,3
POTOSI,internaciones,contrareferidos,2009-01-01,23,23
PUERTO SUAREZ,internaciones,contrareferidos,2009-01-01,2,2
PUERTO VILLARROEL,internaciones,contrareferidos,2009-01-01,3,3
PUNATA,internaciones,contrareferidos,2009-01-01,5,5
RIBERALTA,internaciones,contrareferidos,2009-01-01,58,58
RURRENABAQUE,internaciones,contrareferidos,2009-01-01,1,1
SACABA,internaciones,contrareferidos,2009-01-01,2,2
SAIPINA,internaciones,contrareferidos,2009-01-01,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2009-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-01-01,7,7
SAN JAVIER(BNI),internaciones,contrareferidos,2009-01-01,4,4
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2009-01-01,1,1
SAN JUAN DE YAPACANI,internaciones,contrareferidos,2009-01-01,1,1
SAN LUCAS,internaciones,contrareferidos,2009-01-01,8,8
SAN MATIAS,internaciones,contrareferidos,2009-01-01,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-01-01,3,3
SAN RAFAEL,internaciones,contrareferidos,2009-01-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-01-01,144,144
SUCRE,internaciones,contrareferidos,2009-01-01,50,50
TARABUCO,internaciones,contrareferidos,2009-01-01,2,2
TORO TORO,internaciones,contrareferidos,2009-01-01,1,1
TUPIZA,internaciones,contrareferidos,2009-01-01,46,46
UYUNI,internaciones,contrareferidos,2009-01-01,4,4
VILLA TUNARI,internaciones,contrareferidos,2009-01-01,1,1
VILLAZON,internaciones,contrareferidos,2009-01-01,22,22
YACUIBA,internaciones,contrareferidos,2009-01-01,11,11
YAPACANI,internaciones,contrareferidos,2009-01-01,5,5
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-02-01,1,1
BERMEJO,internaciones,contrareferidos,2009-02-01,2,2
BOYUIBE,internaciones,contrareferidos,2009-02-01,1,1
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2009-02-01,1,1
COCHABAMBA,internaciones,contrareferidos,2009-02-01,8,8
CONCEPCION,internaciones,contrareferidos,2009-02-01,1,1
EL ALTO,internaciones,contrareferidos,2009-02-01,144,144
EL TORNO,internaciones,contrareferidos,2009-02-01,2,2
GUAYARAMERIN,internaciones,contrareferidos,2009-02-01,1,1
GUTIERREZ,internaciones,contrareferidos,2009-02-01,2,2
ICLA,internaciones,contrareferidos,2009-02-01,1,1
LA PAZ,internaciones,contrareferidos,2009-02-01,107,107
MACHARETI,internaciones,contrareferidos,2009-02-01,1,1
MIZQUE,internaciones,contrareferidos,2009-02-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2009-02-01,1,1
OMEREQUE,internaciones,contrareferidos,2009-02-01,2,2
ORURO,internaciones,contrareferidos,2009-02-01,234,234
PALOS BLANCOS,internaciones,contrareferidos,2009-02-01,6,6
PATACAMAYA,internaciones,contrareferidos,2009-02-01,1,1
POOPO,internaciones,contrareferidos,2009-02-01,2,2
PORTACHUELO,internaciones,contrareferidos,2009-02-01,3,3
POTOSI,internaciones,contrareferidos,2009-02-01,36,36
PUCARANI,internaciones,contrareferidos,2009-02-01,2,2
PUERTO SUAREZ,internaciones,contrareferidos,2009-02-01,8,8
PUERTO VILLARROEL,internaciones,contrareferidos,2009-02-01,2,2
PUNATA,internaciones,contrareferidos,2009-02-01,4,4
RIBERALTA,internaciones,contrareferidos,2009-02-01,57,57
SAN BUENA VENTURA,internaciones,contrareferidos,2009-02-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-02-01,5,5
SAN JULIAN,internaciones,contrareferidos,2009-02-01,1,1
SAN LUCAS,internaciones,contrareferidos,2009-02-01,6,6
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-02-01,61,61
SUCRE,internaciones,contrareferidos,2009-02-01,12,12
TARABUCO,internaciones,contrareferidos,2009-02-01,4,4
TARIJA,internaciones,contrareferidos,2009-02-01,248,248
TUPIZA,internaciones,contrareferidos,2009-02-01,6,6
UYUNI,internaciones,contrareferidos,2009-02-01,3,3
VILLA TUNARI,internaciones,contrareferidos,2009-02-01,14,14
VILLAZON,internaciones,contrareferidos,2009-02-01,14,14
VINTO,internaciones,contrareferidos,2009-02-01,1,1
VITICHI,internaciones,contrareferidos,2009-02-01,1,1
YAMPARAEZ,internaciones,contrareferidos,2009-02-01,1,1
YOTALA,internaciones,contrareferidos,2009-02-01,1,1
APOLO,internaciones,contrareferidos,2009-03-01,4,4
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-03-01,8,8
BERMEJO,internaciones,contrareferidos,2009-03-01,1,1
BETANZOS,internaciones,contrareferidos,2009-03-01,1,1
BUENA VISTA,internaciones,contrareferidos,2009-03-01,2,2
CABEZAS,internaciones,contrareferidos,2009-03-01,1,1
CAMARGO,internaciones,contrareferidos,2009-03-01,5,5
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2009-03-01,1,1
COBIJA,internaciones,contrareferidos,2009-03-01,42,42
COCHABAMBA,internaciones,contrareferidos,2009-03-01,10,10
COPACABANA,internaciones,contrareferidos,2009-03-01,1,1
COTOCA,internaciones,contrareferidos,2009-03-01,1,1
CUATRO CAÑADAS,internaciones,contrareferidos,2009-03-01,2,2
CULPINA,internaciones,contrareferidos,2009-03-01,1,1
EL ALTO,internaciones,contrareferidos,2009-03-01,149,149
GRAL. J.J. PEREZ (CHARAZANI),internaciones,contrareferidos,2009-03-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2009-03-01,4,4
ICLA,internaciones,contrareferidos,2009-03-01,1,1
INCAHUASI,internaciones,contrareferidos,2009-03-01,2,2
LA PAZ,internaciones,contrareferidos,2009-03-01,221,221
MACHARETI,internaciones,contrareferidos,2009-03-01,2,2
MONTEAGUDO,internaciones,contrareferidos,2009-03-01,7,7
OCURI,internaciones,contrareferidos,2009-03-01,1,1
ORURO,internaciones,contrareferidos,2009-03-01,58,58
PALOS BLANCOS,internaciones,contrareferidos,2009-03-01,5,5
POTOSI,internaciones,contrareferidos,2009-03-01,40,40
PUCARA,internaciones,contrareferidos,2009-03-01,1,1
PUERTO QUIJARRO,internaciones,contrareferidos,2009-03-01,1,1
PUERTO RICO,internaciones,contrareferidos,2009-03-01,6,6
PUERTO SUAREZ,internaciones,contrareferidos,2009-03-01,11,11
PUERTO VILLARROEL,internaciones,contrareferidos,2009-03-01,2,2
PUNATA,internaciones,contrareferidos,2009-03-01,11,11
RIBERALTA,internaciones,contrareferidos,2009-03-01,62,62
ROBORE,internaciones,contrareferidos,2009-03-01,1,1
RURRENABAQUE,internaciones,contrareferidos,2009-03-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-03-01,15,15
SAN MATIAS,internaciones,contrareferidos,2009-03-01,31,31
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-03-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-03-01,229,229
SANTIVAÑES,internaciones,contrareferidos,2009-03-01,1,1
SUCRE,internaciones,contrareferidos,2009-03-01,8,8
TARABUCO,internaciones,contrareferidos,2009-03-01,5,5
TARIJA,internaciones,contrareferidos,2009-03-01,6,6
VILLAZON,internaciones,contrareferidos,2009-03-01,33,33
YACUIBA,internaciones,contrareferidos,2009-03-01,2,2
YAMPARAEZ,internaciones,contrareferidos,2009-03-01,2,2
YAPACANI,internaciones,contrareferidos,2009-03-01,3,3
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-04-01,6,6
CAPINOTA,internaciones,contrareferidos,2009-04-01,1,1
COBIJA,internaciones,contrareferidos,2009-04-01,82,82
COCHABAMBA,internaciones,contrareferidos,2009-04-01,12,12
COROICO,internaciones,contrareferidos,2009-04-01,2,2
COTOCA,internaciones,contrareferidos,2009-04-01,2,2
EL ALTO,internaciones,contrareferidos,2009-04-01,136,136
FERNANDEZ ALONSO,internaciones,contrareferidos,2009-04-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2009-04-01,6,6
HUACARETA,internaciones,contrareferidos,2009-04-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2009-04-01,2,2
LA GUARDIA,internaciones,contrareferidos,2009-04-01,1,1
LA PAZ,internaciones,contrareferidos,2009-04-01,180,180
MACHACAMARCA,internaciones,contrareferidos,2009-04-01,3,3
MACHARETI,internaciones,contrareferidos,2009-04-01,2,2
MECAPACA,internaciones,contrareferidos,2009-04-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2009-04-01,7,7
OKINAWA,internaciones,contrareferidos,2009-04-01,1,1
OMEREQUE,internaciones,contrareferidos,2009-04-01,2,2
ORURO,internaciones,contrareferidos,2009-04-01,56,56
PALOS BLANCOS,internaciones,contrareferidos,2009-04-01,9,9
PASORAPA,internaciones,contrareferidos,2009-04-01,1,1
PATACAMAYA,internaciones,contrareferidos,2009-04-01,2,2
PORONGO,internaciones,contrareferidos,2009-04-01,1,1
POTOSI,internaciones,contrareferidos,2009-04-01,54,54
PUCARANI,internaciones,contrareferidos,2009-04-01,2,2
PUERTO QUIJARRO,internaciones,contrareferidos,2009-04-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2009-04-01,10,10
PUERTO VILLARROEL,internaciones,contrareferidos,2009-04-01,2,2
PUNATA,internaciones,contrareferidos,2009-04-01,10,10
RIBERALTA,internaciones,contrareferidos,2009-04-01,74,74
RURRENABAQUE,internaciones,contrareferidos,2009-04-01,2,2
SAIPINA,internaciones,contrareferidos,2009-04-01,1,1
SAN BENITO,internaciones,contrareferidos,2009-04-01,1,1
SAN BORJA,internaciones,contrareferidos,2009-04-01,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2009-04-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-04-01,14,14
SAN JULIAN,internaciones,contrareferidos,2009-04-01,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-04-01,2,2
SAN RAFAEL,internaciones,contrareferidos,2009-04-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-04-01,190,190
SICA SICA (VILLA AROMA),internaciones,contrareferidos,2009-04-01,1,1
SUCRE,internaciones,contrareferidos,2009-04-01,14,14
TARABUCO,internaciones,contrareferidos,2009-04-01,8,8
TOMINA,internaciones,contrareferidos,2009-04-01,2,2
TORO TORO,internaciones,contrareferidos,2009-04-01,1,1
TUPIZA,internaciones,contrareferidos,2009-04-01,56,56
VILLA TUNARI,internaciones,contrareferidos,2009-04-01,7,7
VILLAZON,internaciones,contrareferidos,2009-04-01,36,36
YAMPARAEZ,internaciones,contrareferidos,2009-04-01,2,2
YAPACANI,internaciones,contrareferidos,2009-04-01,3,3
YOTALA,internaciones,contrareferidos,2009-04-01,1,1
ANDAMARCA,internaciones,contrareferidos,2009-05-01,30,30
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-05-01,1,1
CAJUATA,internaciones,contrareferidos,2009-05-01,1,1
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2009-05-01,2,2
COBIJA,internaciones,contrareferidos,2009-05-01,27,27
COCHABAMBA,internaciones,contrareferidos,2009-05-01,4,4
COMARAPA,internaciones,contrareferidos,2009-05-01,11,11
COROICO,internaciones,contrareferidos,2009-05-01,4,4
COTAGAITA,internaciones,contrareferidos,2009-05-01,2,2
COTOCA,internaciones,contrareferidos,2009-05-01,17,17
EL ALTO,internaciones,contrareferidos,2009-05-01,127,127
EUCALIPTUS,internaciones,contrareferidos,2009-05-01,1,1
FERNANDEZ ALONSO,internaciones,contrareferidos,2009-05-01,31,31
GUAYARAMERIN,internaciones,contrareferidos,2009-05-01,2,2
GUTIERREZ,internaciones,contrareferidos,2009-05-01,2,2
INCAHUASI,internaciones,contrareferidos,2009-05-01,1,1
LA PAZ,internaciones,contrareferidos,2009-05-01,207,207
MACHARETI,internaciones,contrareferidos,2009-05-01,5,5
MONTEAGUDO,internaciones,contrareferidos,2009-05-01,5,5
ORURO,internaciones,contrareferidos,2009-05-01,47,47
PADILLA,internaciones,contrareferidos,2009-05-01,6,6
PALOS BLANCOS,internaciones,contrareferidos,2009-05-01,12,12
PATACAMAYA,internaciones,contrareferidos,2009-05-01,11,11
POTOSI,internaciones,contrareferidos,2009-05-01,43,43
PUERTO QUIJARRO,internaciones,contrareferidos,2009-05-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2009-05-01,5,5
PUNATA,internaciones,contrareferidos,2009-05-01,6,6
RIBERALTA,internaciones,contrareferidos,2009-05-01,71,71
SAIPINA,internaciones,contrareferidos,2009-05-01,3,3
SAN BORJA,internaciones,contrareferidos,2009-05-01,4,4
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-05-01,14,14
SAN JAVIER(BNI),internaciones,contrareferidos,2009-05-01,2,2
SAN JULIAN,internaciones,contrareferidos,2009-05-01,3,3
SAN LUCAS,internaciones,contrareferidos,2009-05-01,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-05-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2009-05-01,1,1
SAN RAMON,internaciones,contrareferidos,2009-05-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-05-01,51,51
SANTA ROSA DEL SARA,internaciones,contrareferidos,2009-05-01,3,3
SUCRE,internaciones,contrareferidos,2009-05-01,12,12
TARABUCO,internaciones,contrareferidos,2009-05-01,6,6
TARIJA,internaciones,contrareferidos,2009-05-01,1,1
TOLEDO,internaciones,contrareferidos,2009-05-01,1,1
TUPIZA,internaciones,contrareferidos,2009-05-01,59,59
UNCIA,internaciones,contrareferidos,2009-05-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2009-05-01,1,1
VILLAZON,internaciones,contrareferidos,2009-05-01,23,23
YACUIBA,internaciones,contrareferidos,2009-05-01,2,2
YAPACANI,internaciones,contrareferidos,2009-05-01,3,3
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-06-01,5,5
BUENA VISTA,internaciones,contrareferidos,2009-06-01,2,2
CAPINOTA,internaciones,contrareferidos,2009-06-01,2,2
COBIJA,internaciones,contrareferidos,2009-06-01,46,46
COCHABAMBA,internaciones,contrareferidos,2009-06-01,12,12
COMARAPA,internaciones,contrareferidos,2009-06-01,5,5
COROICO,internaciones,contrareferidos,2009-06-01,7,7
COTOCA,internaciones,contrareferidos,2009-06-01,16,16
EL ALTO,internaciones,contrareferidos,2009-06-01,137,137
EUCALIPTUS,internaciones,contrareferidos,2009-06-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),internaciones,contrareferidos,2009-06-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2009-06-01,21,21
HUACARETA,internaciones,contrareferidos,2009-06-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2009-06-01,1,1
LA GUARDIA,internaciones,contrareferidos,2009-06-01,1,1
LA PAZ,internaciones,contrareferidos,2009-06-01,248,248
MIZQUE,internaciones,contrareferidos,2009-06-01,3,3
MONTEAGUDO,internaciones,contrareferidos,2009-06-01,1,1
OCURI,internaciones,contrareferidos,2009-06-01,660,660
ORURO,internaciones,contrareferidos,2009-06-01,53,53
PATACAMAYA,internaciones,contrareferidos,2009-06-01,4,4
POCONA,internaciones,contrareferidos,2009-06-01,1,1
PRESTO,internaciones,contrareferidos,2009-06-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2009-06-01,3,3
PUERTO VILLARROEL,internaciones,contrareferidos,2009-06-01,3,3
PUNA,internaciones,contrareferidos,2009-06-01,1,1
PUNATA,internaciones,contrareferidos,2009-06-01,5,5
RIBERALTA,internaciones,contrareferidos,2009-06-01,98,98
ROBORE,internaciones,contrareferidos,2009-06-01,1,1
RURRENABAQUE,internaciones,contrareferidos,2009-06-01,1,1
SACACA,internaciones,contrareferidos,2009-06-01,1,1
SAIPINA,internaciones,contrareferidos,2009-06-01,2,2
SAN BORJA,internaciones,contrareferidos,2009-06-01,6,6
SAN BUENA VENTURA,internaciones,contrareferidos,2009-06-01,1,1
SAN CARLOS,internaciones,contrareferidos,2009-06-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-06-01,9,9
SAN LUCAS,internaciones,contrareferidos,2009-06-01,3,3
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-06-01,173,173
SANTA ROSA DEL SARA,internaciones,contrareferidos,2009-06-01,1,1
SUCRE,internaciones,contrareferidos,2009-06-01,16,16
TARABUCO,internaciones,contrareferidos,2009-06-01,6,6
TARIJA,internaciones,contrareferidos,2009-06-01,2,2
TORO TORO,internaciones,contrareferidos,2009-06-01,1,1
TOTORA(ORR),internaciones,contrareferidos,2009-06-01,2,2
TUPIZA,internaciones,contrareferidos,2009-06-01,7,7
UNCIA,internaciones,contrareferidos,2009-06-01,8,8
VIACHA,internaciones,contrareferidos,2009-06-01,7,7
VILLA TUNARI,internaciones,contrareferidos,2009-06-01,1,1
VILLAZON,internaciones,contrareferidos,2009-06-01,29,29
VITICHI,internaciones,contrareferidos,2009-06-01,1,1
YAPACANI,internaciones,contrareferidos,2009-06-01,2,2
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-07-01,3,3
BUENA VISTA,internaciones,contrareferidos,2009-07-01,1,1
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2009-07-01,7,7
COBIJA,internaciones,contrareferidos,2009-07-01,50,50
COCHABAMBA,internaciones,contrareferidos,2009-07-01,81,81
COLCAPIRHUA,internaciones,contrareferidos,2009-07-01,1,1
COMARAPA,internaciones,contrareferidos,2009-07-01,1,1
COROICO,internaciones,contrareferidos,2009-07-01,7,7
COTOCA,internaciones,contrareferidos,2009-07-01,13,13
EL ALTO,internaciones,contrareferidos,2009-07-01,99,99
FERNANDEZ ALONSO,internaciones,contrareferidos,2009-07-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),internaciones,contrareferidos,2009-07-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2009-07-01,4,4
LA PAZ,internaciones,contrareferidos,2009-07-01,240,240
MACHARETI,internaciones,contrareferidos,2009-07-01,3,3
MOJOCOYA,internaciones,contrareferidos,2009-07-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2009-07-01,8,8
ORURO,internaciones,contrareferidos,2009-07-01,58,58
PATACAMAYA,internaciones,contrareferidos,2009-07-01,2,2
POCONA,internaciones,contrareferidos,2009-07-01,1,1
POROMA,internaciones,contrareferidos,2009-07-01,1,1
