municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
ACHACACHI,internaciones,dias camas ocupadas maternidad,2009-01-01,50,50
ACHOCALLA,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
AIQUILE,internaciones,dias camas ocupadas maternidad,2009-01-01,87,87
ALALAY,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
ALCALA,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
ANCORAIMES,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
ANZALDO,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
APOLO,internaciones,dias camas ocupadas maternidad,2009-01-01,17,17
ARANI,internaciones,dias camas ocupadas maternidad,2009-01-01,22,22
ARBIETO,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
ARQUE,internaciones,dias camas ocupadas maternidad,2009-01-01,5,5
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas maternidad,2009-01-01,179,179
ATOCHA,internaciones,dias camas ocupadas maternidad,2009-01-01,9,9
AYO AYO,internaciones,dias camas ocupadas maternidad,2009-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas maternidad,2009-01-01,63,63
AZURDUY,internaciones,dias camas ocupadas maternidad,2009-01-01,13,13
BATALLAS,internaciones,dias camas ocupadas maternidad,2009-01-01,5,5
BAURES,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
BERMEJO,internaciones,dias camas ocupadas maternidad,2009-01-01,154,154
BETANZOS,internaciones,dias camas ocupadas maternidad,2009-01-01,45,45
BOYUIBE,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
BUENA VISTA,internaciones,dias camas ocupadas maternidad,2009-01-01,30,30
CABEZAS,internaciones,dias camas ocupadas maternidad,2009-01-01,36,36
CAIROMA,internaciones,dias camas ocupadas maternidad,2009-01-01,13,13
"CAIZA ""D""",internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
CAJUATA,internaciones,dias camas ocupadas maternidad,2009-01-01,13,13
CALAMARCA,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
CAMARGO,internaciones,dias camas ocupadas maternidad,2009-01-01,92,92
