municipality,group,variable,month,Fallecidos antes de las 48 horas,TOTAL
APOLO,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
BUENA VISTA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2009-01-01,6,6
CARANAVI,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2009-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2009-01-01,3,3
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2009-01-01,56,56
COMARAPA,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
CULPINA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2009-01-01,19,19
EL TORNO,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
ENTRE RIOS,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
FERNANDEZ ALONSO,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
GUTIERREZ,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
JESUS DE MACHACA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2009-01-01,80,80
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
MAPIRI,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
OCURI,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2009-01-01,28,28
PAILON,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2009-01-01,28,28
PUERTO ACOSTA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2009-01-01,13,13
ROBORE,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-01-01,5,5
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2009-01-01,9,9
SAN MIGUEL DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
SAN RAMON,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
