municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
BUENA VISTA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2009-01-01,2,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,3,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,88,88
COROICO,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2009-01-01,12,12
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2009-01-01,3,3
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2009-01-01,99,99
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2009-01-01,3,3
ORURO,internaciones,fallecidos a partir de las 48 horas,2009-01-01,35,35
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2009-01-01,19,19
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2009-01-01,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,6,6
ROBORE,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2009-01-01,2,2
SAN LUCAS,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,139,139
SUCRE,internaciones,fallecidos a partir de las 48 horas,2009-01-01,30,30
TARIJA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,9,9
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2009-01-01,3,3
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2009-01-01,2,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2009-01-01,4,4
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2009-01-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos a partir de las 48 horas,2009-02-01,2,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2009-02-01,4,4
CARMEN RIVERO TORREZ,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,96,96
CONCEPCION,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,9,9
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2009-02-01,4,4
LA GUARDIA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2009-02-01,119,119
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,4,4
MONTERO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,21,21
POTOSI,internaciones,fallecidos a partir de las 48 horas,2009-02-01,18,18
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,8,8
ROBORE,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,2,2
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,2,2
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
SAN RAMON,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,149,149
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2009-02-01,23,23
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,38,38
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2009-02-01,15,15
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,3,3
UYUNI,internaciones,fallecidos a partir de las 48 horas,2009-02-01,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2009-02-01,3,3
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2009-02-01,4,4
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2009-02-01,7,7
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2009-02-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2009-03-01,4,4
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2009-03-01,2,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,108,108
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,5,5
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2009-03-01,4,4
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2009-03-01,119,119
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,2,2
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
MIZQUE,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,22,22
PADILLA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2009-03-01,25,25
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2009-03-01,2,2
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2009-03-01,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2009-03-01,165,165
SOPACHUY,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2009-03-01,37,37
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2009-03-01,1,1
