municipality,group,variable,month,Ingresos espontáneos,TOTAL
ACACIO,internaciones,ingresos espontaneos,2009-01-01,8,8
ACHACACHI,internaciones,ingresos espontaneos,2009-01-01,45,45
ACHOCALLA,internaciones,ingresos espontaneos,2009-01-01,4,4
AIQUILE,internaciones,ingresos espontaneos,2009-01-01,130,130
ALALAY,internaciones,ingresos espontaneos,2009-01-01,3,3
ALCALA,internaciones,ingresos espontaneos,2009-01-01,2,2
ANCORAIMES,internaciones,ingresos espontaneos,2009-01-01,5,5
ANZALDO,internaciones,ingresos espontaneos,2009-01-01,5,5
APOLO,internaciones,ingresos espontaneos,2009-01-01,24,24
ARANI,internaciones,ingresos espontaneos,2009-01-01,13,13
ARBIETO,internaciones,ingresos espontaneos,2009-01-01,2,2
ARQUE,internaciones,ingresos espontaneos,2009-01-01,3,3
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2009-01-01,214,214
ATOCHA,internaciones,ingresos espontaneos,2009-01-01,28,28
AYO AYO,internaciones,ingresos espontaneos,2009-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2009-01-01,36,36
BATALLAS,internaciones,ingresos espontaneos,2009-01-01,12,12
BAURES,internaciones,ingresos espontaneos,2009-01-01,24,24
BERMEJO,internaciones,ingresos espontaneos,2009-01-01,280,280
BETANZOS,internaciones,ingresos espontaneos,2009-01-01,29,29
BOLIVAR,internaciones,ingresos espontaneos,2009-01-01,1,1
BOYUIBE,internaciones,ingresos espontaneos,2009-01-01,50,50
BUENA VISTA,internaciones,ingresos espontaneos,2009-01-01,49,49
CABEZAS,internaciones,ingresos espontaneos,2009-01-01,96,96
CAIROMA,internaciones,ingresos espontaneos,2009-01-01,7,7
"CAIZA ""D""",internaciones,ingresos espontaneos,2009-01-01,2,2
CAJUATA,internaciones,ingresos espontaneos,2009-01-01,21,21
CALAMARCA,internaciones,ingresos espontaneos,2009-01-01,1,1
CAMARGO,internaciones,ingresos espontaneos,2009-01-01,226,226
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2009-01-01,3,3
CAMIRI,internaciones,ingresos espontaneos,2009-01-01,469,469
CAPINOTA,internaciones,ingresos espontaneos,2009-01-01,59,59
CARACOLLO,internaciones,ingresos espontaneos,2009-01-01,22,22
CARANAVI,internaciones,ingresos espontaneos,2009-01-01,197,197
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2009-01-01,25,25
CHALLAPATA,internaciones,ingresos espontaneos,2009-01-01,103,103
CHARAGUA,internaciones,ingresos espontaneos,2009-01-01,174,174
CHAYANTA,internaciones,ingresos espontaneos,2009-01-01,23,23
CHIMORE,internaciones,ingresos espontaneos,2009-01-01,40,40
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2009-01-01,102,102
CHUMA,internaciones,ingresos espontaneos,2009-01-01,3,3
CLIZA,internaciones,ingresos espontaneos,2009-01-01,61,61
COBIJA,internaciones,ingresos espontaneos,2009-01-01,352,352
COCHABAMBA,internaciones,ingresos espontaneos,2009-01-01,7344,7344
COLCAPIRHUA,internaciones,ingresos espontaneos,2009-01-01,151,151
"COLCHA ""K""",internaciones,ingresos espontaneos,2009-01-01,2,2
COLLANA,internaciones,ingresos espontaneos,2009-01-01,3,3
COLOMI,internaciones,ingresos espontaneos,2009-01-01,27,27
COLPA BELGICA,internaciones,ingresos espontaneos,2009-01-01,31,31
COLQUECHACA,internaciones,ingresos espontaneos,2009-01-01,2,2
COLQUIRI,internaciones,ingresos espontaneos,2009-01-01,22,22
COMARAPA,internaciones,ingresos espontaneos,2009-01-01,82,82
CONCEPCION,internaciones,ingresos espontaneos,2009-01-01,107,107
COPACABANA,internaciones,ingresos espontaneos,2009-01-01,17,17
CORIPATA,internaciones,ingresos espontaneos,2009-01-01,10,10
CORO CORO,internaciones,ingresos espontaneos,2009-01-01,3,3
COROICO,internaciones,ingresos espontaneos,2009-01-01,71,71
COTAGAITA,internaciones,ingresos espontaneos,2009-01-01,26,26
COTOCA,internaciones,ingresos espontaneos,2009-01-01,112,112
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2009-01-01,89,89
CUCHUMUELA (V. G. VILLARROEL),internaciones,ingresos espontaneos,2009-01-01,1,1
CUEVO,internaciones,ingresos espontaneos,2009-01-01,10,10
CULPINA,internaciones,ingresos espontaneos,2009-01-01,43,43
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2009-01-01,12,12
DESAGUADERO,internaciones,ingresos espontaneos,2009-01-01,6,6
EL ALTO,internaciones,ingresos espontaneos,2009-01-01,2766,2766
EL PUENTE(STC),internaciones,ingresos espontaneos,2009-01-01,23,23
EL TORNO,internaciones,ingresos espontaneos,2009-01-01,180,180
EL VILLAR,internaciones,ingresos espontaneos,2009-01-01,12,12
ENTRE RIOS,internaciones,ingresos espontaneos,2009-01-01,32,32
ENTRE RIOS,internaciones,ingresos espontaneos,2009-01-01,30,30
EUCALIPTUS,internaciones,ingresos espontaneos,2009-01-01,7,7
EXALTACION,internaciones,ingresos espontaneos,2009-01-01,4,4
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2009-01-01,115,115
FILADELFIA,internaciones,ingresos espontaneos,2009-01-01,15,15
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2009-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2009-01-01,1,1
GUANAY,internaciones,ingresos espontaneos,2009-01-01,16,16
GUAQUI,internaciones,ingresos espontaneos,2009-01-01,4,4
GUAYARAMERIN,internaciones,ingresos espontaneos,2009-01-01,616,616
GUTIERREZ,internaciones,ingresos espontaneos,2009-01-01,28,28
HUACARETA,internaciones,ingresos espontaneos,2009-01-01,14,14
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2009-01-01,6,6
HUACHACALLA,internaciones,ingresos espontaneos,2009-01-01,8,8
HUANUNI,internaciones,ingresos espontaneos,2009-01-01,42,42
HUARACAJE,internaciones,ingresos espontaneos,2009-01-01,18,18
INCAHUASI,internaciones,ingresos espontaneos,2009-01-01,9,9
INQUISIVI,internaciones,ingresos espontaneos,2009-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2009-01-01,23,23
IXIAMAS,internaciones,ingresos espontaneos,2009-01-01,22,22
JESUS DE MACHACA,internaciones,ingresos espontaneos,2009-01-01,50,50
LA ASUNTA,internaciones,ingresos espontaneos,2009-01-01,52,52
LA GUARDIA,internaciones,ingresos espontaneos,2009-01-01,226,226
LA PAZ,internaciones,ingresos espontaneos,2009-01-01,6438,6438
LAGUNILLAS,internaciones,ingresos espontaneos,2009-01-01,6,6
LAJA,internaciones,ingresos espontaneos,2009-01-01,8,8
LICOMA PAMPA,internaciones,ingresos espontaneos,2009-01-01,2,2
LLALLAGUA,internaciones,ingresos espontaneos,2009-01-01,172,172
LLICA,internaciones,ingresos espontaneos,2009-01-01,6,6
LURIBAY,internaciones,ingresos espontaneos,2009-01-01,10,10
MACHACAMARCA,internaciones,ingresos espontaneos,2009-01-01,2,2
MACHARETI,internaciones,ingresos espontaneos,2009-01-01,16,16
MAGDALENA,internaciones,ingresos espontaneos,2009-01-01,64,64
MAIRANA,internaciones,ingresos espontaneos,2009-01-01,77,77
MAPIRI,internaciones,ingresos espontaneos,2009-01-01,31,31
MECAPACA,internaciones,ingresos espontaneos,2009-01-01,3,3
MINEROS,internaciones,ingresos espontaneos,2009-01-01,58,58
MIZQUE,internaciones,ingresos espontaneos,2009-01-01,45,45
MOCOMOCO,internaciones,ingresos espontaneos,2009-01-01,2,2
MOJOCOYA,internaciones,ingresos espontaneos,2009-01-01,10,10
MONTEAGUDO,internaciones,ingresos espontaneos,2009-01-01,150,150
MONTERO,internaciones,ingresos espontaneos,2009-01-01,626,626
MORO MORO,internaciones,ingresos espontaneos,2009-01-01,2,2
MOROCHATA,internaciones,ingresos espontaneos,2009-01-01,7,7
OCURI,internaciones,ingresos espontaneos,2009-01-01,12,12
OKINAWA,internaciones,ingresos espontaneos,2009-01-01,31,31
OMEREQUE,internaciones,ingresos espontaneos,2009-01-01,5,5
ORURO,internaciones,ingresos espontaneos,2009-01-01,2302,2302
PADILLA,internaciones,ingresos espontaneos,2009-01-01,64,64
PAILON,internaciones,ingresos espontaneos,2009-01-01,138,138
PALOS BLANCOS,internaciones,ingresos espontaneos,2009-01-01,96,96
PAMPA GRANDE,internaciones,ingresos espontaneos,2009-01-01,17,17
PASORAPA,internaciones,ingresos espontaneos,2009-01-01,11,11
PATACAMAYA,internaciones,ingresos espontaneos,2009-01-01,60,60
POCOATA,internaciones,ingresos espontaneos,2009-01-01,17,17
POCONA,internaciones,ingresos espontaneos,2009-01-01,17,17
POJO (CBBA),internaciones,ingresos espontaneos,2009-01-01,17,17
PORCO,internaciones,ingresos espontaneos,2009-01-01,4,4
POROMA,internaciones,ingresos espontaneos,2009-01-01,14,14
PORONGO,internaciones,ingresos espontaneos,2009-01-01,21,21
PORTACHUELO,internaciones,ingresos espontaneos,2009-01-01,341,341
PORVENIR,internaciones,ingresos espontaneos,2009-01-01,5,5
POSTRER VALLE,internaciones,ingresos espontaneos,2009-01-01,4,4
POTOSI,internaciones,ingresos espontaneos,2009-01-01,1922,1922
PRESTO,internaciones,ingresos espontaneos,2009-01-01,10,10
PUCARA,internaciones,ingresos espontaneos,2009-01-01,1,1
PUCARANI,internaciones,ingresos espontaneos,2009-01-01,6,6
PUERTO ACOSTA,internaciones,ingresos espontaneos,2009-01-01,45,45
PUERTO CARABUCO,internaciones,ingresos espontaneos,2009-01-01,12,12
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2009-01-01,2,2
PUERTO PEREZ,internaciones,ingresos espontaneos,2009-01-01,2,2
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2009-01-01,61,61
PUERTO RICO,internaciones,ingresos espontaneos,2009-01-01,30,30
PUERTO SUAREZ,internaciones,ingresos espontaneos,2009-01-01,78,78
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2009-01-01,204,204
PUNA,internaciones,ingresos espontaneos,2009-01-01,20,20
PUNATA,internaciones,ingresos espontaneos,2009-01-01,188,188
QUILLACOLLO,internaciones,ingresos espontaneos,2009-01-01,234,234
QUIME,internaciones,ingresos espontaneos,2009-01-01,7,7
QUIRUSILLAS,internaciones,ingresos espontaneos,2009-01-01,5,5
RAVELO,internaciones,ingresos espontaneos,2009-01-01,4,4
REYES,internaciones,ingresos espontaneos,2009-01-01,46,46
RIBERALTA,internaciones,ingresos espontaneos,2009-01-01,745,745
ROBORE,internaciones,ingresos espontaneos,2009-01-01,141,141
RURRENABAQUE,internaciones,ingresos espontaneos,2009-01-01,142,142
SACABA,internaciones,ingresos espontaneos,2009-01-01,403,403
SACABAMBA,internaciones,ingresos espontaneos,2009-01-01,22,22
SACACA,internaciones,ingresos espontaneos,2009-01-01,23,23
SAIPINA,internaciones,ingresos espontaneos,2009-01-01,14,14
SALINAS DE GARCI MENDOZA,internaciones,ingresos espontaneos,2009-01-01,6,6
SAMAIPATA,internaciones,ingresos espontaneos,2009-01-01,35,35
SAN ANDRES,internaciones,ingresos espontaneos,2009-01-01,2,2
SAN ANDRES DE MACHACA,internaciones,ingresos espontaneos,2009-01-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2009-01-01,18,18
SAN BENITO,internaciones,ingresos espontaneos,2009-01-01,11,11
SAN BORJA,internaciones,ingresos espontaneos,2009-01-01,185,185
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2009-01-01,59,59
SAN CARLOS,internaciones,ingresos espontaneos,2009-01-01,183,183
SAN IGNACIO,internaciones,ingresos espontaneos,2009-01-01,66,66
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2009-01-01,633,633
SAN JAVIER(STC),internaciones,ingresos espontaneos,2009-01-01,80,80
SAN JOAQUIN,internaciones,ingresos espontaneos,2009-01-01,49,49
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2009-01-01,179,179
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2009-01-01,180,180
SAN JULIAN,internaciones,ingresos espontaneos,2009-01-01,216,216
SAN LORENZO(PND),internaciones,ingresos espontaneos,2009-01-01,15,15
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2009-01-01,11,11
SAN LUCAS,internaciones,ingresos espontaneos,2009-01-01,41,41
SAN MATIAS,internaciones,ingresos espontaneos,2009-01-01,103,103
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2009-01-01,65,65
SAN PEDRO,internaciones,ingresos espontaneos,2009-01-01,51,51
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2009-01-01,4,4
SAN PEDRO DE CURAHUARA,internaciones,ingresos espontaneos,2009-01-01,2,2
SAN PEDRO DE TIQUINA,internaciones,ingresos espontaneos,2009-01-01,3,3
