municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACACIO,internaciones,dias camas ocupadas otros servicios,2009-01-01,5,5
ACHACACHI,internaciones,dias camas ocupadas otros servicios,2009-01-01,210,210
AIQUILE,internaciones,dias camas ocupadas otros servicios,2009-01-01,259,259
ALCALA,internaciones,dias camas ocupadas otros servicios,2009-01-01,5,5
ANCORAIMES,internaciones,dias camas ocupadas otros servicios,2009-01-01,3,3
APOLO,internaciones,dias camas ocupadas otros servicios,2009-01-01,43,43
ARANI,internaciones,dias camas ocupadas otros servicios,2009-01-01,2,2
ARQUE,internaciones,dias camas ocupadas otros servicios,2009-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas otros servicios,2009-01-01,472,472
ATOCHA,internaciones,dias camas ocupadas otros servicios,2009-01-01,63,63
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas otros servicios,2009-01-01,32,32
AZURDUY,internaciones,dias camas ocupadas otros servicios,2009-01-01,4,4
BATALLAS,internaciones,dias camas ocupadas otros servicios,2009-01-01,10,10
BAURES,internaciones,dias camas ocupadas otros servicios,2009-01-01,59,59
BERMEJO,internaciones,dias camas ocupadas otros servicios,2009-01-01,647,647
BETANZOS,internaciones,dias camas ocupadas otros servicios,2009-01-01,13,13
BOYUIBE,internaciones,dias camas ocupadas otros servicios,2009-01-01,118,118
BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2009-01-01,113,113
CABEZAS,internaciones,dias camas ocupadas otros servicios,2009-01-01,81,81
CAJUATA,internaciones,dias camas ocupadas otros servicios,2009-01-01,8,8
CAMARGO,internaciones,dias camas ocupadas otros servicios,2009-01-01,496,496
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas otros servicios,2009-01-01,8,8
CAMIRI,internaciones,dias camas ocupadas otros servicios,2009-01-01,1529,1529
CAPINOTA,internaciones,dias camas ocupadas otros servicios,2009-01-01,66,66
CARACOLLO,internaciones,dias camas ocupadas otros servicios,2009-01-01,25,25
CARANAVI,internaciones,dias camas ocupadas otros servicios,2009-01-01,981,981
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas otros servicios,2009-01-01,29,29
CHALLAPATA,internaciones,dias camas ocupadas otros servicios,2009-01-01,202,202
CHARAGUA,internaciones,dias camas ocupadas otros servicios,2009-01-01,257,257
CHAYANTA,internaciones,dias camas ocupadas otros servicios,2009-01-01,24,24
