municipality,group,variable,month,Ingresos referidos de otros establecimientos,TOTAL
ACHACACHI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2009-01-01,5,5
APOLO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,18,18
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2009-01-01,10,10
BATALLAS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,4,4
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,11,11
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,16,16
CAPINOTA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
CARACOLLO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,18,18
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,3,3
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
COBIJA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,57,57
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,40,40
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,10,10
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2009-01-01,3,3
COROICO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,14,14
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
COTOCA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,30,30
CULPINA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,7,7
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,205,205
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,5,5
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
GUANAY,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2009-01-01,25,25
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
HUACHACALLA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
INCAHUASI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1805,1805
LAS CARRERAS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,9,9
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,13,13
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,6,6
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,7,7
MAPIRI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,18,18
MONTERO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,109,109
MOROCHATA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
OCURI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
OMEREQUE,internaciones,ingresos referidos de otros establecimientos,2009-01-01,5,5
ORURO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,109,109
PADILLA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,21,21
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,4,4
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
POCOATA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
POCONA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
POJO (CBBA),internaciones,ingresos referidos de otros establecimientos,2009-01-01,3,3
POROMA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,4,4
POTOSI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,23,23
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,14,14
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2009-01-01,7,7
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2009-01-01,21,21
PUNA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
PUNATA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,40,40
