municipality,group,variable,month,Viviendas evaluadas,TOTAL
AIQUILE,chagas,viviendas evaluadas,2007-01-01,446,446
ANZALDO,chagas,viviendas evaluadas,2007-01-01,452,452
APOLO,chagas,viviendas evaluadas,2007-01-01,1392,1392
ARANI,chagas,viviendas evaluadas,2007-01-01,54,54
ARBIETO,chagas,viviendas evaluadas,2007-01-01,1,1
AYATA,chagas,viviendas evaluadas,2007-01-01,406,406
BOYUIBE,chagas,viviendas evaluadas,2007-01-01,25,25
CARANAVI,chagas,viviendas evaluadas,2007-01-01,1008,1008
COCHABAMBA,chagas,viviendas evaluadas,2007-01-01,104,104
EL PUENTE(TJA),chagas,viviendas evaluadas,2007-01-01,285,285
EL TORNO,chagas,viviendas evaluadas,2007-01-01,42,42
GRAL. J.J. PEREZ (CHARAZANI),chagas,viviendas evaluadas,2007-01-01,486,486
LA GUARDIA,chagas,viviendas evaluadas,2007-01-01,2,2
MIZQUE,chagas,viviendas evaluadas,2007-01-01,687,687
MORO MORO,chagas,viviendas evaluadas,2007-01-01,41,41
OMEREQUE,chagas,viviendas evaluadas,2007-01-01,229,229
PADCAYA,chagas,viviendas evaluadas,2007-01-01,558,558
PADILLA,chagas,viviendas evaluadas,2007-01-01,5,5
POJO (CBBA),chagas,viviendas evaluadas,2007-01-01,271,271
PORONGO,chagas,viviendas evaluadas,2007-01-01,1,1
QUILLACOLLO,chagas,viviendas evaluadas,2007-01-01,614,614
SACABA,chagas,viviendas evaluadas,2007-01-01,345,345
SAN LORENZO(TJA),chagas,viviendas evaluadas,2007-01-01,326,326
SIPE SIPE,chagas,viviendas evaluadas,2007-01-01,358,358
TAPACARI,chagas,viviendas evaluadas,2007-01-01,334,334
TARIJA,chagas,viviendas evaluadas,2007-01-01,642,642
TIQUIPAYA,chagas,viviendas evaluadas,2007-01-01,387,387
TOTORA(CBBA),chagas,viviendas evaluadas,2007-01-01,225,225
