municipality,group,variable,month,Viviendas positivas,TOTAL
AIQUILE,chagas,viviendas positivas,2007-01-01,46,46
APOLO,chagas,viviendas positivas,2007-01-01,10,10
ARBIETO,chagas,viviendas positivas,2007-01-01,1,1
AYATA,chagas,viviendas positivas,2007-01-01,1,1
BOYUIBE,chagas,viviendas positivas,2007-01-01,25,25
CARANAVI,chagas,viviendas positivas,2007-01-01,1,1
COCHABAMBA,chagas,viviendas positivas,2007-01-01,11,11
EL PUENTE(TJA),chagas,viviendas positivas,2007-01-01,5,5
MIZQUE,chagas,viviendas positivas,2007-01-01,40,40
MORO MORO,chagas,viviendas positivas,2007-01-01,1,1
OMEREQUE,chagas,viviendas positivas,2007-01-01,7,7
POJO (CBBA),chagas,viviendas positivas,2007-01-01,6,6
PUCARA,chagas,viviendas positivas,2007-01-01,2,2
QUILLACOLLO,chagas,viviendas positivas,2007-01-01,3,3
SACABA,chagas,viviendas positivas,2007-01-01,14,14
SAN LORENZO(TJA),chagas,viviendas positivas,2007-01-01,18,18
SIPE SIPE,chagas,viviendas positivas,2007-01-01,2,2
TAPACARI,chagas,viviendas positivas,2007-01-01,1,1
TARIJA,chagas,viviendas positivas,2007-01-01,7,7
TOTORA(CBBA),chagas,viviendas positivas,2007-01-01,5,5
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-01-01,1,1
VINTO,chagas,viviendas positivas,2007-01-01,1,1
AIQUILE,chagas,viviendas positivas,2007-02-01,70,70
ANZALDO,chagas,viviendas positivas,2007-02-01,4,4
CAPINOTA,chagas,viviendas positivas,2007-02-01,2,2
COCHABAMBA,chagas,viviendas positivas,2007-02-01,39,39
COLCAPIRHUA,chagas,viviendas positivas,2007-02-01,1,1
EL PUENTE(TJA),chagas,viviendas positivas,2007-02-01,2,2
LURIBAY,chagas,viviendas positivas,2007-02-01,14,14
MECAPACA,chagas,viviendas positivas,2007-02-01,15,15
MIZQUE,chagas,viviendas positivas,2007-02-01,41,41
MOROCHATA,chagas,viviendas positivas,2007-02-01,13,13
OMEREQUE,chagas,viviendas positivas,2007-02-01,13,13
PADCAYA,chagas,viviendas positivas,2007-02-01,1,1
POCONA,chagas,viviendas positivas,2007-02-01,4,4
POJO (CBBA),chagas,viviendas positivas,2007-02-01,5,5
QUILLACOLLO,chagas,viviendas positivas,2007-02-01,8,8
SACABA,chagas,viviendas positivas,2007-02-01,9,9
SANTIVAÑES,chagas,viviendas positivas,2007-02-01,6,6
SOPACHUY,chagas,viviendas positivas,2007-02-01,9,9
