municipality,group,variable,month,Positivos en el mes niños RN a nueve meses,TOTAL
CARAPARI,chagas,positivos en el mes ninos rn a nueve meses,2007-02-01,1.0,1.0
PADCAYA,chagas,positivos en el mes ninos rn a nueve meses,2007-03-01,1.0,1.0
BERMEJO,chagas,positivos en el mes ninos rn a nueve meses,2007-04-01,1.0,1.0
CAMARGO,chagas,positivos en el mes ninos rn a nueve meses,2007-04-01,1.0,1.0
SANTIVAÑES,chagas,positivos en el mes ninos rn a nueve meses,2007-04-01,4.0,4.0
AIQUILE,chagas,positivos en el mes ninos rn a nueve meses,2007-06-01,1.0,1.0
MONTEAGUDO,chagas,positivos en el mes ninos rn a nueve meses,2007-06-01,1.0,1.0
PUNA,chagas,positivos en el mes ninos rn a nueve meses,2007-06-01,1.0,1.0
YACUIBA,chagas,positivos en el mes ninos rn a nueve meses,2007-06-01,1.0,1.0
VINTO,chagas,positivos en el mes ninos rn a nueve meses,2007-07-01,1.0,1.0
YACUIBA,chagas,positivos en el mes ninos rn a nueve meses,2007-07-01,1.0,1.0
ZUDAÑEZ,chagas,positivos en el mes ninos rn a nueve meses,2007-07-01,1.0,1.0
AIQUILE,chagas,positivos en el mes ninos rn a nueve meses,2007-08-01,1.0,1.0
MIZQUE,chagas,positivos en el mes ninos rn a nueve meses,2007-08-01,2.0,2.0
VILLA TUNARI,chagas,positivos en el mes ninos rn a nueve meses,2007-08-01,2.0,2.0
YACUIBA,chagas,positivos en el mes ninos rn a nueve meses,2007-08-01,3.0,3.0
MONTEAGUDO,chagas,positivos en el mes ninos rn a nueve meses,2007-09-01,2.0,2.0
MONTEAGUDO,chagas,positivos en el mes ninos rn a nueve meses,2007-10-01,2.0,2.0
CAMARGO,chagas,positivos en el mes ninos rn a nueve meses,2007-11-01,2.0,2.0
CLIZA,chagas,positivos en el mes ninos rn a nueve meses,2007-11-01,1.0,1.0
AIQUILE,chagas,positivos en el mes ninos rn a nueve meses,2007-12-01,1.0,1.0
COCHABAMBA,chagas,positivos en el mes ninos rn a nueve meses,2007-12-01,1.0,1.0
PORONGO,chagas,positivos en el mes ninos rn a nueve meses,2007-12-01,2.0,2.0
