municipality,group,variable,month,Positivos en el mes niños menores de 5 años,TOTAL
CABEZAS,chagas,positivos en el mes ninos menores de 5 anos,2007-01-01,74,74
COCHABAMBA,chagas,positivos en el mes ninos menores de 5 anos,2007-01-01,1,1
MONTEAGUDO,chagas,positivos en el mes ninos menores de 5 anos,2007-01-01,1,1
PADCAYA,chagas,positivos en el mes ninos menores de 5 anos,2007-01-01,1,1
PADILLA,chagas,positivos en el mes ninos menores de 5 anos,2007-01-01,4,4
PRESTO,chagas,positivos en el mes ninos menores de 5 anos,2007-01-01,6,6
YUNCHARA,chagas,positivos en el mes ninos menores de 5 anos,2007-01-01,12,12
BERMEJO,chagas,positivos en el mes ninos menores de 5 anos,2007-02-01,4,4
CABEZAS,chagas,positivos en el mes ninos menores de 5 anos,2007-02-01,30,30
PRESTO,chagas,positivos en el mes ninos menores de 5 anos,2007-02-01,2,2
TARATA,chagas,positivos en el mes ninos menores de 5 anos,2007-02-01,16,16
TOMINA,chagas,positivos en el mes ninos menores de 5 anos,2007-02-01,29,29
ZUDAÑEZ,chagas,positivos en el mes ninos menores de 5 anos,2007-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),chagas,positivos en el mes ninos menores de 5 anos,2007-03-01,22,22
CLIZA,chagas,positivos en el mes ninos menores de 5 anos,2007-03-01,1,1
MIZQUE,chagas,positivos en el mes ninos menores de 5 anos,2007-03-01,1,1
PADCAYA,chagas,positivos en el mes ninos menores de 5 anos,2007-03-01,1,1
PADILLA,chagas,positivos en el mes ninos menores de 5 anos,2007-03-01,6,6
QUILLACOLLO,chagas,positivos en el mes ninos menores de 5 anos,2007-03-01,10,10
IRUPANA (VILLA DE LANZA),chagas,positivos en el mes ninos menores de 5 anos,2007-04-01,12,12
MAIRANA,chagas,positivos en el mes ninos menores de 5 anos,2007-04-01,1,1
MIZQUE,chagas,positivos en el mes ninos menores de 5 anos,2007-04-01,3,3
PADILLA,chagas,positivos en el mes ninos menores de 5 anos,2007-04-01,1,1
PRESTO,chagas,positivos en el mes ninos menores de 5 anos,2007-04-01,14,14
QUILLACOLLO,chagas,positivos en el mes ninos menores de 5 anos,2007-04-01,2,2
SAN LUCAS,chagas,positivos en el mes ninos menores de 5 anos,2007-04-01,1,1
AIQUILE,chagas,positivos en el mes ninos menores de 5 anos,2007-05-01,2,2
