municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
ACHACACHI,internaciones,dias camas disponibles otros servicios,2008-01-01,280,280
AIQUILE,internaciones,dias camas disponibles otros servicios,2008-01-01,1333,1333
ALALAY,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
ALCALA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
ANCORAIMES,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
ANDAMARCA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
ANTEQUERA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
ANZALDO,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
APOLO,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
ARAMPAMPA,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
ARANI,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
ARBIETO,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
ARQUE,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles otros servicios,2008-01-01,1082,1082
ATOCHA,internaciones,dias camas disponibles otros servicios,2008-01-01,1302,1302
AYATA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles otros servicios,2008-01-01,1054,1054
AZURDUY,internaciones,dias camas disponibles otros servicios,2008-01-01,372,372
BAURES,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
BERMEJO,internaciones,dias camas disponibles otros servicios,2008-01-01,867,867
BETANZOS,internaciones,dias camas disponibles otros servicios,2008-01-01,434,434
BOLIVAR,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
BOYUIBE,internaciones,dias camas disponibles otros servicios,2008-01-01,341,341
BUENA VISTA,internaciones,dias camas disponibles otros servicios,2008-01-01,618,618
CABEZAS,internaciones,dias camas disponibles otros servicios,2008-01-01,310,310
CAIROMA,internaciones,dias camas disponibles otros servicios,2008-01-01,90,90
"CAIZA ""D""",internaciones,dias camas disponibles otros servicios,2008-01-01,216,216
CAJUATA,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
CAMARGO,internaciones,dias camas disponibles otros servicios,2008-01-01,2046,2046
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
CAMIRI,internaciones,dias camas disponibles otros servicios,2008-01-01,2449,2449
CAPINOTA,internaciones,dias camas disponibles otros servicios,2008-01-01,434,434
CARACOLLO,internaciones,dias camas disponibles otros servicios,2008-01-01,184,184
CARANAVI,internaciones,dias camas disponibles otros servicios,2008-01-01,1147,1147
CARMEN RIVERO TORREZ,internaciones,dias camas disponibles otros servicios,2008-01-01,37,37
CHALLAPATA,internaciones,dias camas disponibles otros servicios,2008-01-01,558,558
CHAQUI,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
CHARAGUA,internaciones,dias camas disponibles otros servicios,2008-01-01,728,728
CHAYANTA,internaciones,dias camas disponibles otros servicios,2008-01-01,127,127
CHIMORE,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas disponibles otros servicios,2008-01-01,868,868
CHUMA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
CLIZA,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
COBIJA,internaciones,dias camas disponibles otros servicios,2008-01-01,1942,1942
COCHABAMBA,internaciones,dias camas disponibles otros servicios,2008-01-01,48825,48825
COLCAPIRHUA,internaciones,dias camas disponibles otros servicios,2008-01-01,1178,1178
"COLCHA ""K""",internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
COLOMI,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
COLPA BELGICA,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
COLQUENCHA,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
COLQUIRI,internaciones,dias camas disponibles otros servicios,2008-01-01,217,217
COMARAPA,internaciones,dias camas disponibles otros servicios,2008-01-01,713,713
CONCEPCION,internaciones,dias camas disponibles otros servicios,2008-01-01,310,310
COPACABANA,internaciones,dias camas disponibles otros servicios,2008-01-01,186,186
CORIPATA,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
COROICO,internaciones,dias camas disponibles otros servicios,2008-01-01,992,992
COTAGAITA,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
COTOCA,internaciones,dias camas disponibles otros servicios,2008-01-01,651,651
CUATRO CAÑADAS,internaciones,dias camas disponibles otros servicios,2008-01-01,372,372
CUEVO,internaciones,dias camas disponibles otros servicios,2008-01-01,186,186
CULPINA,internaciones,dias camas disponibles otros servicios,2008-01-01,496,496
CURAHUARA DE CARANGAS,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
DESAGUADERO,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
EL ALTO,internaciones,dias camas disponibles otros servicios,2008-01-01,12989,12989
EL PUENTE(STC),internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
EL PUENTE(TJA),internaciones,dias camas disponibles otros servicios,2008-01-01,60,60
EL TORNO,internaciones,dias camas disponibles otros servicios,2008-01-01,1705,1705
EL VILLAR,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
ENTRE RIOS,internaciones,dias camas disponibles otros servicios,2008-01-01,185,185
EUCALIPTUS,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
EXALTACION,internaciones,dias camas disponibles otros servicios,2008-01-01,91,91
FERNANDEZ ALONSO,internaciones,dias camas disponibles otros servicios,2008-01-01,1581,1581
GENERAL SAAVEDRA,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
GUANAY,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
GUAYARAMERIN,internaciones,dias camas disponibles otros servicios,2008-01-01,1449,1449
GUTIERREZ,internaciones,dias camas disponibles otros servicios,2008-01-01,640,640
HUACARETA,internaciones,dias camas disponibles otros servicios,2008-01-01,496,496
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
HUACHACALLA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
HUANUNI,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
HUARACAJE,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
HUAYLLAMARCA,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
ICLA,internaciones,dias camas disponibles otros servicios,2008-01-01,270,270
INCAHUASI,internaciones,dias camas disponibles otros servicios,2008-01-01,183,183
INQUISIVI,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
IRUPANA (VILLA DE LANZA),internaciones,dias camas disponibles otros servicios,2008-01-01,372,372
IXIAMAS,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
JESUS DE MACHACA,internaciones,dias camas disponibles otros servicios,2008-01-01,92,92
LA ASUNTA,internaciones,dias camas disponibles otros servicios,2008-01-01,236,236
LA GUARDIA,internaciones,dias camas disponibles otros servicios,2008-01-01,930,930
LA PAZ,internaciones,dias camas disponibles otros servicios,2008-01-01,64883,64883
LAGUNILLAS,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
LLALLAGUA,internaciones,dias camas disponibles otros servicios,2008-01-01,1023,1023
LLICA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
LURIBAY,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
MACHACAMARCA,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
MACHARETI,internaciones,dias camas disponibles otros servicios,2008-01-01,527,527
MAGDALENA,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
MAIRANA,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
MAPIRI,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
MINEROS,internaciones,dias camas disponibles otros servicios,2008-01-01,279,279
MIZQUE,internaciones,dias camas disponibles otros servicios,2008-01-01,743,743
MOJOCOYA,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
MONTEAGUDO,internaciones,dias camas disponibles otros servicios,2008-01-01,1240,1240
MONTERO,internaciones,dias camas disponibles otros servicios,2008-01-01,1922,1922
MORO MORO,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
MOROCHATA,internaciones,dias camas disponibles otros servicios,2008-01-01,341,341
NACEBE (SANTA ROSA DEL ABUNA),internaciones,dias camas disponibles otros servicios,2008-01-01,61,61
OCURI,internaciones,dias camas disponibles otros servicios,2008-01-01,450,450
OMEREQUE,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
ORURO,internaciones,dias camas disponibles otros servicios,2008-01-01,12451,12451
PADILLA,internaciones,dias camas disponibles otros servicios,2008-01-01,434,434
PAILON,internaciones,dias camas disponibles otros servicios,2008-01-01,269,269
PALOS BLANCOS,internaciones,dias camas disponibles otros servicios,2008-01-01,372,372
PAMPA GRANDE,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
PASORAPA,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
PATACAMAYA,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
PAZÑA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
POCOATA,internaciones,dias camas disponibles otros servicios,2008-01-01,57,57
POCONA,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
POJO (CBBA),internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
POROMA,internaciones,dias camas disponibles otros servicios,2008-01-01,463,463
PORONGO,internaciones,dias camas disponibles otros servicios,2008-01-01,279,279
PORTACHUELO,internaciones,dias camas disponibles otros servicios,2008-01-01,1209,1209
POSTRER VALLE,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
POTOSI,internaciones,dias camas disponibles otros servicios,2008-01-01,7688,7688
PRESTO,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
PUCARA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
PUCARANI,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
PUERTO ACOSTA,internaciones,dias camas disponibles otros servicios,2008-01-01,465,465
PUERTO CARABUCO,internaciones,dias camas disponibles otros servicios,2008-01-01,247,247
PUERTO QUIJARRO,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
PUERTO RICO,internaciones,dias camas disponibles otros servicios,2008-01-01,360,360
PUERTO SUAREZ,internaciones,dias camas disponibles otros servicios,2008-01-01,620,620
PUERTO VILLARROEL,internaciones,dias camas disponibles otros servicios,2008-01-01,1023,1023
PUNA,internaciones,dias camas disponibles otros servicios,2008-01-01,279,279
PUNATA,internaciones,dias camas disponibles otros servicios,2008-01-01,899,899
QUILLACOLLO,internaciones,dias camas disponibles otros servicios,2008-01-01,868,868
QUIME,internaciones,dias camas disponibles otros servicios,2008-01-01,279,279
QUIRUSILLAS,internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
RAVELO,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
REYES,internaciones,dias camas disponibles otros servicios,2008-01-01,186,186
RIBERALTA,internaciones,dias camas disponibles otros servicios,2008-01-01,2263,2263
ROBORE,internaciones,dias camas disponibles otros servicios,2008-01-01,1402,1402
RURRENABAQUE,internaciones,dias camas disponibles otros servicios,2008-01-01,403,403
SACABA,internaciones,dias camas disponibles otros servicios,2008-01-01,2046,2046
SACABAMBA,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
SACACA,internaciones,dias camas disponibles otros servicios,2008-01-01,310,310
SAIPINA,internaciones,dias camas disponibles otros servicios,2008-01-01,202,202
SALINAS DE GARCI MENDOZA,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
SAMAIPATA,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
SAN ANTONIO DE LOMERIO,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
SAN BENITO,internaciones,dias camas disponibles otros servicios,2008-01-01,62,62
SAN BORJA,internaciones,dias camas disponibles otros servicios,2008-01-01,496,496
SAN BUENA VENTURA,internaciones,dias camas disponibles otros servicios,2008-01-01,217,217
SAN CARLOS,internaciones,dias camas disponibles otros servicios,2008-01-01,992,992
SAN IGNACIO,internaciones,dias camas disponibles otros servicios,2008-01-01,620,620
SAN IGNACIO DE VELASCO,internaciones,dias camas disponibles otros servicios,2008-01-01,2759,2759
SAN JAVIER(STC),internaciones,dias camas disponibles otros servicios,2008-01-01,310,310
SAN JOAQUIN,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones,dias camas disponibles otros servicios,2008-01-01,744,744
SAN JUAN DE YAPACANI,internaciones,dias camas disponibles otros servicios,2008-01-01,552,552
SAN JULIAN,internaciones,dias camas disponibles otros servicios,2008-01-01,1116,1116
SAN LORENZO(TJA),internaciones,dias camas disponibles otros servicios,2008-01-01,31,31
SAN LUCAS,internaciones,dias camas disponibles otros servicios,2008-01-01,558,558
SAN MATIAS,internaciones,dias camas disponibles otros servicios,2008-01-01,744,744
SAN MIGUEL DE VELASCO,internaciones,dias camas disponibles otros servicios,2008-01-01,217,217
SAN PEDRO,internaciones,dias camas disponibles otros servicios,2008-01-01,403,403
SAN PEDRO DE BUENA VISTA,internaciones,dias camas disponibles otros servicios,2008-01-01,155,155
SAN RAFAEL,internaciones,dias camas disponibles otros servicios,2008-01-01,248,248
SAN RAMON,internaciones,dias camas disponibles otros servicios,2008-01-01,279,279
SAN RAMON,internaciones,dias camas disponibles otros servicios,2008-01-01,124,124
SANTA ANA,internaciones,dias camas disponibles otros servicios,2008-01-01,403,403
SANTA CRUZ DE LA SIERRA,internaciones,dias camas disponibles otros servicios,2008-01-01,36783,36783
SANTA ROSA,internaciones,dias camas disponibles otros servicios,2008-01-01,186,186
SANTA ROSA DEL SARA,internaciones,dias camas disponibles otros servicios,2008-01-01,310,310
SANTIAGO DE HUARI,internaciones,dias camas disponibles otros servicios,2008-01-01,93,93
