municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones,dias camas disponibles maternidad,2008-01-01,31,31
ACHACACHI,internaciones,dias camas disponibles maternidad,2008-01-01,217,217
ACHOCALLA,internaciones,dias camas disponibles maternidad,2008-01-01,62,62
AIQUILE,internaciones,dias camas disponibles maternidad,2008-01-01,371,371
ALALAY,internaciones,dias camas disponibles maternidad,2008-01-01,279,279
ALCALA,internaciones,dias camas disponibles maternidad,2008-01-01,124,124
ANCORAIMES,internaciones,dias camas disponibles maternidad,2008-01-01,31,31
ANDAMARCA,internaciones,dias camas disponibles maternidad,2008-01-01,60,60
ANTEQUERA,internaciones,dias camas disponibles maternidad,2008-01-01,31,31
ANZALDO,internaciones,dias camas disponibles maternidad,2008-01-01,62,62
APOLO,internaciones,dias camas disponibles maternidad,2008-01-01,155,155
ARAMPAMPA,internaciones,dias camas disponibles maternidad,2008-01-01,31,31
ARANI,internaciones,dias camas disponibles maternidad,2008-01-01,217,217
ARBIETO,internaciones,dias camas disponibles maternidad,2008-01-01,123,123
ARQUE,internaciones,dias camas disponibles maternidad,2008-01-01,124,124
ASCENCION DE GUARAYOS,internaciones,dias camas disponibles maternidad,2008-01-01,279,279
ATOCHA,internaciones,dias camas disponibles maternidad,2008-01-01,434,434
AYATA,internaciones,dias camas disponibles maternidad,2008-01-01,62,62
AYO AYO,internaciones,dias camas disponibles maternidad,2008-01-01,155,155
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas disponibles maternidad,2008-01-01,651,651
AZURDUY,internaciones,dias camas disponibles maternidad,2008-01-01,360,360
BAURES,internaciones,dias camas disponibles maternidad,2008-01-01,62,62
BERMEJO,internaciones,dias camas disponibles maternidad,2008-01-01,395,395
BETANZOS,internaciones,dias camas disponibles maternidad,2008-01-01,434,434
BOLIVAR,internaciones,dias camas disponibles maternidad,2008-01-01,155,155
BOYUIBE,internaciones,dias camas disponibles maternidad,2008-01-01,124,124
BUENA VISTA,internaciones,dias camas disponibles maternidad,2008-01-01,429,429
CABEZAS,internaciones,dias camas disponibles maternidad,2008-01-01,124,124
CAIROMA,internaciones,dias camas disponibles maternidad,2008-01-01,62,62
"CAIZA ""D""",internaciones,dias camas disponibles maternidad,2008-01-01,216,216
CAJUATA,internaciones,dias camas disponibles maternidad,2008-01-01,93,93
