municipality,group,variable,month,Ingresos referidos de otros establecim,TOTAL
ACACIO,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-01-01,4,4
ALALAY,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
ANDAMARCA,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
APOLO,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
ARANI,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-01-01,6,6
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-01-01,8,8
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-01-01,4,4
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-01-01,39,39
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-01-01,7,7
CARACOLLO,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-01-01,18,18
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
COBIJA,internaciones,ingresos referidos de otros establecim,2008-01-01,96,96
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-01-01,49,49
COLCAPIRHUA,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
COROICO,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
COTOCA,internaciones,ingresos referidos de otros establecim,2008-01-01,9,9
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-01-01,234,234
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
ENTRE RIOS,internaciones,ingresos referidos de otros establecim,2008-01-01,12,12
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-01-01,12,12
GUTIERREZ,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
HUACARETA,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
HUACHACALLA,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-01-01,1731,1731
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-01-01,11,11
MACHARETI,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-01-01,6,6
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
MAPIRI,internaciones,ingresos referidos de otros establecim,2008-01-01,4,4
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-01-01,13,13
MONTERO,internaciones,ingresos referidos de otros establecim,2008-01-01,77,77
OCURI,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
OMEREQUE,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
ORURO,internaciones,ingresos referidos de otros establecim,2008-01-01,114,114
PADILLA,internaciones,ingresos referidos de otros establecim,2008-01-01,20,20
PAILON,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-01-01,7,7
POJO (CBBA),internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
POOPO,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-01-01,6,6
POTOSI,internaciones,ingresos referidos de otros establecim,2008-01-01,45,45
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-01-01,8,8
