municipality,group,variable,month,Egresos,TOTAL
ACHACACHI,internaciones,egresos,2008-01-01,49,49
ACHOCALLA,internaciones,egresos,2008-01-01,5,5
AIQUILE,internaciones,egresos,2008-01-01,107,107
ALALAY,internaciones,egresos,2008-01-01,1,1
ALCALA,internaciones,egresos,2008-01-01,7,7
ANCORAIMES,internaciones,egresos,2008-01-01,2,2
ANDAMARCA,internaciones,egresos,2008-01-01,1,1
ANTEQUERA,internaciones,egresos,2008-01-01,2,2
ANZALDO,internaciones,egresos,2008-01-01,4,4
APOLO,internaciones,egresos,2008-01-01,23,23
ARAMPAMPA,internaciones,egresos,2008-01-01,2,2
ARANI,internaciones,egresos,2008-01-01,7,7
ARQUE,internaciones,egresos,2008-01-01,4,4
ASCENCION DE GUARAYOS,internaciones,egresos,2008-01-01,166,166
ATOCHA,internaciones,egresos,2008-01-01,182,182
AYATA,internaciones,egresos,2008-01-01,1,1
AYO AYO,internaciones,egresos,2008-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2008-01-01,57,57
AZURDUY,internaciones,egresos,2008-01-01,14,14
BAURES,internaciones,egresos,2008-01-01,10,10
BERMEJO,internaciones,egresos,2008-01-01,246,246
BETANZOS,internaciones,egresos,2008-01-01,44,44
BOLIVAR,internaciones,egresos,2008-01-01,1,1
BOYUIBE,internaciones,egresos,2008-01-01,33,33
BUENA VISTA,internaciones,egresos,2008-01-01,27,27
CABEZAS,internaciones,egresos,2008-01-01,24,24
CAIROMA,internaciones,egresos,2008-01-01,3,3
"CAIZA ""D""",internaciones,egresos,2008-01-01,1,1
CAJUATA,internaciones,egresos,2008-01-01,8,8
CALAMARCA,internaciones,egresos,2008-01-01,2,2
CAMARGO,internaciones,egresos,2008-01-01,192,192
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2008-01-01,8,8
CAMIRI,internaciones,egresos,2008-01-01,385,385
CAPINOTA,internaciones,egresos,2008-01-01,64,64
CAQUIAVIRI,internaciones,egresos,2008-01-01,1,1
CARACOLLO,internaciones,egresos,2008-01-01,32,32
CARANAVI,internaciones,egresos,2008-01-01,156,156
CARMEN RIVERO TORREZ,internaciones,egresos,2008-01-01,16,16
CHALLAPATA,internaciones,egresos,2008-01-01,75,75
CHARAGUA,internaciones,egresos,2008-01-01,115,115
CHARAÑA,internaciones,egresos,2008-01-01,4,4
CHIMORE,internaciones,egresos,2008-01-01,17,17
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2008-01-01,116,116
CHUMA,internaciones,egresos,2008-01-01,2,2
CLIZA,internaciones,egresos,2008-01-01,35,35
COBIJA,internaciones,egresos,2008-01-01,358,358
COCHABAMBA,internaciones,egresos,2008-01-01,6534,6534
COLCAPIRHUA,internaciones,egresos,2008-01-01,111,111
"COLCHA ""K""",internaciones,egresos,2008-01-01,1,1
COLLANA,internaciones,egresos,2008-01-01,2,2
COLOMI,internaciones,egresos,2008-01-01,34,34
COLPA BELGICA,internaciones,egresos,2008-01-01,20,20
COLQUENCHA,internaciones,egresos,2008-01-01,8,8
COLQUIRI,internaciones,egresos,2008-01-01,19,19
COMARAPA,internaciones,egresos,2008-01-01,79,79
CONCEPCION,internaciones,egresos,2008-01-01,66,66
COPACABANA,internaciones,egresos,2008-01-01,25,25
CORIPATA,internaciones,egresos,2008-01-01,22,22
COROICO,internaciones,egresos,2008-01-01,60,60
COTAGAITA,internaciones,egresos,2008-01-01,21,21
COTOCA,internaciones,egresos,2008-01-01,140,140
CUATRO CAÑADAS,internaciones,egresos,2008-01-01,63,63
CUEVO,internaciones,egresos,2008-01-01,6,6
CULPINA,internaciones,egresos,2008-01-01,27,27
CURAHUARA DE CARANGAS,internaciones,egresos,2008-01-01,15,15
DESAGUADERO,internaciones,egresos,2008-01-01,9,9
EL ALTO,internaciones,egresos,2008-01-01,3032,3032
EL CHORO,internaciones,egresos,2008-01-01,1,1
EL PUENTE(STC),internaciones,egresos,2008-01-01,8,8
EL TORNO,internaciones,egresos,2008-01-01,158,158
EL VILLAR,internaciones,egresos,2008-01-01,7,7
ENTRE RIOS,internaciones,egresos,2008-01-01,27,27
ENTRE RIOS,internaciones,egresos,2008-01-01,23,23
EUCALIPTUS,internaciones,egresos,2008-01-01,4,4
FERNANDEZ ALONSO,internaciones,egresos,2008-01-01,41,41
GENERAL SAAVEDRA,internaciones,egresos,2008-01-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2008-01-01,1,1
GUANAY,internaciones,egresos,2008-01-01,30,30
GUAQUI,internaciones,egresos,2008-01-01,2,2
GUAYARAMERIN,internaciones,egresos,2008-01-01,491,491
GUTIERREZ,internaciones,egresos,2008-01-01,35,35
HUACARETA,internaciones,egresos,2008-01-01,17,17
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2008-01-01,2,2
HUACHACALLA,internaciones,egresos,2008-01-01,13,13
HUANUNI,internaciones,egresos,2008-01-01,64,64
HUARACAJE,internaciones,egresos,2008-01-01,12,12
ICLA,internaciones,egresos,2008-01-01,1,1
INCAHUASI,internaciones,egresos,2008-01-01,14,14
