municipality,group,variable,month,0 Contrareferidos,TOTAL
ALALAY,internaciones,contrareferidos,2008-01-01,1,1
ANDAMARCA,internaciones,contrareferidos,2008-01-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-01-01,2,2
ATOCHA,internaciones,contrareferidos,2008-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2008-01-01,3,3
BOLIVAR,internaciones,contrareferidos,2008-01-01,3,3
BUENA VISTA,internaciones,contrareferidos,2008-01-01,2,2
CAMIRI,internaciones,contrareferidos,2008-01-01,3,3
CAPINOTA,internaciones,contrareferidos,2008-01-01,1,1
COBIJA,internaciones,contrareferidos,2008-01-01,32,32
COCHABAMBA,internaciones,contrareferidos,2008-01-01,3,3
COPACABANA,internaciones,contrareferidos,2008-01-01,5,5
COTAGAITA,internaciones,contrareferidos,2008-01-01,2,2
CURAHUARA DE CARANGAS,internaciones,contrareferidos,2008-01-01,1,1
EL ALTO,internaciones,contrareferidos,2008-01-01,118,118
EL PUENTE(TJA),internaciones,contrareferidos,2008-01-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2008-01-01,7,7
GUTIERREZ,internaciones,contrareferidos,2008-01-01,1,1
INCAHUASI,internaciones,contrareferidos,2008-01-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2008-01-01,2,2
LA GUARDIA,internaciones,contrareferidos,2008-01-01,2,2
LA PAZ,internaciones,contrareferidos,2008-01-01,75,75
MACHARETI,internaciones,contrareferidos,2008-01-01,2,2
MONTEAGUDO,internaciones,contrareferidos,2008-01-01,2,2
MONTERO,internaciones,contrareferidos,2008-01-01,12,12
OMEREQUE,internaciones,contrareferidos,2008-01-01,1,1
ORURO,internaciones,contrareferidos,2008-01-01,735,735
POTOSI,internaciones,contrareferidos,2008-01-01,29,29
PUERTO QUIJARRO,internaciones,contrareferidos,2008-01-01,186,186
PUERTO SUAREZ,internaciones,contrareferidos,2008-01-01,3,3
RIBERALTA,internaciones,contrareferidos,2008-01-01,58,58
RURRENABAQUE,internaciones,contrareferidos,2008-01-01,2,2
SACACA,internaciones,contrareferidos,2008-01-01,2,2
SAN CARLOS,internaciones,contrareferidos,2008-01-01,14,14
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-01-01,6,6
SAN JUAN DE YAPACANI,internaciones,contrareferidos,2008-01-01,1,1
SAN LUCAS,internaciones,contrareferidos,2008-01-01,1,1
SAN MATIAS,internaciones,contrareferidos,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-01-01,180,180
SUCRE,internaciones,contrareferidos,2008-01-01,6,6
