municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACACIO,internaciones,dias camas ocupadas otros servicios,2008-01-01,5,5
ACHACACHI,internaciones,dias camas ocupadas otros servicios,2008-01-01,49,49
AIQUILE,internaciones,dias camas ocupadas otros servicios,2008-01-01,255,255
ALALAY,internaciones,dias camas ocupadas otros servicios,2008-01-01,4,4
ALCALA,internaciones,dias camas ocupadas otros servicios,2008-01-01,22,22
ANCORAIMES,internaciones,dias camas ocupadas otros servicios,2008-01-01,1,1
ANTEQUERA,internaciones,dias camas ocupadas otros servicios,2008-01-01,3,3
ANZALDO,internaciones,dias camas ocupadas otros servicios,2008-01-01,1,1
APOLO,internaciones,dias camas ocupadas otros servicios,2008-01-01,18,18
ARANI,internaciones,dias camas ocupadas otros servicios,2008-01-01,2,2
ARQUE,internaciones,dias camas ocupadas otros servicios,2008-01-01,2,2
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas otros servicios,2008-01-01,604,604
ATOCHA,internaciones,dias camas ocupadas otros servicios,2008-01-01,366,366
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas otros servicios,2008-01-01,169,169
AZURDUY,internaciones,dias camas ocupadas otros servicios,2008-01-01,16,16
BAURES,internaciones,dias camas ocupadas otros servicios,2008-01-01,20,20
BERMEJO,internaciones,dias camas ocupadas otros servicios,2008-01-01,654,654
BETANZOS,internaciones,dias camas ocupadas otros servicios,2008-01-01,46,46
BOYUIBE,internaciones,dias camas ocupadas otros servicios,2008-01-01,130,130
BUENA VISTA,internaciones,dias camas ocupadas otros servicios,2008-01-01,67,67
CAJUATA,internaciones,dias camas ocupadas otros servicios,2008-01-01,13,13
CAMARGO,internaciones,dias camas ocupadas otros servicios,2008-01-01,115,115
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas otros servicios,2008-01-01,10,10
CAMIRI,internaciones,dias camas ocupadas otros servicios,2008-01-01,1190,1190
CAPINOTA,internaciones,dias camas ocupadas otros servicios,2008-01-01,75,75
CARACOLLO,internaciones,dias camas ocupadas otros servicios,2008-01-01,21,21
CARANAVI,internaciones,dias camas ocupadas otros servicios,2008-01-01,346,346
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas otros servicios,2008-01-01,28,28
CHALLAPATA,internaciones,dias camas ocupadas otros servicios,2008-01-01,201,201
CHARAGUA,internaciones,dias camas ocupadas otros servicios,2008-01-01,199,199
CHAYANTA,internaciones,dias camas ocupadas otros servicios,2008-01-01,9,9
CHIMORE,internaciones,dias camas ocupadas otros servicios,2008-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas otros servicios,2008-01-01,150,150
CHUMA,internaciones,dias camas ocupadas otros servicios,2008-01-01,4,4
CLIZA,internaciones,dias camas ocupadas otros servicios,2008-01-01,43,43
COBIJA,internaciones,dias camas ocupadas otros servicios,2008-01-01,1101,1101
COCHABAMBA,internaciones,dias camas ocupadas otros servicios,2008-01-01,28321,28321
COLCAPIRHUA,internaciones,dias camas ocupadas otros servicios,2008-01-01,206,206
