municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
ACHACACHI,internaciones,dias camas ocupadas maternidad,2008-01-01,25,25
ACHOCALLA,internaciones,dias camas ocupadas maternidad,2008-01-01,9,9
AIQUILE,internaciones,dias camas ocupadas maternidad,2008-01-01,81,81
ALALAY,internaciones,dias camas ocupadas maternidad,2008-01-01,9,9
ALCALA,internaciones,dias camas ocupadas maternidad,2008-01-01,12,12
ANCORAIMES,internaciones,dias camas ocupadas maternidad,2008-01-01,1,1
ANDAMARCA,internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
ANTEQUERA,internaciones,dias camas ocupadas maternidad,2008-01-01,4,4
ANZALDO,internaciones,dias camas ocupadas maternidad,2008-01-01,3,3
APOLO,internaciones,dias camas ocupadas maternidad,2008-01-01,29,29
ARAMPAMPA,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
ARANI,internaciones,dias camas ocupadas maternidad,2008-01-01,3,3
ARBIETO,internaciones,dias camas ocupadas maternidad,2008-01-01,9,9
ARQUE,internaciones,dias camas ocupadas maternidad,2008-01-01,8,8
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas maternidad,2008-01-01,104,104
ATOCHA,internaciones,dias camas ocupadas maternidad,2008-01-01,111,111
AYATA,internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
AYO AYO,internaciones,dias camas ocupadas maternidad,2008-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas maternidad,2008-01-01,60,60
AZURDUY,internaciones,dias camas ocupadas maternidad,2008-01-01,11,11
BERMEJO,internaciones,dias camas ocupadas maternidad,2008-01-01,141,141
BETANZOS,internaciones,dias camas ocupadas maternidad,2008-01-01,68,68
BOLIVAR,internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
BOYUIBE,internaciones,dias camas ocupadas maternidad,2008-01-01,10,10
BUENA VISTA,internaciones,dias camas ocupadas maternidad,2008-01-01,26,26
CABEZAS,internaciones,dias camas ocupadas maternidad,2008-01-01,21,21
CAIROMA,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
"CAIZA ""D""",internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
CAJUATA,internaciones,dias camas ocupadas maternidad,2008-01-01,8,8
CALAMARCA,internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
CAMARGO,internaciones,dias camas ocupadas maternidad,2008-01-01,100,100
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas maternidad,2008-01-01,13,13
CAMIRI,internaciones,dias camas ocupadas maternidad,2008-01-01,228,228
CAPINOTA,internaciones,dias camas ocupadas maternidad,2008-01-01,78,78
CAQUIAVIRI,internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
CARACOLLO,internaciones,dias camas ocupadas maternidad,2008-01-01,35,35
CARANAVI,internaciones,dias camas ocupadas maternidad,2008-01-01,120,120
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas maternidad,2008-01-01,11,11
CHALLAPATA,internaciones,dias camas ocupadas maternidad,2008-01-01,75,75
CHARAGUA,internaciones,dias camas ocupadas maternidad,2008-01-01,42,42
CHARAÑA,internaciones,dias camas ocupadas maternidad,2008-01-01,8,8
CHAYANTA,internaciones,dias camas ocupadas maternidad,2008-01-01,13,13
CHIMORE,internaciones,dias camas ocupadas maternidad,2008-01-01,24,24
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas maternidad,2008-01-01,28,28
CLIZA,internaciones,dias camas ocupadas maternidad,2008-01-01,22,22
COBIJA,internaciones,dias camas ocupadas maternidad,2008-01-01,337,337
COCHABAMBA,internaciones,dias camas ocupadas maternidad,2008-01-01,4914,4914
COLCAPIRHUA,internaciones,dias camas ocupadas maternidad,2008-01-01,60,60
"COLCHA ""K""",internaciones,dias camas ocupadas maternidad,2008-01-01,3,3
COLLANA,internaciones,dias camas ocupadas maternidad,2008-01-01,4,4
COLOMI,internaciones,dias camas ocupadas maternidad,2008-01-01,47,47
COLPA BELGICA,internaciones,dias camas ocupadas maternidad,2008-01-01,8,8
COLQUENCHA,internaciones,dias camas ocupadas maternidad,2008-01-01,9,9
COLQUIRI,internaciones,dias camas ocupadas maternidad,2008-01-01,18,18
COMARAPA,internaciones,dias camas ocupadas maternidad,2008-01-01,69,69
CONCEPCION,internaciones,dias camas ocupadas maternidad,2008-01-01,45,45
COPACABANA,internaciones,dias camas ocupadas maternidad,2008-01-01,27,27
CORIPATA,internaciones,dias camas ocupadas maternidad,2008-01-01,19,19
COROICO,internaciones,dias camas ocupadas maternidad,2008-01-01,54,54
COTAGAITA,internaciones,dias camas ocupadas maternidad,2008-01-01,16,16
COTOCA,internaciones,dias camas ocupadas maternidad,2008-01-01,98,98
CUATRO CAÑADAS,internaciones,dias camas ocupadas maternidad,2008-01-01,28,28
CUEVO,internaciones,dias camas ocupadas maternidad,2008-01-01,1,1
CULPINA,internaciones,dias camas ocupadas maternidad,2008-01-01,42,42
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas maternidad,2008-01-01,10,10
DESAGUADERO,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
EL ALTO,internaciones,dias camas ocupadas maternidad,2008-01-01,2760,2760
EL PUENTE(STC),internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
EL PUENTE(TJA),internaciones,dias camas ocupadas maternidad,2008-01-01,10,10
EL TORNO,internaciones,dias camas ocupadas maternidad,2008-01-01,113,113
EL VILLAR,internaciones,dias camas ocupadas maternidad,2008-01-01,13,13
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2008-01-01,28,28
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2008-01-01,41,41
EUCALIPTUS,internaciones,dias camas ocupadas maternidad,2008-01-01,5,5
FERNANDEZ ALONSO,internaciones,dias camas ocupadas maternidad,2008-01-01,160,160
GENERAL SAAVEDRA,internaciones,dias camas ocupadas maternidad,2008-01-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
GUANAY,internaciones,dias camas ocupadas maternidad,2008-01-01,33,33
GUAQUI,internaciones,dias camas ocupadas maternidad,2008-01-01,2,2
GUAYARAMERIN,internaciones,dias camas ocupadas maternidad,2008-01-01,13,13
GUTIERREZ,internaciones,dias camas ocupadas maternidad,2008-01-01,22,22
HUACARETA,internaciones,dias camas ocupadas maternidad,2008-01-01,17,17
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
HUACHACALLA,internaciones,dias camas ocupadas maternidad,2008-01-01,1,1
HUANUNI,internaciones,dias camas ocupadas maternidad,2008-01-01,30,30
HUARACAJE,internaciones,dias camas ocupadas maternidad,2008-01-01,14,14
ICLA,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
INCAHUASI,internaciones,dias camas ocupadas maternidad,2008-01-01,37,37
INQUISIVI,internaciones,dias camas ocupadas maternidad,2008-01-01,7,7
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas maternidad,2008-01-01,14,14
IXIAMAS,internaciones,dias camas ocupadas maternidad,2008-01-01,18,18
JESUS DE MACHACA,internaciones,dias camas ocupadas maternidad,2008-01-01,5,5
LA ASUNTA,internaciones,dias camas ocupadas maternidad,2008-01-01,52,52
LA GUARDIA,internaciones,dias camas ocupadas maternidad,2008-01-01,66,66
LA PAZ,internaciones,dias camas ocupadas maternidad,2008-01-01,4886,4886
LAGUNILLAS,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
LAJA,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
LICOMA PAMPA,internaciones,dias camas ocupadas maternidad,2008-01-01,4,4
LLALLAGUA,internaciones,dias camas ocupadas maternidad,2008-01-01,267,267
LLICA,internaciones,dias camas ocupadas maternidad,2008-01-01,6,6
LURIBAY,internaciones,dias camas ocupadas maternidad,2008-01-01,10,10
MACHACAMARCA,internaciones,dias camas ocupadas maternidad,2008-01-01,10,10
MACHARETI,internaciones,dias camas ocupadas maternidad,2008-01-01,12,12
MAGDALENA,internaciones,dias camas ocupadas maternidad,2008-01-01,68,68
MAIRANA,internaciones,dias camas ocupadas maternidad,2008-01-01,23,23
MAPIRI,internaciones,dias camas ocupadas maternidad,2008-01-01,23,23
MECAPACA,internaciones,dias camas ocupadas maternidad,2008-01-01,1,1
MINEROS,internaciones,dias camas ocupadas maternidad,2008-01-01,30,30
MIZQUE,internaciones,dias camas ocupadas maternidad,2008-01-01,54,54
MOCOMOCO,internaciones,dias camas ocupadas maternidad,2008-01-01,3,3
MOJOCOYA,internaciones,dias camas ocupadas maternidad,2008-01-01,18,18
