municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,3,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2008-01-01,5,5
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,71,71
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
COTOCA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,18,18
ENTRE RIOS,internaciones,fallecidos a partir de las 48 horas,2008-01-01,13,13
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-01-01,3,3
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-01-01,158,158
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
MINEROS,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,23,23
PADILLA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-01-01,17,17
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2008-01-01,2,2
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,4,4
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,97,97
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-01-01,40,40
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,31,31
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-01-01,11,11
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,6,6
UNCIA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,47,47
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-01-01,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2008-01-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2008-01-01,2,2
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2008-02-01,3,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2008-02-01,3,3
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,94,94
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-02-01,15,15
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
IXIAMAS,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-02-01,112,112
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,3,3
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
MOJOCOYA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2008-02-01,73,73
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-02-01,29,29
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-02-01,17,17
PUNATA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,97,97
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-02-01,27,27
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,33,33
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-02-01,14,14
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,5,5
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2008-02-01,2,2
WARNES,internaciones,fallecidos a partir de las 48 horas,2008-02-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2008-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
CHALLAPATA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,8,8
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,100,100
CUEVO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,22,22
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,2,2
FERNANDEZ ALONSO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
