municipality,group,variable,month,Fallecidos antes de las 48 horas,TOTAL
AIQUILE,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
ATOCHA,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
BAURES,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2008-01-01,7,7
CARANAVI,internaciones,fallecidos antes de las 48 horas,2008-01-01,3,3
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2008-01-01,5,5
COBIJA,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2008-01-01,66,66
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
COMARAPA,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
COPACABANA,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2008-01-01,23,23
EL VILLAR,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
ENTRE RIOS,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
GUANAY,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2008-01-01,3,3
LA PAZ,internaciones,fallecidos antes de las 48 horas,2008-01-01,64,64
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2008-01-01,3,3
MONTERO,internaciones,fallecidos antes de las 48 horas,2008-01-01,6,6
ORURO,internaciones,fallecidos antes de las 48 horas,2008-01-01,24,24
PAILON,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
POROMA,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2008-01-01,21,21
PUCARANI,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
REYES,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2008-01-01,11,11
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
SAN JAVIER(STC),internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
SAN JOAQUIN,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2008-01-01,16,16
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2008-01-01,67,67
SUCRE,internaciones,fallecidos antes de las 48 horas,2008-01-01,15,15
TARIJA,internaciones,fallecidos antes de las 48 horas,2008-01-01,18,18
TIRAQUE (CBBA),internaciones,fallecidos antes de las 48 horas,2008-01-01,4,4
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2008-01-01,12,12
TUPIZA,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
TURCO,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
UYUNI,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2008-01-01,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2008-01-01,7,7
VILLAZON,internaciones,fallecidos antes de las 48 horas,2008-01-01,3,3
WARNES,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2008-01-01,3,3
YAPACANI,internaciones,fallecidos antes de las 48 horas,2008-01-01,2,2
ACHACACHI,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
AIQUILE,internaciones,fallecidos antes de las 48 horas,2008-02-01,2,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2008-02-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2008-02-01,2,2
CAMARGO,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2008-02-01,7,7
CARANAVI,internaciones,fallecidos antes de las 48 horas,2008-02-01,2,2
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2008-02-01,3,3
COBIJA,internaciones,fallecidos antes de las 48 horas,2008-02-01,4,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2008-02-01,52,52
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2008-02-01,2,2
COMARAPA,internaciones,fallecidos antes de las 48 horas,2008-02-01,2,2
COMBAYA,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
CUATRO CAÑADAS,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2008-02-01,14,14
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2008-02-01,1,1
